w tutej dobje rozłama jednota duchowneje a swětneje mocy .	w tutón doba rozłamać jednota duchowny a swětny moc .	ADP DET;ESS;FEM;SG ESS;FEM;N;SG 3;FIN;IND;PST;SG;V FEM;N;NOM;SG ADJ;FEM;GEN;SG CONJ ADJ;FEM;GEN;SG FEM;GEN;N;SG _
próšk je předewšěm monosulkatny .	próšk być předewšěm monosulkatny .	INAN;MASC;N;NOM;SG 3;FIN;IND;PRS;SG;V ADV ADJ;MASC;NOM;SG _
woda je najnuzniša substanca za wšěch žiwochow , dokelž ma wjacore rědke kajkosće kotrež su jara wažne za žiwjenje .	woda być nuzny substanca za wšě žiwoch , dokelž měć wjacory rědki kajkosć kotryž być jara wažny za žiwjenje .	FEM;N;NOM;SG 3;FIN;IND;PRS;SG;V ADJ;FEM;NOM;RL;SG FEM;N;NOM;SG ADP ACC;ANIM;DET;MASC;PL ACC;MASC;N;NHUM;PL _ CONJ 3;FIN;IND;PRS;SG;V ACC;ADJ;FEM;PL ACC;ADJ;FEM;PL ACC;FEM;N;PL DET;FEM;NOM;PL 3;FIN;IND;PL;PRS;V ADV ADJ;FEM;NOM;PL ADP ACC;N;NEUT;SG _
tuta doba wuznamjeni so přez krute zarjadnistwo a přez wudawanje prawniskich wukazow ( kodeks ur - nammu ) .	tutón doba wuznamjenić so přez kruty zarjadnistwo a přez wudawanje prawniski wukaz ( kodeks ur - nammu ) .	DET;FEM;NOM;SG FEM;N;NOM;SG 3;FIN;IND;PST;SG;V ACC;PRO;REFL ADP ACC;ADJ;NEUT;SG ACC;N;NEUT;SG CONJ ADP ACC;N;NEUT;SG ADJ;GEN;MASC;PL GEN;INAN;MASC;N;PL _ INAN;MASC;N;NOM;SG INAN;MASC;NOM;PROPN;SG _ NEUT;NOM;PROPN;SG _ _
nimo toho zběra wona tu - a wukrajnu fachowu literaturu z duchowno a socialnowědneho wobłuka wotpowědnje wotrjadam a slědźerskim předewzaćam serbskeho instituta .	nimo to zběrać wón tu - a wukrajny fachowy literatura z duchowny a socialnowědny wobłuk wotpowědnje wotrjad a slědźerski předewzaće serbski institut .	ADP GEN;NEUT;PRO;SG 3;FIN;IND;PST;SG;V 3;FEM;NOM;PRO;SG ADV _ CONJ ACC;ADJ;FEM;SG ACC;ADJ;FEM;SG ACC;FEM;N;SG ADP ADJ CONJ ADJ;GEN;MASC;SG GEN;INAN;MASC;N;SG ADP DAT;INAN;MASC;N;PL CONJ ADJ;DAT;MASC;PL DAT;N;NEUT;PL ADJ;GEN;MASC;SG GEN;INAN;MASC;N;SG _
babylon dobywachu w lěće 689 př . n . l .	babylon dobywać w lěto 689 před . naš . l .	ACC;INAN;MASC;PROPN;SG 3;FIN;IND;PL;PST;V ADP ESS;N;NEUT;SG NUM ADP _ 1;DET;FEM;INS;PSSP;SG _ FEM;INS;N;SG _
karnataka ma drawidsku rěč kannada jako jeničku zarjadnisku rěč , ale tam so tež urdu ( 10 , 5 % ) , telugu ( 7 , 0 % ) a wjele druhich rěčow rěči .	karnataka měć drawidski rěč kannada jako jenički zarjadniski rěč , ale tam so tež urdu ( 10 , 5 % ) , telugu ( 7 , 0 % ) a wjele druhi rěč rěčeć .	FEM;NOM;PROPN;SG 3;FIN;IND;PRS;SG;V ACC;ADJ;FEM;SG ACC;FEM;N;SG FEM;NOM;PROPN;SG CONJ ACC;ADJ;FEM;SG ACC;ADJ;FEM;SG ACC;FEM;N;SG _ CONJ ADV ACC;PRO;REFL ADV NEUT;NOM;PROPN;SG _ NUM _ NUM _ _ _ NEUT;NOM;PROPN;SG _ NUM _ NUM _ _ CONJ DET ADJ;FEM;GEN;PL FEM;GEN;N;PL 3;FIN;IND;PRS;SG;V _
z x200px móže definować za wobrazy w thumb tež jenož wysokosć .	z x200px móc definować za wobraz w thumb tež jenož wysokosć .	ADP _ 3;FIN;IND;PRS;SG;V NFIN;V ADP ACC;INAN;MASC;N;PL ADP N ADV PART ACC;FEM;N;SG _
wupožčować z tutych wobstatkow smě so jenož přez biblioteku .	wupožčować z tutón wobstatk směć so jenož přez biblioteka .	NFIN;V ADP DET;GEN;INAN;MASC;PL GEN;INAN;MASC;N;PL 3;FIN;IND;PRS;SG;V ACC;PRO;REFL PART ADP ACC;FEM;N;SG _
potom zapisuja symbole do nastatych kašćikow , zatłóčujo je z třiróžkatym kónčkom ćeńkeho drjewjaneho kuska do mjechkeje hlinjaneje tafle .	potom zapisować symbol do nastaty kašćik , zatłóčować wón z třiróžkaty kónčk ćeńki drjewjany kusk do mjechki hlinjany tafla .	ADV 3;FIN;IND;PST;SG;V ACC;INAN;MASC;N;PL ADP ADJ;GEN;MASC;PL GEN;INAN;MASC;N;PL _ 3;FIN;IND;PRS;SG;V 3;ACC;INAN;MASC;PL;PRO ADP ADJ;INS;MASC;SG INAN;INS;MASC;N;SG ADJ;GEN;MASC;SG ADJ;GEN;MASC;SG GEN;INAN;MASC;N;SG ADP ADJ;FEM;GEN;SG ADJ;FEM;GEN;SG FEM;GEN;N;SG _
wostanu napominanja bjez wuspěcha , so žadanja biblioteki sudnisce přesadźa .	wostać napominanje bjez wuspěch , so žadanje biblioteka sudnisce přesadźić .	3;FIN;IND;PL;PRS;V N;NEUT;NOM;PL ADP GEN;INAN;MASC;N;SG _ ACC;PRO;REFL N;NEUT;NOM;PL FEM;GEN;N;SG ADV 3;FIN;IND;PL;PRS;V _
murna łočica ( mycelis muralis ) , rjenje so hodźa widźeć pjeć krónowych kónčki žołtych , cygomorfnych jazykowych kćenjow a dwudźělne pěsty pěstkow , cichorioideae	murny łočica ( mycelis muralis ) , rjenje so hodźeć widźeć pjeć krónowy kónčk žołty , cygomorfny jazykowy kćenje a dwudźělny pěst pěstk , cichorioideae	ADJ;FEM;NOM;SG FEM;N;NOM;SG _ _ _ _ _ ADV ACC;PRO;REFL 3;FIN;IND;PRS;SG;V NFIN;V NUM ADJ;GEN;MASC;PL INAN;INS;MASC;N;PL ADJ;GEN;MASC;PL _ ADJ;GEN;MASC;PL ADJ;GEN;MASC;PL GEN;N;NEUT;PL CONJ ACC;ADJ;INAN;MASC;PL ACC;INAN;MASC;N;PL GEN;INAN;MASC;N;PL _ _
tuta družina so jako korjenjowu zeleninu abo picowansku rostlinu kultiwuje .	tutón družina so jako korjenjowy zelenina abo picowanski rostlina kultiwować .	DET;FEM;NOM;SG FEM;N;NOM;SG ACC;PRO;REFL CONJ ACC;ADJ;FEM;SG ACC;FEM;N;SG CONJ ACC;ADJ;FEM;SG ACC;FEM;N;SG 3;FIN;IND;PRS;SG;V _
etat stata bě identiski z tym knježićela , tutón hospodarski system rěka oikosowe hospodarstwo .	etat stat być identiski z tón knježićel , tutón hospodarski system řěkać oikosowy hospodarstwo .	INAN;MASC;N;NOM;SG GEN;INAN;MASC;N;SG 3;FIN;IND;PST;SG;V ADJ;MASC;NOM;SG ADP DET;INAN;INS;MASC;SG ANIM;GEN;MASC;N;SG _ DET;INAN;MASC;NOM;SG ADJ;MASC;NOM;SG INAN;MASC;N;NOM;SG 3;FIN;IND;PRS;SG;V ADJ;NEUT;NOM;SG N;NEUT;NOM;SG _
z 7 . lěttysaca př . n . l . pochadźeja najstarše dokłady za keramiku .	z 7 . lěttysac před . naš . lětoličba . pochadźeć stary dokład za keramika .	ADP NUM _ GEN;INAN;MASC;N;SG ADP _ 1;DET;FEM;INS;PSSP;SG _ FEM;INS;N;SG _ 3;FIN;IND;PL;PRS;V ADJ;INAN;MASC;NOM;PL;RL INAN;MASC;N;NOM;PL ADP ACC;FEM;N;SG _
tule ma nastać wulki a powšitkowny słownik hornjoserbskeje rěče , kiž wobsahuje wšitko wot dźělenja słowa , tworjenja formow hač k pokiwam za wužiwanje a přikładam za wužiwanje .	tule měć nastać wulki a powšitkowny słownik hornjoserbski rěč , kiž wobsahować wšitko wot dźělenje słowo , tworjenje forma hač k pokiw za wužiwanje a přikład za wužiwanje .	ADV 3;FIN;IND;PRS;SG;V NFIN;V ADJ;MASC;NOM;SG CONJ ADJ;MASC;NOM;SG INAN;MASC;N;NOM;SG ADJ;FEM;GEN;SG FEM;GEN;N;SG _ NOM;PRO 3;FIN;IND;PRS;SG;V ACC;NEUT;PRO;SG ADP GEN;N;NEUT;SG GEN;N;NEUT;SG _ GEN;N;NEUT;SG FEM;GEN;N;PL ADV ADP DAT;INAN;MASC;N;PL ADP ACC;N;NEUT;SG CONJ DAT;INAN;MASC;N;PL ADP ACC;N;NEUT;SG _
dobywanska žadosć namaka swój wjeršk w dobywanju egyptowskeje přez aššur - ahhe - iddina ( 681 - 669 př . n . l . ) .	dobywanski žadosć namakać swój wjeršk w dobywanje egyptowska přez aššur - ahhe - iddin ( 681 - 669 před . naš . lětoličba . ) .	ADJ;FEM;NOM;SG FEM;N;NOM;SG 3;FIN;IND;PRS;SG;V ACC;DET;INAN;MASC;REFL;SG ACC;INAN;MASC;N;SG ADP ESS;N;NEUT;SG FEM;GEN;PROPN;SG ADP PROPN _ PROPN _ ACC;ANIM;MASC;PROPN;SG _ NUM _ NUM ADP _ 1;DET;FEM;INS;PSSP;SG _ FEM;INS;N;SG _ _ _
płone symjenja sedźa zwjetša po jednym hač po dwěmaj we łušćinach .	płony symjenjo sedźeć zwjetša po jedyn hač po dwaj w łušćina .	ADJ;NEUT;NOM;PL N;NEUT;NOM;PL 3;FIN;IND;PL;PRS;V ADV ADP ESS;NEUT;NUM;SG CONJ ADP DU;ESS;NEUT;NUM ADP ESS;FEM;N;PL _
jeho najčasćiše wjazby na zemi su woda a silikaty .	jeho časty wjazba na zemja być woda a silikat .	3;DET;PSSS ADJ;FEM;NOM;PL;RL FEM;N;NOM;PL ADP ESS;FEM;N;SG 3;FIN;IND;PL;PRS;V FEM;N;NOM;SG CONJ INAN;MASC;N;NOM;PL _
ale tež eksistuja žiwochi , kotřiž njetrjebaja kislik , předewšěm při jednobańkowcach .	ale tež eksistować žiwoch , kotryž trjebać kislik , předewšěm při jednobańkowc .	CONJ ADV 3;FIN;IND;PL;PRS;V MASC;N;NHUM;NOM;PL _ MASC;N;NHUM;NOM;PL 3;FIN;IND;NEG;PL;PRS;V ACC;INAN;MASC;N;SG _ ADV ADP ESS;MASC;N;NHUM;PL _
wot tych najwažniša je hindi .	wot tón wažny być hindi .	ADP DET;FEM;GEN;PL ADJ;FEM;NOM;RL;SG 3;FIN;IND;PRS;SG;V NEUT;NOM;PROPN;SG _
18 lět po smjerći assurbanipala dobychu zjednoćeni medojo a babylonjenjo wójska assyriskeje ( 609 př . n . l . ) .	18 lěto po smjerć assurbanipal dobyć zjednoćeni med a babylonjen wójsko assyriska ( 609 před . naš . lětoličba . ) .	NUM GEN;N;NEUT;PL ADP ESS;FEM;N;SG ANIM;GEN;MASC;PROPN;SG 3;FIN;IND;PL;PST;V ADJ;NOM;PASS;PL;V.PTCP ANIM;MASC;NOM;PL;PROPN CONJ ANIM;MASC;NOM;PL;PROPN ACC;N;NEUT;PL FEM;GEN;PROPN;SG _ NUM ADP _ 1;DET;INS;PSSP;SG _ FEM;INS;N;SG _ _ _
ernesto che guevara a fidel castro w lěće 1961	ernesto che guevara a fidel castro w lěto 1961	ANIM;MASC;NOM;PROPN;SG ANIM;MASC;NOM;PROPN;SG ANIM;MASC;NOM;PROPN;SG CONJ ANIM;MASC;NOM;PROPN;SG ANIM;MASC;NOM;PROPN;SG ADP ESS;N;NEUT;SG NUM
geografiske eksonymy su mjena geografiskich objektow ( na přikład rěkow , horow , krajowych mjenow , krajinow ) zwonka serbskeje łužicy .	geografiski eksonym być mjeno geografiski objekt ( na přikład rěka , hora , krajowy mjeno , krajina ) zwonka serbski łužica .	ADJ;INAN;MASC;NOM;PL INAN;MASC;N;NOM;PL 3;FIN;IND;PL;PRS;V N;NEUT;NOM;PL ADJ;GEN;MASC;PL GEN;INAN;MASC;N;PL _ ADP ACC;INAN;MASC;N;SG FEM;GEN;N;PL _ FEM;GEN;N;PL _ ADJ;GEN;NEUT;PL GEN;N;NEUT;PL _ FEM;GEN;N;PL _ ADP ADJ;FEM;GEN;SG FEM;GEN;PROPN;SG _
kralojo tuteje doby mjenowachu so lugal ( = " wulki čłowjek " ) .	kral tutón doba mjenować so lugal ( = " wulki čłowjek " ) .	ANIM;MASC;N;NOM;PL DET;FEM;GEN;SG FEM;GEN;N;SG 3;FIN;IND;PL;PST;V ACC;PRO;REFL ANIM;MASC;N;NOM;SG _ _ _ ADJ;MASC;NOM;SG ANIM;MASC;N;NOM;SG _ _ _
španišćina ( abo kastilšćina ) je jedna z najbóle rozšěrjenych swětowych rěčow .	španišćina ( abo kastilšćina ) być jedyn z mnoho rozšěrjeny swětowy rěč .	FEM;N;NOM;SG _ CONJ FEM;N;NOM;SG _ 3;FIN;IND;PRS;SG;V FEM;NOM;NUM;SG ADP ADV;RL ADJ;FEM;GEN;PASS;PL;V.PTCP ADJ;FEM;GEN;PL FEM;GEN;N;PL _
21 rěčow je oficielnje připóznate .	21 rěč być oficielnje připóznaty .	NUM FEM;GEN;N;PL 3;FIN;IND;PRS;SG;V ADV ADJ;NEUT;NOM;PASS;SG;V.PTCP _
priwatne swójstwo hakle w babylonskej dobje nasta .	priwatny swójstwo hakle w babylonski doba nastać .	ADJ;NEUT;NOM;SG N;NEUT;NOM;SG PART ADP ADJ;ESS;FEM;SG ESS;FEM;N;SG 3;FIN;IND;PST;SG;V _
k 60 . jubilejej serbskeho instituta konferenca wo němsko - słowjanskim rěčnym kontakće	k 60 . jubilej serbski institut konferenca wo němski - słowjanski rěčny kontakt	ADP NUM _ DAT;INAN;MASC;N;SG ADJ;GEN;MASC;SG GEN;INAN;MASC;N;SG FEM;N;NOM;SG ADP ADJ _ ESS;INAN;MASC;N;SG ADJ;ESS;MASC;SG ESS;INAN;MASC;N;SG
w 14 . lětstotku př . n . l . assyriska zaso na mocy naby .	w 14 . lětstotk před . naš . lětoličba . assyriska zaso na moc nabyć .	ADP NUM _ ESS;INAN;MASC;N;SG ADP _ 1;DET;FEM;INS;PSSP;SG _ FEM;INS;N;SG _ FEM;NOM;PROPN;SG ADV ADP ESS;FEM;N;SG 3;FIN;IND;PST;SG;V _
hač do 8700 př . n . l . móžemy architektoniski pokrok wobkedźbować .	hač do 8700 před . naš . lětoličba . móc architektoniski pokrok wobkedźbować .	ADV ADP NUM ADP _ 1;DET;FEM;INS;PSSP;SG _ FEM;INS;N;SG _ 1;FIN;IND;PL;PRS;V ACC;ADJ;INAN;MASC;SG ACC;INAN;MASC;N;SG NFIN;V _
jako němske pomjenowanje za nju trjeba so tradicionelnje nimo " sorbisch " tež wuraz " wendisch " .	jako němski pomjenowanje za wón trjebać so tradicionelnje nimo " sorbisch " tež wuraz " wendisch " .	CONJ ADJ;NEUT;NOM;SG N;NEUT;NOM;SG ADP 3;ACC;FEM;PRO;SG 3;FIN;IND;PRS;SG;V ACC;PRO;REFL ADV ADP _ _ _ ADV INAN;MASC;N;NOM;SG _ _ _ _
su w germanšćinje sydom ablawtowych rjadow , znutřka kotrychž wokal so po krutym prawidle ablawtuje ( prěnjotna přičina za to su mj . dr . sćěhowace konsonanty ) .	być w germanšćina sydom ablawtowy rjad , znutřka kotryž wokal so po kruty prawidło ablawtować ( prěnjotny přičina za to być mj . dr . sćěhowacy konsonant ) .	3;FIN;IND;PL;PRS;V ADP ESS;FEM;N;SG NUM ADJ;GEN;MASC;PL GEN;INAN;MASC;N;PL _ ADP DET;GEN;INAN;MASC;PL INAN;MASC;N;NOM;SG ACC;PRO;REFL ADP ADJ;ESS;NEUT;SG ESS;N;NEUT;SG 3;FIN;IND;PRS;SG;V _ ADJ;FEM;NOM;SG FEM;N;NOM;SG ADP ACC;NEUT;PRO;SG 3;FIN;IND;PL;PRS;V _ _ _ _ ACT;ADJ;INAN;MASC;NOM;PL;PRS;V.PTCP INAN;MASC;N;NOM;PL _ _
serbski institut kooperuje z druhimi wědomostnymi zarjadnišćemi w tu - a wukraju .	serbski institut kooperować z druhi wědomostny zarjadnišće w tu - a wukraj .	ADJ;MASC;NOM;SG INAN;MASC;N;NOM;SG 3;FIN;IND;PRS;SG;V ADP ADJ;INS;NEUT;PL ADJ;INS;NEUT;PL INS;N;NEUT;PL ADP _ _ CONJ ESS;INAN;MASC;N;SG _
wot lěta 3000 př . n . l . připućowachu nomadźa ze sewjera do južneho mezopotamiskeje .	wot lěto 3000 před . naš . lětoličba . připućować nomad z sewjer do južny mezopotamiska .	ADP GEN;N;NEUT;SG NUM ADP _ 1;DET;FEM;INS;PSSP;SG _ FEM;INS;N;SG _ 3;FIN;IND;PL;PST;V ANIM;MASC;N;NOM;PL ADP GEN;INAN;MASC;N;SG ADP ADJ;GEN;MASC;SG FEM;GEN;PROPN;SG _
karnataka ( kannada : ಕರ್ನಾಟಕ ) je wot lěta 1956 zwjazkowy stat w juhu indiskeje .	karnataka ( kannada : ಕರ್ನಾಟಕ ) być wot lěto 1956 zwjazkowy stat w juh indiska .	FEM;NOM;PROPN;SG _ FEM;NOM;PROPN;SG _ _ _ 3;FIN;IND;PRS;SG;V ADP GEN;N;NEUT;SG NUM ADJ;MASC;NOM;SG INAN;MASC;N;NOM;SG ADP ESS;INAN;MASC;N;SG FEM;GEN;PROPN;SG _
łopjena su jednore a wobsedźa žane pódlanske łopješko .	łopjeno być jednory a wobsedźeć žadyn pódlanski łopješko .	N;NEUT;NOM;PL 3;FIN;IND;PL;PRS;V ADJ;NEUT;NOM;PL CONJ 3;FIN;IND;PL;PRS;V ACC;DET;NEUT;SG ACC;ADJ;NEUT;SG ACC;N;NEUT;SG _
wjetšina indičanow rěči indoariske rěče .	wjetšina indičan rěčeć indoariski rěč .	FEM;N;NOM;SG ANIM;GEN;MASC;PL;PROPN 3;FIN;IND;PRS;SG;V ACC;ADJ;FEM;PL ACC;FEM;N;PL _
přez tutu politika zahinychu w europje něhdźe 30 - 35 milionow ludźi .	přez tutón politika zahinyć w europa něhdźe 30 - 35 milion čłowjek .	ADP ACC;DET;FEM;SG FEM;N;NOM;SG 3;FIN;IND;PL;PST;V ADP ESS;FEM;PROPN;SG ADV NUM _ NUM GEN;INAN;MASC;N;PL ANIM;GEN;MASC;N;PL _
padnje - li 29 . , 30 . abo 31 . december na póndźelu , da přiliča so dny wot póndźele prěnjemu protykowemu tydźenju přichodneho lěta .	padnyć - li 29 . , 30 . abo 31 . december na póndźela , da přiličeć so dźeń wot póndźela prěnjemy protykowy tydźeń přichodny lěto .	3;FIN;IND;PRS;SG;V _ CONJ NUM _ _ NUM _ CONJ NUM _ INAN;MASC;N;NOM;SG ADP ACC;FEM;N;SG _ ADV 3;FIN;IND;PRS;SG;V ACC;PRO;REFL INAN;MASC;N;NOM;PL ADP FEM;GEN;N;SG ADJ;DAT;MASC;SG ADJ;DAT;MASC;SG DAT;INAN;MASC;N;SG ADJ;GEN;NEUT;SG GEN;N;NEUT;SG _
nawoda biblioteki smě we wěstych padach wupožčenske wobmjezowanja zběhnyć abo přidatne postajić .	nawod biblioteka směć w wěsty pad wupožčenski wobmjezowanje zběhnyć abo přidatne postajić .	GEN;INAN;MASC;N;SG FEM;GEN;N;SG 3;FIN;IND;PRS;SG;V ADP ADJ;ESS;MASC;PL ESS;INAN;MASC;N;PL ACC;ADJ;NEUT;PL ACC;N;NEUT;PL NFIN;V CONJ ADV NFIN;V _
nimo toho móžeja rostliny hromadu ale w wobłuku korjenjow tež z hribami , bakterijemi a druhimi mikroorganizmami komunikować .	nimo to móc rostlina hromadu ale w wobłuk korjeń tež z hrib , bakterija a druhi mikroorganizm komunikować .	ADP GEN;NEUT;PRO;SG 3;FIN;IND;PL;PRS;V FEM;N;NOM;PL ADV CONJ ADP ESS;INAN;MASC;N;SG GEN;INAN;MASC;N;PL ADV ADP INAN;INS;MASC;N;PL _ FEM;INS;N;PL CONJ ADJ;INS;MASC;PL INAN;INS;MASC;N;PL NFIN;V _
do 2 . lěttysaca w mezopotamiskej žana z wužitych rěčow dominowaše .	do 2 . lěttysac w mezopotamiska žadyn z wužity rěč dominować .	ADP NUM _ GEN;INAN;MASC;N;SG ADP ESS;FEM;PROPN;SG DET;FEM;NOM;SG ADP ADJ;FEM;GEN;PASS;PL;V.PTCP FEM;GEN;N;PL 3;FIN;IND;PST;SG;V _
slědowace epochi z jich nowymi politiskimi statnymi wutworami tohodla pod historiske mjeno mezopotamiska njesłuša .	slědowacy epocha z jich nowy politiski statny wutwor tohodla pod historiski mjeno mezopotamiska słušeć .	ACT;ADJ;FEM;NOM;PL;PRS;V.PTCP FEM;N;NOM;PL ADP 3;DET;PSSP ADJ;INS;PL ADJ;INS;PL ADJ;INS;PL INAN;INS;MASC;N;PL ADV ADP ACC;ADJ;NEUT;SG ACC;N;NEUT;SG FEM;NOM;PROPN;SG 3;FIN;IND;NEG;PL;PRS;V _
bu wot prawicarskeje jednotki zamordowana .	być wot prawicarski jednotka zamordowany .	3;FIN;IND;PASS;PST;SG;V ADP ADJ;FEM;GEN;SG FEM;GEN;N;SG ADJ;FEM;NOM;PASS;SG;V.PTCP _
akkadska rěč wutłóči sumerišćinu jako rěčanu rěč ; sumerišćinu wšak wužiwachu dale jako sakralnu , ceremonialnu , literarnu rěc a jako rěč wědomosće .	akkadski rěč wutłóčić sumerišćina jako rěčany rěč ; sumerišćina wšak wužiwać daloko jako sakralny , ceremonialny , literarny rěč a jako rěč wědomosć .	ADJ;FEM;NOM;SG FEM;N;NOM;SG 3;FIN;IND;PST;SG;V ACC;FEM;N;SG CONJ ACC;ADJ;FEM;PASS;SG;V.PTCP ACC;FEM;N;SG _ ACC;FEM;N;SG CONJ 3;FIN;IND;PL;PST;V ADV;CMPR CONJ ACC;ADJ;FEM;SG _ ACC;ADJ;FEM;SG _ ACC;ADJ;FEM;SG ACC;FEM;N;SG CONJ CONJ ACC;FEM;N;SG FEM;GEN;N;SG _
komunikaciske procesy zawěsćuja zum einen disponujomnosć přihódnych wutkow ale tež krótkodobnu , srjedźnodobnu a dołhodobnu koordinaciju a organizaciju wot rosćenskich a wuwiwanskich procesow we wšěch jich detailowych krokach .	komunikaciski proces zawěsćować zum einen disponujomnosć přihódny wutk ale tež krótkodobny , srjedźnodobny a dołhodobny koordinacija a organizacija wot rosćenski a wuwiwanski proces w wšě jich detailowy krok .	ADJ;INAN;MASC;NOM;PL INAN;MASC;N;NOM;PL 3;FIN;IND;PL;PRS;V _ _ ACC;FEM;N;SG ADJ;GEN;MASC;PL GEN;INAN;MASC;N;PL CONJ ADV ACC;ADJ;FEM;SG _ ACC;ADJ;FEM;SG CONJ ACC;ADJ;FEM;SG ACC;FEM;N;SG CONJ ACC;FEM;N;SG ADP ADJ;GEN;MASC;PL CONJ ADJ;GEN;MASC;PL GEN;INAN;MASC;N;PL ADP DET;ESS;INAN;MASC;PL 3;DET;PSSP ADJ;ESS;MASC;PL ESS;INAN;MASC;N;PL _
móžnosće wobydlerstwa někajkeho stata , so z internetom zwjazać , wotwisuja wot stopjenja ekonomiskeho wuwića tutoho stata .	móžnosć wobydlerstwo někajki stat , so z internet zwjazać , wotwisować wot stopjeń ekonomiski wuwiće tutón stat .	FEM;N;NOM;PL GEN;N;NEUT;SG DET;GEN;INAN;MASC;SG GEN;INAN;MASC;N;SG _ ACC;PRO;REFL ADP INAN;INS;MASC;N;SG NFIN;V _ 3;FIN;IND;PL;PRS;V ADP GEN;INAN;MASC;N;SG ADJ;GEN;NEUT;SG GEN;N;NEUT;SG DET;GEN;INAN;MASC;SG GEN;INAN;MASC;N;SG _
po spadźe assyriskeje babylon zaso na mocy naby .	po spad assyriska babylon zaso na moc nabyć .	ADP ESS;INAN;MASC;N;SG FEM;GEN;PROPN;SG INAN;MASC;NOM;PROPN;SG ADV ADP ESS;FEM;N;SG 3;FIN;IND;PST;SG;V _
kóžde druhe lěto wuhotuje institut mjezynarodny prózdninski kurs za serbsku rěč a kulturu .	kóždy druhi lěto wuhotowić institut mjezynarodny prózdninski kurs za serbski rěč a kultura .	ACC;DET;NEUT;SG ACC;ADJ;NEUT;SG ACC;N;NEUT;SG 3;FIN;IND;PRS;SG;V INAN;MASC;N;NOM;SG ACC;ADJ;MASC;SG ACC;ADJ;MASC;SG ACC;INAN;MASC;N;SG ADP ACC;ADJ;FEM;SG ACC;FEM;N;SG CONJ ACC;FEM;N;SG _
w dźensnišich krajach sakska , saksko - anhaltska , durinska , braniborska a mecklenburgsko - předpomorska sydlachu něhdy předewšěm słowjanske kmjeny a rěčachu so słowjanske dialekty .	w dźensniši kraj sakska , saksko - anhaltska , durinska , braniborska a mecklenburgsko - předpomorska sydlić něhdy předewšěm słowjanski kmjen a rěčeć so słowjanski dialekt .	ADP ADJ;ESS;MASC;PL ESS;INAN;MASC;N;PL FEM;NOM;PROPN;SG _ PROPN _ FEM;NOM;PROPN;SG _ FEM;NOM;PROPN;SG _ FEM;NOM;PROPN;SG CONJ PROPN _ FEM;NOM;PROPN;SG 3;FIN;IND;PL;PST;V ADV ADV ADJ;INAN;MASC;NOM;PL INAN;MASC;N;NOM;PL CONJ 3;FIN;IND;PL;PST;V ACC;PRO;REFL ADJ;INAN;MASC;NOM;PL INAN;MASC;N;NOM;PL _
w zańdźenosći běchu wšelake namjety , tola slědowacy kladogram jako prawdźepodobne poměry přiwuznistwa we wotrysach so pokaza :	w zańdźenosć być wšelaki namjet , tola slědowacy kladogram jako prawdźepodobny poměr přiwuznistwo w wotrys so pokazać :	ADP ESS;FEM;N;SG 3;FIN;IND;PL;PST;V DET;INAN;MASC;NOM;PL INAN;MASC;N;NOM;PL _ CONJ ACT;ADJ;MASC;NOM;PRS;SG;V.PTCP INAN;MASC;N;NOM;SG CONJ ADJ;INAN;MASC;NOM;PL INAN;MASC;N;NOM;PL GEN;N;NEUT;SG ADP ESS;INAN;MASC;N;PL ACC;PRO;REFL 3;FIN;IND;PL;PRS;V _
ta zahroda eksistuje hižo štyri sta lět a ma rjanu rostlinarnju , w kotrejž rědke rostliny kćěja .	tón zahroda eksistować hižo štyri sto lěto a měć rjany rostlinarnja , w kotryž rědki rostlina kćěć .	DET;FEM;NOM;SG FEM;N;NOM;SG 3;FIN;IND;PRS;SG;V ADV NUM NUM GEN;N;NEUT;PL CONJ 3;FIN;IND;PRS;SG;V ACC;ADJ;FEM;SG ACC;FEM;N;SG _ ADP DET;ESS;FEM;SG ADJ;FEM;NOM;PL FEM;N;NOM;PL 3;FIN;IND;PL;PRS;V _
tež waliziske słowo gwin ale tež irske fion su samsneho pochada .	tež waliziski słowo gwin ale tež irski fion być samsny pochad .	ADV ADJ;NEUT;NOM;SG N;NEUT;NOM;SG _ CONJ ADV ADJ;NEUT;NOM;SG _ 3;FIN;IND;PL;PRS;V ADJ;GEN;NEUT;SG GEN;INAN;MASC;N;SG _
w lěće 330 př . n . l . dobywaše aleksander wulki persiske mócnarstwo a po jeho smjerći přewza jeho něhdyši wójnski wjednik seleukos móc a załoži dynastiju seleukidow .	w lěto 330 před . naš . lětoličba . dobywać aleksander wulki persiski mócnarstwo a po jeho smjerć přewzać jeho něhdyši wójnski wjednik seleukos móc a załožić dynastija seleukid .	ADP ESS;N;NEUT;SG NUM ADP _ 1;DET;FEM;INS;PSSP;SG _ FEM;INS;N;SG _ 3;FIN;IND;PST;SG;V ANIM;MASC;NOM;PROPN;SG ADJ;MASC;NOM;SG ACC;ADJ;NEUT;SG ACC;N;NEUT;SG CONJ ADP 3;DET;PSSS ESS;FEM;N;SG 3;FIN;IND;PST;SG;V 3;DET;PSSS ADJ;MASC;NOM;SG ADJ;MASC;NOM;SG ANIM;MASC;N;NOM;SG ANIM;MASC;NOM;PROPN;SG ACC;FEM;N;SG CONJ 3;FIN;IND;PST;SG;V ACC;FEM;N;SG ANIM;GEN;MASC;PL;PROPN _
