1 quaffle ( volleyball , frisbee , soccer ball , etc . )	1 quaffle ( volleyball , frisbee , soccer ball , etc . )	NUM N;SG _ N;SG _ N;SG _ N;SG N;SG _ _ _ _
when i discovered wikipedia , i recognized that the wiki model had the potential to build the how-to resource the world really needs .	when i discover wikipedia , i recognize that the wiki model have the potential to build the how-to resource the world really need .	CONJ 1;NOM;PRO;SG FIN;IND;PST;V PROPN;SG _ 1;NOM;PRO;SG FIN;IND;PST;V CONJ DEF;DET N;SG N;SG FIN;IND;PST;V DEF;DET N;SG PART NFIN;V DEF;DET ADJ N;SG DEF;DET N;SG ADV 3;FIN;IND;PRS;SG;V _
by plane	by plane	ADP N;SG
police arrested and questioned the student .	police arrest and question the student .	N;PL FIN;IND;PST;V CONJ FIN;IND;PST;V DEF;DET N;SG _
watch as the chemical compound creates a colorful glow .	watch as the chemical compound create a colorful glow .	NFIN;V CONJ DEF;DET N;SG N;SG 3;FIN;IND;PRS;SG;V DET;INDF ADJ N;SG _
i made noises with my heels but they were too loud so i stopped .	i make noise with my heel but they be too loud so i stop .	1;NOM;PRO;SG FIN;IND;PST;V N;PL ADP 1;PRO;SG N;PL CONJ 3;NOM;PL;PRO FIN;IND;PST;V ADV ADJ CONJ 1;NOM;PRO;SG FIN;IND;PST;V _
part 1 getting ready to dance	part 1 get ready to dance	N;SG NUM V;V.MSDR ADJ PART NFIN;V
if it 's inherently negative , then they 're either over-zealous , ignorant of other people or what to avoid those that contradict their fantasy land that caters to them and them only .	if it be inherently negative , then they be either over-zealous , ignorant of other people or what to avoid those that contradict their fantasy land that cater to them and them only .	CONJ 3;NEUT;NOM;PRO;SG 3;FIN;IND;PRS;SG;V ADV ADJ _ ADV 3;NOM;PL;PRO FIN;IND;PRS;V CONJ ADJ _ ADJ ADP ADJ N;PL CONJ PRO PART NFIN;V PL;PRO PRO FIN;IND;PRS;V 3;PL;PRO N;SG N;SG PRO 3;FIN;IND;PRS;SG;V ADP 3;ACC;PL;PRO CONJ 3;ACC;PL;PRO ADV _
have a realistic but exaggerated setup .	have a realistic but exaggerated setup .	NFIN;V DET;INDF ADJ CONJ ADJ N;SG _
for instance , you might say something like , " i do n't know why every song on the radio nowadays has a texas flynn feature . does he even have time to record between rehab stints ? "	for instance , you might say something like , " i do n't know why every song on the radio nowadays have a texas flynn feature . do he even have time to record between rehab stint ? "	ADP N;SG _ 2;NOM;PRO FIN;V NFIN;V N;SG ADP _ _ 1;NOM;PRO;SG FIN;IND;PRS;V NEG;PART NFIN;V CONJ DET N;SG ADP DEF;DET N;SG ADV 3;FIN;IND;PRS;SG;V DET;INDF PROPN;SG PROPN;SG N;SG _ 3;FIN;IND;PRS;SG;V 3;MASC;NOM;PRO;SG ADV NFIN;V N;SG PART NFIN;V ADP N;SG N;PL _ _
genesis brought back a sample from the sun almost two years ago , but stardust is also bringing back the first solid samples from the local interstellar medium —	genesis bring back a sample from the sun almost two year ago , but stardust be also bring back the first solid sample from the local interstellar medium —	PROPN;SG FIN;IND;PST;V ADV DET;INDF N;SG ADP DEF;DET PROPN;SG ADV NUM N;PL ADP _ CONJ PROPN;SG 3;FIN;IND;PRS;SG;V ADV PRS;V;V.PTCP ADV DEF;DET ADJ ADJ N;PL ADP DEF;DET ADJ ADJ N;SG _
dewar says that bureaucrats of the conservative government have complained to him about document security to the point that they ca n`t share the information with their own colleagues .	dewar say that bureaucrat of the conservative government have complain to him about document security to the point that they can n't share the information with their own colleague .	PROPN;SG 3;FIN;IND;PRS;SG;V CONJ N;PL ADP DEF;DET ADJ N;SG FIN;IND;PRS;V PST;V;V.PTCP ADP 3;ACC;MASC;PRO;SG ADP N;SG N;SG ADP DEF;DET N;SG CONJ 3;NOM;PL;PRO FIN;V PART NFIN;V DEF;DET N;SG ADP 3;PL;PRO ADJ N;PL _
the attention is the main point made in this study , since it is fundamental to the learning process and be recurring complaint among parents and teachers in schools .	the attention be the main point make in this study , since it be fundamental to the learning process and be recur complaint among parent and teacher in school .	DEF;DET N;SG 3;FIN;IND;PRS;SG;V DEF;DET ADJ N;SG PST;V;V.PTCP ADP DET;SG N;SG _ CONJ 3;NEUT;NOM;PRO;SG 3;FIN;IND;PRS;SG;V ADJ ADP DEF;DET N;SG N;SG CONJ NFIN;V V;V.MSDR N;SG ADP N;PL CONJ N;PL ADP N;PL _
unlike distributed computing projects like seti @ home , stardust @ home relies entirely on human intelligence .	unlike distribute computing project like seti @ home , stardust @ home rely entirely on human intelligence .	CONJ PST;V;V.PTCP N;SG N;PL ADP PROPN;SG ADP PROPN;SG _ PROPN;SG ADP PROPN;SG 3;FIN;IND;PRS;SG;V ADV ADP ADJ N;SG _
books , cds , expensive clothes .	book , cd , expensive clothes .	N;PL _ N;PL _ ADJ N;PL _
when something is unprecedented , it means it does n’t have a past , does n’t have a history .	when something be unprecedented , it mean it do n't have a past , do n't have a history .	CONJ N;SG 3;FIN;IND;PRS;SG;V ADJ _ 3;NEUT;NOM;PRO;SG 3;FIN;IND;PRS;SG;V 3;NEUT;NOM;PRO;SG 3;FIN;IND;PRS;SG;V PART NFIN;V DET;INDF N;SG _ 3;FIN;IND;PRS;SG;V PART NFIN;V DET;INDF N;SG _
place the roots in the holes and place soil around the stems .	place the root in the hole and place soil around the stem .	NFIN;V DEF;DET N;PL ADP DEF;DET N;PL CONJ N;SG N;SG ADP DEF;DET N;PL _
the valley of giants	the valley of giants	DEF;DET PROPN;SG ADP PL;PROPN
“ what do you think was the main reason for these experiences ? ”	" what do you think be the main reason for these experience ? "	_ PRO FIN;IND;PRS;V 2;NOM;PRO NFIN;V 3;FIN;IND;PST;SG;V DEF;DET ADJ N;SG ADP DET;PL N;PL _ _
our plan is to organize a maximum of 6 clinics , each one full day .	our plan be to organize a maximum of 6 clinic , each one full day .	1;PL;PRO N;SG 3;FIN;IND;PRS;SG;V PART NFIN;V DET;INDF N;SG ADP NUM N;PL _ PRO NUM ADJ N;SG _
( http://www.wikihow.com/wikihow:contributions-to-charity ) .	( http://www.wikihow.com/wikihow:contributions-to-charity ) .	_ PROPN;SG _ _
york was home first to the ninth legion and later the sixth .	york be home first to the ninth legion and later the sixth .	PROPN;SG 3;FIN;IND;PST;SG;V N;SG ADV ADP DEF;DET ADJ PROPN;SG CONJ ADV;CMPR DEF;DET PROPN;SG _
hens raise in battery cages stay " hypnotized " longer , possibly because of greater fear .	hen raise in battery cage stay " hypnotize " longer , possibly because of great fear .	N;PL FIN;IND;PRS;V ADP N;SG N;PL FIN;IND;PRS;V _ PST;V;V.PTCP _ ADV;CMPR _ ADV ADP ADP ADJ;CMPR N;SG _
growing beavertail can be done at any time of year by scattering seeds in a shady bed or , for faster results , planting cuttings in a mix of soil and sand and ensuring that they have a bit of water and plenty of sun .	grow beavertail can be do at any time of year by scatter seed in a shady bed or , for fast result , plant cutting in a mix of soil and sand and ensure that they have a bit of water and plenty of sun .	V;V.MSDR PROPN;SG FIN;V NFIN;V PST;V;V.PTCP ADP DET N;SG ADP N;SG CONJ V;V.MSDR N;PL ADP DET;INDF ADJ N;SG CONJ _ ADP ADJ;CMPR N;PL _ V;V.MSDR N;PL ADP DET;INDF N;SG ADP N;SG CONJ N;SG CONJ V;V.MSDR CONJ 3;NOM;PL;PRO FIN;IND;PRS;V DET;INDF N;SG ADP N;SG CONJ N;SG ADP N;SG _
rathbun requested donations via a statement made on his blog , in order to help montalvo with his legal defense financing .	rathbun request donation via a statement make on his blog , in order to help montalvo with his legal defense financing .	PROPN;SG FIN;IND;PST;V N;PL ADP DET;INDF N;SG PST;V;V.PTCP ADP 3;MASC;PRO;SG N;SG _ CONJ N;SG PART NFIN;V PROPN;SG ADP 3;MASC;PRO;SG ADJ N;SG N;SG _
he also designed furniture and houses for the wealthy as well as coins and medals , including the insignia of the society of the cincinnati .	he also design furniture and house for the wealthy as well as coin and medal , include the insignia of the society of the cincinnati .	3;MASC;NOM;PRO;SG ADV FIN;IND;PST;V N;SG CONJ N;PL ADP DEF;DET ADJ ADV ADV ADP N;PL CONJ N;PL _ V;V.MSDR DEF;DET N;SG ADP DEF;DET PROPN;SG ADP DEF;DET PROPN;SG _
the logic is that ( nearly ) all wave 4 respondents appeared in the wave 1 sample , but not all would have been interviewed at wave 3 due to differential patterns of temporary attrition .	the logic be that ( nearly ) all wave 4 respondent appear in the wave 1 sample , but not all would have be interview at wave 3 due to differential pattern of temporary attrition .	DEF;DET N;SG 3;FIN;IND;PRS;SG;V CONJ _ ADV _ DET PROPN;SG NUM N;PL FIN;IND;PST;V ADP DEF;DET PROPN;SG NUM N;SG _ CONJ NEG;PART PRO FIN;V NFIN;V PST;V;V.PTCP PST;V;V.PTCP ADP PROPN;SG NUM ADJ PART ADJ N;PL ADP ADJ N;SG _
water is the main killer in these storms .	water be the main killer in these storm .	N;SG 3;FIN;IND;PRS;SG;V DEF;DET ADJ N;SG ADP DET;PL N;PL _
will they treat and announce the competitions as they do all others — for better and worse ?	will they treat and announce the competition as they do all other — for good and bad ?	FIN;V 3;NOM;PL;PRO NFIN;V CONJ NFIN;V DEF;DET N;PL CONJ 3;NOM;PL;PRO FIN;IND;PRS;V DET N;PL _ ADP ADJ;CMPR CONJ ADJ;CMPR _
how do you feel about having a lot of your work overshadowed by the mets work ?	how do you feel about have a lot of your work overshadow by the met work ?	CONJ FIN;IND;PRS;V 2;NOM;PRO NFIN;V CONJ V;V.MSDR DET;INDF N;SG ADP 2;PRO N;SG PST;V;V.PTCP ADP DEF;DET PL;PROPN N;SG _
3 imam mosque ( called shah mosque before the revolution ) , naqsh-e jahan square , south side .	3 imam mosque ( call shah mosque before the revolution ) , naqsh-e jahan square , south side .	_ PROPN;SG PROPN;SG _ PST;V;V.PTCP PROPN;SG N;SG ADP DEF;DET N;SG _ _ PROPN;SG PROPN;SG PROPN;SG _ ADJ N;SG _
many of the neighborhoods are commercial centers and absolute heaven for foodies or those who seek quieter surroundings than the hustle and bustle of downtown and chinatown .	many of the neighborhood be commercial center and absolute heaven for foody or those who seek quiet surroundings than the hustle and bustle of downtown and chinatown .	ADJ ADP DEF;DET N;PL FIN;IND;PRS;V ADJ N;PL CONJ ADJ N;SG ADP N;PL CONJ PL;PRO PRO FIN;IND;PRS;V ADJ;CMPR N;PL ADP DEF;DET N;SG CONJ N;SG ADP N;SG CONJ PROPN;SG _
he supported himself during his studies through part-time work as a schoolteacher and as a shorthand reporter in the danish parliament .	he support himself during his study through part-time work as a schoolteacher and as a shorthand reporter in the danish parliament .	3;MASC;NOM;PRO;SG FIN;IND;PST;V 3;ACC;MASC;PRO;REFL;SG ADP 3;MASC;PRO;SG N;PL ADP ADJ N;SG ADP DET;INDF N;SG CONJ ADP DET;INDF N;SG N;SG ADP DEF;DET ADJ N;SG _
i wished the rain would stop .	i wish the rain would stop .	1;NOM;PRO;SG FIN;IND;PST;V DEF;DET N;SG FIN;V NFIN;V _
on tuesday , the new zealand government announced the start of a public process to suggest designs for a new national flag , and determine whether their citizens would prefer a different national flag over the current one .	on tuesday , the new zealand government announce the start of a public process to suggest design for a new national flag , and determine whether their citizen would prefer a different national flag over the current one .	ADP PROPN;SG _ DEF;DET PROPN;SG PROPN;SG N;SG FIN;IND;PST;V DEF;DET N;SG ADP DET;INDF ADJ N;SG PART NFIN;V N;PL ADP DET;INDF ADJ ADJ N;SG _ CONJ NFIN;V CONJ 3;PL;PRO N;PL FIN;V NFIN;V DET;INDF ADJ ADJ N;SG ADP DEF;DET ADJ NUM _
but , unless you personally know the members of your audience , here are some good rules of thumb to follow :	but , unless you personally know the member of your audience , here be some good rule of thumb to follow :	CONJ _ CONJ 2;NOM;PRO ADV FIN;IND;PRS;V DEF;DET N;PL ADP 2;PRO N;SG _ ADV FIN;IND;PRS;V DET ADJ N;PL ADP N;SG PART NFIN;V _
so they will make new mistakes .	so they will make new mistake .	ADV 3;NOM;PL;PRO FIN;V NFIN;V ADJ N;PL _
`` i say brains is the greater producer of wealth , not oil .	`` i say brain be the great producer of wealth , not oil .	_ 1;NOM;PRO;SG FIN;IND;PRS;V N;PL 3;FIN;IND;PRS;SG;V DEF;DET ADJ;CMPR N;SG ADP N;SG _ NEG;PART N;SG _
to aim at full intelligibility of the reader so he / she may understand the full implications of the message ;	to aim at full intelligibility of the reader so he / she may understand the full implication of the message ;	PART NFIN;V ADP ADJ N;SG ADP DEF;DET N;SG CONJ 3;MASC;NOM;PRO;SG _ 3;FEM;NOM;PRO;SG FIN;V NFIN;V DEF;DET ADJ N;PL ADP DEF;DET N;SG _
l'enfant took only the first of three degrees offered by the lodge and did not progress further in freemasonry .	l'enfant take only the first of three degree offer by the lodge and do not progress further in freemasonry .	PROPN;SG FIN;IND;PST;V ADV DEF;DET ADJ ADP NUM N;PL PST;V;V.PTCP ADP DEF;DET PROPN;SG CONJ FIN;IND;PST;V NEG;PART NFIN;V ADV;CMPR ADP PROPN;SG _
everyone tries it once — except that there are n’t any mites around her .	everyone try it once — except that there be n't any mite around her .	N;SG 3;FIN;IND;PRS;SG;V 3;ACC;NEUT;PRO;SG ADV _ ADP PRO PRO FIN;IND;PRS;V NEG;PART DET N;PL ADP 3;ACC;FEM;PRO;SG _
his most notable contribution to translation theory is dynamic equivalence , also known as functional equivalence .	his most notable contribution to translation theory be dynamic equivalence , also know as functional equivalence .	3;MASC;PRO;SG ADV ADJ N;SG ADP N;SG N;SG 3;FIN;IND;PRS;SG;V PROPN;SG PROPN;SG _ ADV PST;V;V.PTCP ADP PROPN;SG PROPN;SG _
another variation is where the referee places the snitch somewhere in the field ( in this case it 's a small ball ) .	another variation be where the referee place the snitch somewhere in the field ( in this case it be a small ball ) .	DET N;SG 3;FIN;IND;PRS;SG;V CONJ DEF;DET N;SG 3;FIN;IND;PRS;SG;V DEF;DET N;SG ADV ADP DEF;DET N;SG _ ADP DET;SG N;SG 3;NEUT;NOM;PRO;SG 3;FIN;IND;PRS;SG;V DET;INDF ADJ N;SG _ _
refrigerate overnight .	refrigerate overnight .	NFIN;V ADV _
" -- think again . "	" -- think again . "	_ _ NFIN;V ADV _ _
veronique stayed with me that night , lying next to me in my blankets and furs .	veronique stay with me that night , lie next to me in my blanket and fur .	PROPN;SG FIN;IND;PST;V ADP 1;ACC;PRO;SG DET;SG N;SG _ V;V.MSDR ADJ ADP 1;ACC;PRO;SG ADP 1;PRO;SG N;PL CONJ N;PL _
you wo n't be tripping over boxes and you can have a better idea of what you have and where things are .	you wo n't be trip over box and you can have a good idea of what you have and where thing be .	2;NOM;PRO FIN;V NEG;PART NFIN;V PRS;V;V.PTCP ADP N;PL CONJ 2;NOM;PRO FIN;V NFIN;V DET;INDF ADJ;CMPR N;SG ADP PRO 2;NOM;PRO FIN;IND;PRS;V CONJ CONJ N;PL FIN;IND;PRS;V _
it is best to play it safe with wats and other sacred sites in thailand ;	it be well to play it safe with wat and other sacred site in thailand ;	3;NEUT;NOM;PRO;SG 3;FIN;IND;PRS;SG;V ADJ;RL PART NFIN;V 3;ACC;NEUT;PRO;SG ADJ ADP N;PL CONJ ADJ ADJ N;PL ADP PROPN;SG _
climate	climate	N;SG
a silver swarm coalesces around the 164th , and she vanishes into it , like a snip of scallion into cloudy miso soup .	a silver swarm coalesce around the 164th , and she vanish into it , like a snip of scallion into cloudy miso soup .	DET;INDF ADJ N;SG 3;FIN;IND;PRS;SG;V ADP DEF;DET ADJ _ CONJ 3;FEM;NOM;PRO;SG 3;FIN;IND;PRS;SG;V ADP 3;NEUT;NOM;PRO;SG _ ADP DET;INDF N;SG ADP N;SG ADP ADJ N;SG N;SG _
second , we examined the relative proportions of the two discrimination experience measures across each racial category .	second , we examine the relative proportion of the two discrimination experience measure across each racial category .	ADV _ 1;NOM;PL;PRO FIN;IND;PST;V DEF;DET ADJ N;PL ADP DEF;DET NUM N;SG N;SG N;PL ADP DET ADJ N;SG _
ali qapu palace	ali qapu palace	PROPN;SG PROPN;SG PROPN;SG
simply force yourself to use the next 120 seconds to be productive and do the duty you normally would push off for hours or days . [ 1 ] .	simply force yourself to use the next @card@ second to be productive and do the duty you normally would push off for hour or day . [ 1 ] .	ADV NFIN;V 2;ACC;PRO;REFL;SG PART NFIN;V DEF;DET ADJ NUM N;PL PART NFIN;V ADJ CONJ NFIN;V DEF;DET N;SG 2;NOM;PRO ADV FIN;V NFIN;V ADP ADP N;PL CONJ N;PL _ _ NUM _ _
the doctor , a woman i do n’t know , is sitting in the other chair .	the doctor , a woman i do n't know , be sit in the other chair .	DEF;DET N;SG _ DET;INDF N;SG 1;NOM;PRO;SG FIN;IND;PRS;V NEG;PART NFIN;V _ 3;FIN;IND;PRS;SG;V PRS;V;V.PTCP ADP DEF;DET ADJ N;SG _
so you want to flirt with a guy or gal on msn , aim , facebook chat , or any other instant messaging service and you do n't want to look like a creep ?	so you want to flirt with a guy or gal on msn , aim , facebook chat , or any other instant message service and you do n't want to look like a creep ?	ADV 2;NOM;PRO FIN;IND;PRS;V PART NFIN;V ADP DET;INDF N;SG CONJ N;SG ADP PROPN;SG _ PROPN;SG _ PROPN;SG PROPN;SG _ CONJ DET ADJ ADJ V;V.MSDR N;SG CONJ 2;NOM;PRO FIN;IND;PRS;V NEG;PART NFIN;V PART NFIN;V ADP DET;INDF N;SG _
today 's announcement is an affront to the thousands of dedicated men and women at johnson space center , the greater houston community and the state of texas , and i m deeply disappointed with the administration 's misguided decision . “	today 's announcement be an affront to the thousand of dedicated man and woman at johnson space center , the great houston community and the state of texas , and i be deeply disappoint with the administration 's misguided decision . "	N;SG PART N;SG 3;FIN;IND;PRS;SG;V DET;INDF N;SG ADP DEF;DET N;PL ADP ADJ N;PL CONJ N;PL ADP PROPN;SG PROPN;SG PROPN;SG _ DEF;DET ADJ;CMPR PROPN;SG N;SG CONJ DEF;DET PROPN;SG ADP PROPN;SG _ CONJ 1;NOM;PRO;SG FIN;IND;PRS;V ADV PST;V;V.PTCP ADP DEF;DET PROPN;SG PART ADJ N;SG _ _
what qualifications do you have that will assist you in executing the duties of president ?	what qualification do you have that will assist you in execute the duty of president ?	DET N;PL FIN;IND;PRS;V 2;NOM;PRO FIN;IND;PRS;V PRO;SG FIN;V NFIN;V 2;NOM;PRO CONJ V;V.MSDR DEF;DET N;PL ADP N;SG _
we do n't want to have to give anyone permission to use our recordings , we want anyone to use them for whatever they want .	we do n't want to have to give anyone permission to use our recording , we want anyone to use them for whatever they want .	1;NOM;PL;PRO FIN;IND;PRS;V NEG;PART NFIN;V PART NFIN;V PART NFIN;V N;SG N;SG PART NFIN;V 1;PL;PRO N;PL _ 1;NOM;PL;PRO FIN;IND;PRS;V N;SG PART NFIN;V 3;ACC;PL;PRO ADP PRO 3;NOM;PL;PRO FIN;IND;PRS;V _
i would like to bring people from the heartland of america that make this nation work .	i would like to bring people from the heartland of america that make this nation work .	1;NOM;PRO;SG FIN;V NFIN;V PART NFIN;V N;PL ADP DEF;DET N;SG ADP PROPN;SG PRO FIN;IND;PRS;V DET;SG N;SG NFIN;V _
in order to design this curriculum we follow a four step approach with a working out loud - principle ( williams , 2010 ) :	in order to design this curriculum we follow a four step approach with a working out loud - principle ( williams , @card@ ) :	CONJ N;SG PART NFIN;V DET;SG N;SG 1;NOM;PL;PRO FIN;IND;PRS;V DET;INDF NUM N;SG N;SG ADP DET;INDF PROPN;SG PROPN;SG PROPN;SG _ N;SG _ PROPN;SG _ NUM _ _
contains some spectacular battle murals .	contain some spectacular battle mural .	3;FIN;IND;PRS;SG;V DET ADJ N;SG N;PL _
however , you can put them in if you want .	however , you can put them in if you want .	ADV _ 2;NOM;PRO FIN;V NFIN;V 3;ACC;PL;PRO ADP CONJ 2;NOM;PRO FIN;IND;PRS;V _
tuesday , september 22 , 2015	tuesday , september @card@ , @card@	PROPN;SG _ PROPN;SG NUM _ NUM
by this time , " her skin was weeping , her body malnourished and her corneas melting " , according to the sydney morning herald .	by this time , " her skin be weep , her body malnourished and her cornea melting " , accord to the sydney morning herald .	ADP DET;SG N;SG _ _ 3;FEM;PRO;SG N;SG 3;FIN;IND;PST;SG;V PRS;V;V.PTCP _ 3;FEM;PRO;SG N;SG ADJ CONJ 3;FEM;PRO;SG N;PL PRS;V;V.PTCP _ _ V;V.MSDR PART DEF;DET PROPN;SG PROPN;SG PROPN;SG _
then he started to see the real horrors of war .	then he start to see the real horror of war .	ADV 3;MASC;NOM;PRO;SG FIN;IND;PST;V PART NFIN;V DEF;DET ADJ N;PL ADP N;SG _
use twist ties to keep the straps fastened .	use twist tie to keep the strap fasten .	NFIN;V N;SG N;PL PART NFIN;V DEF;DET N;PL PST;V;V.PTCP _
ubisoft , microsoft , and playstation vr all had large areas set up for attendees to try their latest games .	ubisoft , microsoft , and playstation vr all have large area set up for attendee to try their late game .	PROPN;SG _ PROPN;SG _ CONJ PROPN;SG PROPN;SG ADV FIN;IND;PST;V ADJ N;PL PST;V;V.PTCP ADP CONJ N;PL PART NFIN;V 3;PL;PRO ADJ;RL N;PL _
fort lee is located between the paramus , nj retail corridor and upper manhattan .	fort lee be locate between the paramus , nj retail corridor and upper manhattan .	PROPN;SG PROPN;SG 3;FIN;IND;PRS;SG;V PST;V;V.PTCP ADP DEF;DET PROPN;SG _ PROPN;SG N;SG N;SG CONJ PROPN;SG PROPN;SG _
he was deposited in an office on the 33rd floor where a pricy church lawyer interrogated him for two hours . "	he be deposit in an office on the 33rd floor where a pricy church lawyer interrogate him for two hour . "	3;MASC;NOM;PRO;SG 3;FIN;IND;PST;SG;V PST;V;V.PTCP ADP DET;INDF N;SG ADP DEF;DET ADJ N;SG CONJ DET;INDF ADJ N;SG N;SG FIN;IND;PST;V 3;ACC;MASC;PRO;SG ADP NUM N;PL _ _
her smile , with that chaste yellow dress , so bashful .	her smile , with that chaste yellow dress , so bashful .	3;FEM;PRO;SG N;SG _ ADP DET;SG ADJ ADJ N;SG _ ADV ADJ _
his ph.d. dissertation , a synopsis of english syntax , was the first full-scale analysis of a major language according to the " immediate-constituent " theory .	his ph.d. dissertation , a synopsis of english syntax , be the first full-scale analysis of a major language accord to the '' immediate-constituent '' theory .	3;MASC;PRO;SG PROPN;SG N;SG _ DET;INDF PROPN;SG ADP PROPN;SG PROPN;SG _ 3;FIN;IND;PST;SG;V DEF;DET ADJ ADJ N;SG ADP DET;INDF ADJ N;SG V;V.MSDR PART DEF;DET _ ADJ _ N;SG _
the waters of the islands are known for their clarity , it being said that you can see the bottom at 40 metres .	the water of the island be know for their clarity , it be say that you can see the bottom at @card@ metre .	DEF;DET N;PL ADP DEF;DET N;PL FIN;IND;PRS;V PST;V;V.PTCP ADP 3;PL;PRO N;SG _ 3;NEUT;NOM;PRO;SG V;V.MSDR PST;V;V.PTCP CONJ 2;NOM;PRO FIN;V NFIN;V DEF;DET N;SG ADP NUM N;PL _
but if somebody wakes up one morning and suddenly no longer is funny , then yeah , head first , out the door as quickly as possible , and as sadistically as possible .	but if somebody wake up one morning and suddenly no longer be funny , then yeah , head first , out the door as quickly as possible , and as sadistically as possible .	CONJ CONJ N;SG 3;FIN;IND;PRS;SG;V ADP NUM N;SG CONJ ADV ADV;NEG ADV;CMPR 3;FIN;IND;PRS;SG;V ADJ _ ADV ADV _ N;SG ADJ _ ADP DEF;DET N;SG ADP ADV CONJ ADJ _ CONJ ADV ADV CONJ ADJ _
see the pictures .	see the picture .	NFIN;V DEF;DET N;PL _
displays of charity at event	display of charity at event	N;PL ADP N;SG ADP N;SG
how do you feel about that ?	how do you feel about that ?	CONJ FIN;IND;PRS;V 2;NOM;PRO FIN;IND;PRS;V ADP PRO _
objectively , this is not likely to help very much ; but it may improve your emotional state .	objectively , this be not likely to help very much ; but it may improve your emotional state .	ADV _ PRO;SG 3;FIN;IND;PRS;SG;V NEG;PART ADJ PART NFIN;V ADV ADV _ CONJ 3;NEUT;NOM;PRO;SG FIN;V NFIN;V 2;PRO ADJ N;SG _
there 's jeff [ drake ] , who is behind the camera .	there be jeff [ drake ] , who be behind the camera .	PRO 3;FIN;IND;PRS;SG;V PROPN;SG _ PROPN;SG _ _ PRO 3;FIN;IND;PRS;SG;V ADP DEF;DET N;SG _
the population increased , as many people from luzon and the visayas came to work either as fishermen or miners .	the population increase , as many people from luzon and the visaya come to work either as fisherman or miner .	DEF;DET N;SG FIN;IND;PST;V _ CONJ ADJ N;PL ADP PROPN;SG CONJ DEF;DET PROPN;SG FIN;IND;PST;V PART NFIN;V CONJ ADP N;PL CONJ N;PL _
i was n't interested in making either of these sacrifices , as i think the world 's how to manual needs to be high quality and comprehensive .	i be n't interested in make either of these sacrifice , as i think the world 's how to manual need to be high quality and comprehensive .	1;NOM;PRO;SG 3;FIN;IND;PST;SG;V NEG;PART PST;V;V.PTCP CONJ V;V.MSDR PRO ADP DET;PL N;PL _ CONJ 1;NOM;PRO;SG FIN;IND;PRS;V DEF;DET N;SG PART CONJ PART N;SG 3;FIN;IND;PRS;SG;V PART NFIN;V ADJ N;SG CONJ ADJ _
working with a timer is generally regarded by most experts as being one of the best ways to develop self-discipline and stop procrastination .	work with a timer be generally regard by most expert as be one of the good way to develop self-discipline and stop procrastination .	V;V.MSDR ADP DET;INDF N;SG 3;FIN;IND;PRS;SG;V ADV PST;V;V.PTCP ADP ADJ;RL N;PL CONJ V;V.MSDR NUM ADP DEF;DET ADJ;RL N;PL PART NFIN;V N;SG CONJ NFIN;V N;SG _
he was most widely recognized for some of his books .	he be most widely recognize for some of his book .	3;MASC;NOM;PRO;SG 3;FIN;IND;PST;SG;V ADV ADV PST;V;V.PTCP ADP PRO ADP 3;MASC;PRO;SG N;PL _
u-haul and other nation companies offer box buy back services .	u-haul and other nation company offer box buy back service .	PROPN;SG CONJ ADJ N;SG N;PL FIN;IND;PRS;V N;SG NFIN;V ADP N;PL _
eyes closing , she leans in for the kiss .	eye close , she lean in for the kiss .	N;PL V;V.MSDR _ 3;FEM;NOM;PRO;SG 3;FIN;IND;PRS;SG;V ADP ADP DEF;DET N;SG _
from the southeast / arkansas - the " muskogee turnpike . "	from the southeast / arkansas - the " muskogee turnpike . "	ADP DEF;DET N;SG _ PROPN;SG _ DEF;DET _ PROPN;SG PROPN;SG _ _
once two sets of leaves have formed , basil can be planted into the garden or permanent containers .	once two set of leave have form , basil can be plant into the garden or permanent container .	ADV NUM N;PL ADP N;PL FIN;IND;PRS;V PST;V;V.PTCP _ N;SG FIN;V NFIN;V PST;V;V.PTCP ADP DEF;DET N;SG CONJ ADJ N;PL _
it is really two missions in one .	it be really two mission in one .	3;NEUT;NOM;PRO;SG 3;FIN;IND;PRS;SG;V ADV NUM N;PL ADP NUM _
over the course of the next 15 years , money was poured into new transportation infrastructure projects , the restoration of surviving neoclassical buildings , the gentrification of the city 's historical center and the renovation of many former industrial areas and the city 's coastline .	over the course of the next @card@ year , money be pour into new transportation infrastructure project , the restoration of survive neoclassical building , the gentrification of the city 's historical center and the renovation of many former industrial area and the city 's coastline .	ADP DEF;DET N;SG ADP DEF;DET ADJ NUM N;PL _ N;SG 3;FIN;IND;PST;SG;V PST;V;V.PTCP ADP ADJ N;SG N;SG N;PL _ DEF;DET N;SG ADP V;V.MSDR ADJ N;PL _ DEF;DET N;SG ADP DEF;DET N;SG PART ADJ N;SG CONJ DEF;DET N;SG ADP ADJ ADJ ADJ N;PL CONJ DEF;DET N;SG PART N;SG _
however , this fruitful period was short-lived , as greece suffered badly under the ottoman empire , only to recover in the 19th century as the capital of independent greece .	however , this fruitful period be short-lived , as greece suffer badly under the ottoman empire , only to recover in the 19th century as the capital of independent greece .	ADV _ DET;SG ADJ N;SG 3;FIN;IND;PST;SG;V ADJ _ CONJ PROPN;SG FIN;IND;PST;V ADV ADP DEF;DET PROPN;SG PROPN;SG _ ADV PART NFIN;V ADP DEF;DET ADJ N;SG ADP DEF;DET N;SG ADP ADJ PROPN;SG _
