ja vel kor langt uti kunne ein gå ?	ja vel kor lang uti kunne ein gå $?	INTJ ADV ADV ADJ;INDF;NEUT;SG ADP FIN;IND;PST;V HUM;NOM;PRO;SG NFIN;V _
og du hadde mjølk i spann ?	og du ha mjølk i spann $?	CONJ 2;HUM;NOM;PRO;SG FIN;IND;PST;V FEM;INDF;N;SG ADP INDF;N;NEUT;SG _
det hende det òg .	det hende det òg $.	3;NEUT;PRO;SG FIN;IND;PST;V 3;NEUT;PRO;SG ADV _
ja ja .	ja ja $.	INTJ INTJ _
ho er vel f2 er vel # sjuåtteogførti år ## .	ho vere vel f2 vere vel # sjuåtteogførti år ## $.	3;FEM;NOM;PRO;SG FIN;IND;PRS;V ADV PROPN FIN;IND;PRS;V ADV _ NUM;PL INDF;N;NEUT;PL _ _
vi budde nå i same # leikte nå i lag som som som barn .	vi bu nå i same # leike nå i lag som som som barn $.	1;HUM;NOM;PL;PRO FIN;IND;PST;V ADV ADP DEF;DET _ FIN;IND;PST;V ADV ADP INDF;N;NEUT;PL ADP ADP ADP INDF;N;NEUT;PL _
og så hadde de nå gikta .	og så ha de nå gikt $.	CONJ ADV FIN;IND;PST;V 2;HUM;NOM;PL;PRO ADV DEF;FEM;N;SG _
var jo med og leste på og var med dei dreiv dei .	vere jo med og lesse på og vere med dei drive dei $.	FIN;IND;PST;V ADV ADP CONJ FIN;IND;PST;V ADP CONJ FIN;IND;PST;V CONJ 3;HUM;NOM;PL;PRO FIN;IND;PST;V 3;HUM;NOM;PL;PRO _
jaha .	jaha $.	INTJ _
ja .	ja $.	INTJ _
ja det der med plutseleg uvêr det var vel # eit problem ?	ja det der med plutseleg uvêr det vere vel # ein problem $?	INTJ 3;NEUT;PRO;SG ADV ADP ADJ;INDF;NEUT;SG INDF;N;NEUT;SG 3;NEUT;PRO;SG FIN;IND;PST;V ADV _ DET;NEUT;SG INDF;N;NEUT;SG _
å det måtte vi gjere det kunne jo forekomme om kvelden etter du var kommen igjen ifrå byen au det .	å det måtte vi gjere det kunne jo forekomme om kveld etter du vere komme igjen ifrå by au det $.	INTJ 3;NEUT;PRO;SG FIN;IND;PST;V 1;HUM;NOM;PL;PRO NFIN;V 3;NEUT;PRO;SG FIN;IND;PST;V ADV NFIN;V ADP DEF;MASC;N;SG ADP 2;HUM;NOM;PRO;SG FIN;IND;PST;V ADJ;INDF;SG ADV ADP DEF;MASC;N;SG ADV 3;NEUT;PRO;SG _
mm .	mm $.	INTJ _
» sa nå dei her andre mennene « nei eg veit ikkje kor det er blitt av han # men eg såg lysa er sikker på at det var lysa eg så utav # det er jo ikkje nokre andre båtar som er på havet » sa eg .	» seie nå dei her annan mann « nei eg vite ikkje kor det vere bli av han # men eg sjå lyse vere sikker på at det vere lys eg så utav # det vere jo ikkje nokon annan båt som vere på hav » seie eg $.	_ FIN;IND;PST;V ADV 3;HUM;NOM;PL;PRO ADV DET;PL DEF;MASC;N;PL _ INTJ 1;HUM;NOM;PRO;SG FIN;IND;PRS;V NEG;PART ADV 3;NEUT;PRO;SG FIN;IND;PRS;V ADJ;INDF;NEUT;SG ADP 3;ACC;MASC;PRO;SG _ CONJ 1;HUM;NOM;PRO;SG FIN;IND;PST;V DEF;FEM;N;SG FIN;IND;PRS;V ADJ;INDF;SG CONJ CONJ 3;NEUT;PRO;SG FIN;IND;PST;V DEF;N;NEUT;PL 1;HUM;NOM;PRO;SG FIN;IND;PRS;V ADP _ 3;NEUT;PRO;SG FIN;IND;PRS;V ADV NEG;PART DET;PL DET;PL INDF;MASC;N;PL PRO FIN;IND;PRS;V ADP DEF;N;NEUT;SG _ FIN;IND;PST;V 1;HUM;NOM;PRO;SG _
ja .	ja $.	INTJ _
og ein annan båt og det ser nei det var før # ja var det uvêr verkeleg uvêr visst # han kom altså bort det ein fann # noko igjen av båten og reiskap det kan jo .	og ein annan båt og det sjå nei det vere før # ja vere det uvêr verkeleg uvêr visst # han komme altså bort det ein finne # noko igjen av båt og reiskap det kunne jo $.	CONJ DET;MASC;SG DET;INDF;MASC;SG INDF;MASC;N;SG CONJ 3;NEUT;PRO;SG FIN;IND;PRS;V INTJ 3;NEUT;PRO;SG FIN;IND;PST;V ADP _ INTJ FIN;IND;PST;V 3;NEUT;PRO;SG INDF;N;NEUT;SG ADJ;INDF;NEUT;SG INDF;N;NEUT;SG ADV _ 3;MASC;NOM;PRO;SG FIN;IND;PST;V ADV ADP 3;NEUT;PRO;SG HUM;NOM;PRO;SG FIN;IND;PST;V _ 3;ACC;NEUT;PRO;SG ADV ADP DEF;MASC;N;SG CONJ INDF;MASC;N;SG 3;NEUT;PRO;SG FIN;IND;PRS;V ADV _
# ja han var med # da eg blei skada han var om bord i lag med meg # men han berga seg .	# ja han vere med # da eg bli skade han vere om bord i lag med eg # men han berge seg $.	_ INTJ 3;MASC;NOM;PRO;SG FIN;IND;PST;V ADP _ ADV 1;HUM;NOM;PRO;SG FIN;IND;PST;V ADJ;INDF;SG 3;MASC;NOM;PRO;SG FIN;IND;PST;V ADP INDF;MASC;N;SG ADP INDF;N;NEUT;PL ADP 1;ACC;HUM;PRO;SG _ CONJ 3;MASC;NOM;PRO;SG FIN;IND;PST;V ACC;PRO;REFL _
eg har ikkje vore med anna enn seksti-søtti mil .	eg ha ikkje vere med annan enn seksti-søtti mil $.	1;HUM;NOM;PRO;SG FIN;IND;PRS;V NEG;PART V;V.PTCP ADP DET;INDF;NEUT;SG ADP _ FEM;INDF;N;PL _
kor tid slutta du med bilkjøringa du ?	kor tid slutte du med bilkjøring du $?	ADV FEM;INDF;N;SG FIN;IND;PST;V 2;HUM;NOM;PRO;SG ADP DEF;FEM;N;SG 2;HUM;NOM;PRO;SG _
ja vel .	ja vel $.	INTJ ADV _
men de hadde vel sånne vêrmerke ?	men de ha vel sånn vêrmerke $?	CONJ 2;HUM;NOM;PL;PRO FIN;IND;PST;V ADV DET;PL INDF;N;NEUT;PL _
seinare så e dreiv de med vegarbeid var det slik ?	sein så e drive de med vegarbeid vere det slik $?	ADJ ADV _ FIN;IND;PST;V 2;HUM;NOM;PL;PRO ADP INDF;N;NEUT;PL FIN;IND;PST;V 3;NEUT;PRO;SG ADV _
jaha .	jaha $.	INTJ _
han var jo # ja han var jo oppvaksen og her i vardø og .	han vere jo # ja han vere jo oppvaksen og her i vardø og $.	3;MASC;NOM;PRO;SG FIN;IND;PST;V ADV _ INTJ 3;MASC;NOM;PRO;SG FIN;IND;PST;V ADV ADJ;INDF;MASC;SG CONJ ADV ADP PROPN CONJ _
ja det er litt igjen på bandet det er ikkje mykje men .	ja det vere litt igjen på band det vere ikkje mykje men $.	INTJ 3;NEUT;PRO;SG FIN;IND;PRS;V ADJ;INDF;NEUT;SG ADV ADP DEF;N;NEUT;SG 3;NEUT;PRO;SG FIN;IND;PRS;V NEG;PART ADJ;INDF;NEUT;SG CONJ _
nei e da # går vi til køys og kosar oss # eg og kjerringa .	nei e da # gå vi til køy og kose vi # eg og kjerring $.	INTJ _ ADV _ FIN;IND;PRS;V 1;HUM;NOM;PL;PRO ADP FEM;INDF;N;SG CONJ FIN;IND;PRS;V 1;ACC;HUM;PL;PRO _ 1;HUM;NOM;PRO;SG CONJ DEF;FEM;N;SG _
han låg på sjukehuset i e på riksen .	han ligge på sjukehus i e på riksen $.	3;MASC;NOM;PRO;SG FIN;IND;PST;V ADP DEF;N;NEUT;SG ADP _ ADP PROPN _
ja det var forskjellige stemne der det var noko # tillaga noko det .	ja det vere forskjellig stemne der det vere nokon # tillaga noko det $.	INTJ 3;NEUT;PRO;SG FIN;IND;PST;V ADJ;PL INDF;N;NEUT;PL ADV 3;NEUT;PRO;SG FIN;IND;PST;V DET;NEUT;SG _ ADJ;INDF;NEUT;SG 3;ACC;NEUT;PRO;SG 3;NEUT;PRO;SG _
mm .	mm $.	INTJ _
og så ?	og så $?	CONJ ADV _
desse her fordane førstninga .	desse her fordane førstning $.	3;NOM;PL;PRO ADV PROPN DEF;FEM;N;SG _
ja # berre femtiliterar .	ja # berre femtiliter $.	INTJ _ ADV INDF;MASC;N;PL _
han ?	han $?	3;MASC;NOM;PRO;SG _
så overtok dreiv ikkje båten han # han dreiv båten på den måten at # når han hadde drive inn så eit visst beløp som han viste meg eg meinte på båten var verd å ha- .	så overta drive ikkje båt han # han drive båt på den måte at # når han ha drive inn så ein viss beløp som han vise eg eg meine på båt vere verd å ha- $.	ADV FIN;IND;PST;V FIN;IND;PST;V NEG;PART DEF;MASC;N;SG 3;ACC;MASC;PRO;SG _ 3;MASC;NOM;PRO;SG FIN;IND;PST;V DEF;MASC;N;SG ADP DET;MASC;SG DEF;MASC;N;SG CONJ _ CONJ 3;MASC;NOM;PRO;SG FIN;IND;PST;V V;V.PTCP ADP ADV DET;NEUT;SG ADJ;INDF;NEUT;SG INDF;N;NEUT;SG PRO 3;MASC;NOM;PRO;SG FIN;IND;PST;V 1;ACC;HUM;PRO;SG 1;HUM;NOM;PRO;SG FIN;IND;PST;V ADP DEF;MASC;N;SG FIN;IND;PST;V ADJ;INDF;SG PART _ _
.	$.	_
det var ikkje ... .	det vere ikkje … $.	3;NEUT;PRO;SG FIN;IND;PST;V NEG;PART _ _
dreiv på garden der oppe ja # sette opp # bygde opp det gamle fjøset til sånn kubbefjøs # å så dreiv vel .	drive på gard der oppe ja # sette opp # bygge opp det gammal fjøs til sånn kubbefjøs # _ så drive vel $.	FIN;IND;PST;V ADP DEF;MASC;N;SG ADV ADP INTJ _ FIN;IND;PST;V ADP _ FIN;IND;PST;V ADP DET;NEUT;SG ADJ;DEF;SG DEF;N;NEUT;SG ADP DET;MASC;SG INDF;N;NEUT;SG _ _ ADV FIN;IND;PST;V ADV _
ja elendig det .	ja elendig det $.	INTJ ADJ;INDF;NEUT;SG 3;NEUT;PRO;SG _
men den var ein gong som e ## esso # dei kjente eg godt og dei e .	men den vere ein gong som e ## esso # dei kjenne eg god og dei e $.	CONJ 3;NOM;PRO;SG FIN;IND;PST;V DET;MASC;SG INDF;MASC;N;SG PRO _ _ PROPN _ 3;HUM;NOM;PL;PRO FIN;IND;PST;V 1;HUM;NOM;PRO;SG ADJ;INDF;NEUT;SG CONJ 3;HUM;NOM;PL;PRO _ _
ja .	ja $.	INTJ _
e i e oppå tungarden nedunder tungarden her .	e i e oppå tungard nedunder tungard her $.	_ ADP _ ADP DEF;MASC;N;SG ADP DEF;MASC;N;SG ADV _
ja # det har vore griser her på hærland før # nå ?	ja # det ha vere gris her på hærland før # nå $?	INTJ _ 3;NEUT;PRO;SG FIN;IND;PRS;V V;V.PTCP INDF;MASC;N;PL ADV ADP PROPN ADP _ ADV _
d- dei .	d- dei $.	_ 3;HUM;NOM;PL;PRO _
til og med i nittenåt- ja treogfemti og sidan har det ikkje vore folk på sjøen nei .	til og ned i nittenåt- ja treogfemti og sidan ha det ikkje vere folk på sjø nei $.	ADP CONJ ADP ADP _ INTJ NUM;PL CONJ ADV FIN;IND;PRS;V 3;NEUT;PRO;SG NEG;PART V;V.PTCP INDF;N;NEUT;PL ADP DEF;MASC;N;SG INTJ _
da blei det # da blei det gø- det var valltron og julemmen og m1 og eg .	da bli det # da bli det gø- det vere valltron og julemmen og m1 og eg $.	ADV FIN;IND;PST;V 3;NEUT;PRO;SG _ ADV FIN;IND;PST;V 3;NEUT;PRO;SG _ 3;NEUT;PRO;SG FIN;IND;PST;V PROPN CONJ PROPN CONJ PROPN CONJ 1;HUM;NOM;PRO;SG _
ja det var nå basen så hadde kommandoen veit du og # så kommanderte nota ut .	ja det vere nå bas så ha kommando vite du og # så kommandere not ut $.	INTJ 3;NEUT;PRO;SG FIN;IND;PST;V ADV DEF;MASC;N;SG CONJ FIN;IND;PST;V DEF;MASC;N;SG FIN;IND;PRS;V 2;HUM;NOM;PRO;SG CONJ _ ADV FIN;IND;PST;V DEF;FEM;N;SG ADP _
ja .	ja $.	INTJ _
var det ei sånn vanleg laste- # sånn skute ?	vere det ein sånn vanleg laste- # sånn skute $?	FIN;IND;PST;V 3;NEUT;PRO;SG DET;FEM;SG DET;FEM;SG ADJ;INDF;SG _ _ DET;FEM;SG FEM;INDF;N;SG _
ja .	ja $.	INTJ _
både på lundeby og # oppi ha- opp i fram .	både på lundeby og # oppi ha- opp i fram $.	CONJ ADP PROPN CONJ _ ADP _ ADP ADP ADP _
men du kunne ikkje drifte i allslags vêr med doryane det den tid då rodde dei det vart # hardare bod når du fekk motor i # doryane .	men du kunne ikkje drifte i allslags vêr med dory det den tid då ro dei det bli # hard bod når du få motor i # dory $.	CONJ 2;HUM;NOM;PRO;SG FIN;IND;PST;V NEG;PART NFIN;V ADP ADJ;PL INDF;N;NEUT;PL ADP DEF;MASC;N;PL 3;NEUT;PRO;SG DET;FEM;SG FEM;INDF;N;SG ADV FIN;IND;PST;V 3;HUM;NOM;PL;PRO 3;NEUT;PRO;SG FIN;IND;PST;V _ ADJ INDF;N;NEUT;PL CONJ 2;HUM;NOM;PRO;SG FIN;IND;PST;V INDF;MASC;N;SG ADP _ DEF;MASC;N;PL _
mm .	mm $.	INTJ _
ja .	ja $.	INTJ _
ja ## ja .	ja ## ja $.	INTJ _ INTJ _
der var det rømmsjl- rømlingar ifrå heilt ifrå askim og # heilt til ge- .	der vere det rømmsjl- rømling ifrå heil ifrå askim og # heil til ge- $.	ADV FIN;IND;PST;V 3;NEUT;PRO;SG _ INDF;MASC;N;PL ADP ADJ;INDF;NEUT;SG ADP PROPN CONJ _ ADJ;INDF;NEUT;SG ADP _ _
.	$.	_
ja vel .	ja vel $.	INTJ ADV _
han m10 og han m11 og dei dei dreiv e .	han m10 og han m11 og dei dei drive e $.	3;MASC;NOM;PRO;SG PROPN CONJ 3;MASC;NOM;PRO;SG PROPN CONJ 3;HUM;NOM;PL;PRO 3;HUM;NOM;PL;PRO FIN;IND;PST;V _ _
så dei begynte på midten på nota da ?	så dei begynne på midt på not da $?	CONJ 3;HUM;NOM;PL;PRO FIN;IND;PST;V ADP DEF;MASC;N;SG ADP DEF;FEM;N;SG ADV _
men så gjekk det etter kvart så det blei ikkje noko # var ikkje noko langvarig det altså men # .	men så gå det etter kvar så det bli ikkje noko # vere ikkje nokon langvarig det altså men # $.	CONJ ADV FIN;IND;PST;V 3;NEUT;PRO;SG ADP DET;NEUT;SG CONJ 3;NEUT;PRO;SG FIN;IND;PST;V NEG;PART 3;ACC;NEUT;PRO;SG _ FIN;IND;PST;V NEG;PART DET;NEUT;SG ADJ;INDF;NEUT;SG 3;NEUT;PRO;SG ADV CONJ _ _
for å halde båten bein .	for å halde båt bein $.	ADP PART NFIN;V DEF;MASC;N;SG ADJ;INDF;SG _
nei nei til kongsfjord .	nei nei til kongsfjord $.	INTJ INTJ ADP PROPN _
spring du gjerne # og alt det slitet der # det hadde du ingenting føre .	springe du gjerne # og all det slit der # det ha du ingenting føre $.	FIN;IND;PRS;V 2;HUM;NOM;PRO;SG ADV _ CONJ DET;NEUT;SG DET;NEUT;SG DEF;N;NEUT;SG ADV _ 3;NEUT;PRO;SG FIN;IND;PST;V 2;HUM;NOM;PRO;SG ACC;NEG;PRO;SG ADP _
for da ee # ja ja # ja vi slutta å køyre til oslo da .	for da ee # ja ja # ja vi slutte å køyre til oslo da $.	CONJ ADV _ _ INTJ INTJ _ INTJ 1;HUM;NOM;PL;PRO FIN;IND;PST;V PART NFIN;V ADP PROPN ADV _
ja # ifrå naustet i sandvika og # nesten opp til vestdalen til m1 .	ja # ifrå naust i sandvika og # nesten opp til vestdalen til m1 $.	INTJ _ ADP DEF;N;NEUT;SG ADP PROPN CONJ _ ADV ADP ADP PROPN ADP PROPN _
ja # det var både og .	ja # det vere både og $.	INTJ _ 3;NEUT;PRO;SG FIN;IND;PST;V CONJ CONJ _
jaha .	jaha $.	INTJ _
og dette gjekk nokon dagar og sidan så mått- sidan så reiste vi til sverige .	og dette gå nokon dag og sidan så mått- sidan så reise vi til sverige $.	CONJ 3;NEUT;NOM;PRO;SG FIN;IND;PST;V DET;PL INDF;MASC;N;PL ADV ADV CONJ _ ADV ADV FIN;IND;PST;V 1;HUM;NOM;PL;PRO ADP PROPN _
og nummer tre ho bur # enda lenger her borte .	og nummer tre ho bu # enda lenger her borte $.	CONJ INDF;N;NEUT;SG NUM;PL 3;FEM;NOM;PRO;SG FIN;IND;PRS;V _ ADV ADV ADV ADP _
e nei det var # det var ei fiskarskute .	e nei det vere # det vere ein fiskarskute $.	_ INTJ 3;NEUT;PRO;SG FIN;IND;PST;V _ 3;NEUT;PRO;SG FIN;IND;PST;V DET;FEM;SG FEM;INDF;N;SG _
og e men e når ein skulle levere dette her kom det båtar og tok ?	og e men e når ein skulle levere dette her komme det båt og ta $?	CONJ _ CONJ _ CONJ HUM;NOM;PRO;SG FIN;IND;PST;V NFIN;V 3;ACC;NEUT;PRO;SG ADV FIN;IND;PST;V 3;NEUT;PRO;SG INDF;MASC;N;PL CONJ FIN;IND;PST;V _
ja eg slutta jo da eg blei # da eg blei sytti år eg veit du .	ja eg slutte jo da eg bli # da eg bli sytti år eg vite du $.	INTJ 1;HUM;NOM;PRO;SG FIN;IND;PST;V ADV CONJ 1;HUM;NOM;PRO;SG FIN;IND;PST;V _ CONJ 1;HUM;NOM;PRO;SG FIN;IND;PST;V NUM;PL INDF;N;NEUT;PL 1;HUM;NOM;PRO;SG FIN;IND;PRS;V 2;HUM;NOM;PRO;SG _
å så fylte vi han opp # og så tente vi på når ... .	å så fylle vi han opp # og så tene vi på når … $.	INTJ ADV FIN;IND;PST;V 1;HUM;NOM;PL;PRO 3;ACC;MASC;PRO;SG ADP _ CONJ ADV FIN;IND;PST;V 1;HUM;NOM;PL;PRO ADP CONJ _ _
ja .	ja $.	INTJ _
det måtte fylle knupp og tappe vatn .	det måtte fylle knupp og tappe vatn $.	3;NEUT;PRO;SG FIN;IND;PST;V NFIN;V INDF;MASC;N;SG CONJ NFIN;V INDF;N;NEUT;PL _
det er ikkje berre no det har vore # slakteri og griser på hærland .	det vere ikkje berre no det ha vere # slakteri og gris på hærland $.	3;NEUT;PRO;SG FIN;IND;PRS;V NEG;PART ADV ADV 3;NEUT;PRO;SG FIN;IND;PRS;V V;V.PTCP _ INDF;N;NEUT;SG CONJ INDF;MASC;N;PL ADP PROPN _
dei hadde ikkje nokon bilar den gongen .	dei ha ikkje nokon bil den gong $.	3;HUM;NOM;PL;PRO FIN;IND;PST;V NEG;PART DET;PL INDF;MASC;N;PL DET;MASC;SG DEF;MASC;N;SG _
da var vi her ja .	da vere vi her ja $.	ADV FIN;IND;PST;V 1;HUM;NOM;PL;PRO ADV INTJ _
nei .	nei $.	INTJ _
ja mm .	ja mm $.	INTJ INTJ _
nei .	nei $.	INTJ _
hm .	hm $.	INTJ _
ja # hugsar du kor mange du hadde med om gongen omtrent .	ja # hugse du kor mange du ha med om gong omtrent $.	INTJ _ FIN;IND;PRS;V 2;HUM;NOM;PRO;SG ADV ADJ;PL 2;HUM;NOM;PRO;SG FIN;IND;PST;V ADP ADP DEF;MASC;N;SG ADV _
ja .	ja $.	INTJ _
eller slår du av ?	eller slå du av $?	CONJ FIN;IND;PRS;V 2;HUM;NOM;PRO;SG ADP _
det vart ikkje det ?	det bli ikkje det $?	3;NEUT;PRO;SG FIN;IND;PST;V NEG;PART 3;NEUT;PRO;SG _
ja vel .	ja vel $.	INTJ ADV _
ja .	ja $.	INTJ _
ja .	ja $.	INTJ _
du hadde jo ein fin gard i hærland som du kunne kanskje hadde overteke viss du hadde villa men du dreiv og køyrde du # syntest du det var triveleg ?	du ha jo ein fin gard i hærland som du kunne kanskje ha overta viss du ha ville men du drive og køyre du # synast du det vere triveleg $?	2;HUM;NOM;PRO;SG FIN;IND;PST;V ADV DET;MASC;SG ADJ;INDF;SG INDF;MASC;N;SG ADP PROPN PRO 2;HUM;NOM;PRO;SG FIN;IND;PST;V ADV FIN;IND;PST;V V;V.PTCP CONJ 2;HUM;NOM;PRO;SG FIN;IND;PST;V V;V.PTCP CONJ 2;HUM;NOM;PRO;SG FIN;IND;PST;V CONJ FIN;IND;PST;V 2;HUM;NOM;PRO;SG _ FIN;IND;PST;V 2;HUM;NOM;PRO;SG 3;NEUT;PRO;SG FIN;IND;PST;V ADJ;INDF;NEUT;SG _
og korn .	og korn $.	CONJ INDF;N;NEUT;PL _
ja # ja ja # ja .	ja # ja ja # ja $.	INTJ _ INTJ INTJ _ INTJ _
så ein måtte da passe dei som køyrde forbi oppå momarken der var s- # der var det stopp .	så ein måtte da passe dei som køyre forbi oppå momarken der vere s- # der vere det stopp $.	CONJ HUM;NOM;PRO;SG FIN;IND;PST;V ADV NFIN;V 3;HUM;NOM;PL;PRO PRO FIN;IND;PST;V ADP ADP PROPN ADV FIN;IND;PST;V _ _ ADV FIN;IND;PST;V 3;NEUT;PRO;SG INDF;MASC;N;SG _
ho er jo gift .	ho vere jo gift $.	3;FEM;NOM;PRO;SG FIN;IND;PRS;V ADV ADJ;INDF;SG _
men det var jo er for # gammaldags men e .	men det vere jo vere for # gammaldags men e $.	CONJ 3;NEUT;PRO;SG FIN;IND;PST;V ADV FIN;IND;PRS;V ADP _ ADJ;INDF;NEUT;SG CONJ _ _
nei # vi låg uti hevrøya den vinteren # men det vart ikkje sild .	nei # vi ligge uti hevrøya den vinter # men det bli ikkje sild $.	INTJ _ 1;HUM;NOM;PL;PRO FIN;IND;PST;V ADP PROPN DET;MASC;SG DEF;MASC;N;SG _ CONJ 3;NEUT;PRO;SG FIN;IND;PST;V NEG;PART FEM;INDF;N;SG _
kva tid kom e snurpenota i bruk e ja den var nå vel kommen antakeleg i bruk føre mine dagar .	kva tid komme e snurpenot i bruk e ja den vere nå vel komme antakeleg i bruk føre min dag $.	DET FEM;INDF;N;SG FIN;IND;PST;V _ DEF;FEM;N;SG ADP INDF;N;NEUT;SG _ INTJ 3;NOM;PRO;SG FIN;IND;PST;V ADV ADV ADJ;INDF;SG ADJ;INDF;NEUT;SG ADP INDF;N;NEUT;SG ADP PL;PRO INDF;MASC;N;PL _
mm .	mm $.	INTJ _
eg rekna ut det at eg kunne var det # var sju øre liter .	eg rekne ut det at eg kunne vere det # vere sju øre liter $.	1;HUM;NOM;PRO;SG FIN;IND;PST;V ADP 3;NEUT;PRO;SG CONJ 1;HUM;NOM;PRO;SG FIN;IND;PST;V FIN;IND;PST;V 3;NEUT;PRO;SG _ FIN;IND;PST;V NUM;PL INDF;N;NEUT;PL INDF;MASC;N;PL _
mykje var det for krepsen ?	mykje vere det for kreps $?	ADJ;INDF;NEUT;SG FIN;IND;PST;V 3;NEUT;PRO;SG ADP DEF;MASC;N;SG _
ja .	ja $.	INTJ _
.	$.	_
han .	han $.	3;MASC;NOM;PRO;SG _
nei # det var det best å # sleppe ifrå alt saman da for da .	nei # det vere det god å # sleppe ifrå all saman da for da $.	INTJ _ 3;NEUT;PRO;SG FIN;IND;PST;V 3;NEUT;PRO;SG ADJ;INDF;RL PART _ NFIN;V ADP DET;NEUT;SG ADV ADV ADP ADV _
og sånn gjorde eg den tida eg bygde her # det var vel i seks sjuogtredve .	og sånn gjere eg den tid eg bygge her # det vere vel i seks sjuogtredve $.	CONJ ADV FIN;IND;PST;V 1;HUM;NOM;PRO;SG DET;FEM;SG DEF;FEM;N;SG 1;HUM;NOM;PRO;SG FIN;IND;PST;V ADV _ 3;NEUT;PRO;SG FIN;IND;PST;V ADV ADP NUM;PL NUM;PL _
så lossa vi så tok vi med så mange spann heim om veka .	så losse vi så ta vi med så mange spann heim om veke $.	ADV FIN;IND;PST;V 1;HUM;NOM;PL;PRO ADV FIN;IND;PST;V 1;HUM;NOM;PL;PRO ADP ADV ADJ;PL INDF;N;NEUT;PL ADP ADP DEF;FEM;N;SG _
det vart annan måte kanskje ?	det verte annan måte kanskje $?	DET;NEUT;SG FIN;IND;PST;V DET;INDF;MASC;SG INDF;MASC;N;SG ADV _
men så blei det jo bygd bøndenes hus her oppe da .	men så bli det jo bygge bøndenes hus her oppe da $.	CONJ ADV FIN;IND;PST;V 3;NEUT;PRO;SG ADV V;V.PTCP PROPN INDF;N;NEUT;SG ADV ADP ADV _
ja det var lett .	ja det vere lett $.	INTJ 3;NEUT;PRO;SG FIN;IND;PST;V ADJ;INDF;NEUT;SG _
men innover fjorden har de fiska noko større der ?	men innover fjord ha de fiske nokon stor der $?	CONJ ADP DEF;MASC;N;SG FIN;IND;PRS;V 2;HUM;NOM;PL;PRO FIN;IND;PST;V DET;NEUT;SG ADJ ADV _
som bestemte når ein skulle kaste ?	som bestemme når ein skulle kaste $?	PRO FIN;IND;PST;V CONJ HUM;NOM;PRO;SG FIN;IND;PST;V NFIN;V _
ja # mykje tok du for dei turane da ?	ja # mykje ta du for dei tur da $?	INTJ _ ADJ;INDF;NEUT;SG FIN;IND;PST;V 2;HUM;NOM;PRO;SG ADP DET;PL DEF;MASC;N;PL ADV _
ingen som veit korleis den foregått ja da kunne det har vore forlis også for den saks skyld .	ingen som vite korleis den foregå ja da kunne det ha vere forlis også for den sak skyld $.	3;NEG;NOM;PL;PRO PRO FIN;IND;PRS;V ADV 3;ACC;PRO;SG V;V.PTCP INTJ ADV FIN;IND;PST;V 3;NEUT;PRO;SG FIN;IND;PRS;V V;V.PTCP INDF;N;NEUT;PL ADV ADP DET;MASC;SG INDF;MASC;N;SG FEM;INDF;N;SG _
ja .	ja $.	INTJ _
jaha .	jaha $.	INTJ _
jaha .	jaha $.	INTJ _
men det hadde eg veldig moro av for det at .	men det ha eg veldig moro av for det at $.	CONJ 3;NEUT;PRO;SG FIN;IND;PST;V 1;HUM;NOM;PRO;SG ADJ;INDF;NEUT;SG FEM;INDF;N;SG ADP CONJ 3;NEUT;PRO;SG CONJ _
ja # ja ja berre prat .	ja # ja ja berre prat $.	INTJ _ INTJ INTJ ADV INDF;N;NEUT;PL _
nei .	nei $.	INTJ _
mm .	mm $.	INTJ _
han m13 å han m14 var jo mindre så han .	han m13 _ han m14 vere jo liten så han $.	3;MASC;NOM;PRO;SG PROPN _ 3;MASC;NOM;PRO;SG PROPN FIN;IND;PST;V ADV ADJ ADV 3;ACC;MASC;PRO;SG _
ja # det var landnot i dei dagar .	ja # det vere landnot i dei dag $.	INTJ _ 3;NEUT;PRO;SG FIN;IND;PST;V FEM;INDF;N;SG ADP DET;PL INDF;MASC;N;PL _
jaså .	jaså $.	ADV _
eg blei redd med det same e eit lite augneblikk så kjende eg jo folk igjen # dei var svarte og berre kviten i auga å sjå på dei .	eg bli redd med det same e ein lite augneblikk så kjenne eg jo folk igjen # dei vere svart og berre kvite i auge å sjå på dei $.	1;HUM;NOM;PRO;SG FIN;IND;PST;V ADJ;INDF;SG ADP DET;NEUT;SG DEF;DET _ DET;NEUT;SG ADJ;INDF;NEUT;SG INDF;N;NEUT;SG ADV FIN;IND;PST;V 1;HUM;NOM;PRO;SG ADV INDF;N;NEUT;PL ADV _ DET;PL FIN;IND;PST;V ADJ;PL CONJ ADV DEF;MASC;N;SG ADP DEF;N;NEUT;PL PART NFIN;V ADP 3;ACC;HUM;PL;PRO _
å nå køyrer dei jo mjølka med tank .	å nå køyre dei jo mjølk med tank $.	INTJ ADV FIN;IND;PRS;V 3;HUM;NOM;PL;PRO ADV DEF;FEM;N;SG ADP INDF;MASC;N;SG _
det kom til ristoppen .	det komme til ristoppen $.	3;NEUT;PRO;SG FIN;IND;PST;V ADP PROPN _
ja vel .	ja vel $.	INTJ ADV _
e korleis e # livnærte ein seg da ?	e korleis e # livnære ein seg da $?	_ ADV _ _ FIN;IND;PST;V HUM;NOM;PRO;SG ACC;PRO;REFL ADV _
