в ингушетии нет улицы хучбарова , и многих достойных вайнахов .	в ингушетия нет улица хучбаров , и много достойный вайнах .	ADP ESS;FEM;INAN;PROPN;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V FEM;GEN;INAN;N;SG ANIM;GEN;MASC;PROPN;SG _ CONJ GEN;NUM ADJ;GEN;PL GEN;INAN;MASC;N;PL _
запускайте лозу !	запускать лоза !	2;ACT;FIN;IMP;IPFV;PL;V ACC;ANIM;FEM;PROPN;SG _
мой мир погибнет вместе со мной , а это всё — не уйдёт .	мой мир погибнуть вместе со я , а это весь — не уйти .	DET;MASC;NOM;SG INAN;MASC;N;NOM;SG 3;ACT;FIN;FUT;IND;PFV;SG;V ADV ADP 1;INS;PRO;SG _ CONJ INAN;NEUT;NOM;PRO;SG DET;NEUT;NOM;SG _ NEG;PART 3;ACT;FIN;FUT;IND;PFV;SG;V _
избавляемся от носогубной складки	избавляться от носогубный складка	1;FIN;IND;IPFV;MID;PL;PRS;V ADP ADJ;FEM;GEN;SG FEM;GEN;INAN;N;SG
и могут темные силы рдеть , и светлые могут бдеть .	и мочь темный сила рдеть , и светлый мочь бдеть .	CONJ 3;ACT;FIN;IND;IPFV;PL;PRS;V ADJ;NOM;PL FEM;INAN;N;NOM;PL ACT;IPFV;NFIN;V _ CONJ ADJ;NOM;PL 3;ACT;FIN;IND;IPFV;PL;PRS;V ACT;IPFV;NFIN;V _
я бродяга , я грешник без царя в голове , не растет здесь орешник , неуютно траве , побираюсь , тоскую у господских дворов .	я бродяга , я грешник без царь в голова , не расти здесь орешник , неуютный трава , побираться , тосковать у господский двор .	1;NOM;PRO;SG ANIM;MASC;N;NOM;SG _ 1;NOM;PRO;SG ANIM;MASC;N;NOM;SG ADP ANIM;GEN;MASC;N;SG ADP ESS;FEM;INAN;N;SG _ NEG;PART 3;ACT;FIN;IND;IPFV;PRS;SG;V ADV INAN;MASC;N;NOM;SG _ ADJ;NEUT;SG DAT;FEM;INAN;N;SG _ 1;FIN;IND;IPFV;MID;PRS;SG;V _ 1;ACT;FIN;IND;IPFV;PRS;SG;V ADP ADJ;GEN;PL GEN;INAN;MASC;N;PL _
лишь вы мне были верны всегда , вы шли по моим следам , сады мои и мои стада , ужели я вас предам ?!	лишь вы я быть верный всегда , вы идти по мой след , сад мой и мой стадо , ужели я вы предать ?!	PART 2;NOM;PL;PRO 1;DAT;PRO;SG ACT;FIN;IND;IPFV;PL;PST;V ADJ;PL ADV _ 2;NOM;PL;PRO ACT;FIN;IND;IPFV;PL;PST;V ADP DAT;DET;PL DAT;INAN;MASC;N;PL _ INAN;MASC;N;NOM;PL DET;NOM;PL CONJ DET;NOM;PL INAN;N;NEUT;NOM;PL _ PART 1;NOM;PRO;SG 2;ACC;PL;PRO 1;ACT;FIN;FUT;IND;PFV;SG;V _
любим , обнимаем , целуем !!	любить , обнимать , целовать !!	1;ACT;FIN;IND;IPFV;PL;PRS;V _ 1;ACT;FIN;IND;IPFV;PL;PRS;V _ 1;ACT;FIN;IND;IPFV;PL;PRS;V _
вступайте все в партию единороссов !	вступать все в партия единоросс !	2;ACT;FIN;IMP;IPFV;PL;V ANIM;NOM;PL;PRO ADP ACC;FEM;INAN;N;SG ANIM;GEN;MASC;N;PL _
друзья !!! 29.10.2016 я потерял паспорт , на мое имя ( иванов иван иванович ) и в нем было много других документов , в том числе и доки на машину .	друг !!! 29.10.2016 я потерять паспорт , на мой имя ( иванов иван иванович ) и в он быть много другой документ , в тот число и док на машина .	ANIM;MASC;N;NOM;PL _ _ 1;NOM;PRO;SG ACT;FIN;IND;MASC;PFV;PST;SG;V ACC;INAN;MASC;N;SG _ ADP ACC;DET;NEUT;SG ACC;INAN;N;NEUT;SG _ ANIM;MASC;NOM;PROPN;SG ANIM;MASC;NOM;PROPN;SG ANIM;MASC;NOM;PROPN;SG _ CONJ ADP 3;ESS;MASC;PRO;SG ACT;FIN;IND;IPFV;NEUT;PST;SG;V ADV ADJ;GEN;PL GEN;INAN;MASC;N;PL _ ADP DET;ESS;NEUT;SG ESS;INAN;N;NEUT;SG PART ACC;INAN;MASC;N;PL ADP ACC;FEM;INAN;N;SG _
это памятник 82 уничтоженным детям ( в натуральную величину .)	это памятник 82 уничтожить ребенок ( в натуральный величина .)	INAN;NEUT;NOM;PRO;SG INAN;MASC;N;NOM;SG NUM DAT;PASS;PFV;PL;PST;V;V.PTCP ANIM;DAT;MASC;N;PL _ ADP ACC;ADJ;FEM;SG ACC;FEM;INAN;N;SG _
4 . голова прямо .	4 . голова прямо .	NUM _ FEM;INAN;N;NOM;SG ADV _
сверху присыпать какао .	сверху присыпать какао .	ADV ACT;IPFV;NFIN;V INAN;INS;N;NEUT;SG _
1 . быть подписчиком паблика [ " бесплатно и недорого детям ( спб ] " ) и группы [ " алексей смышляев и товарищи " ]	1 . быть подписчик паблик [ " бесплатно и недорого ребенок ( спб ] " ) и группа [ " алексей смышляев и товарищ " ]	NUM _ ACT;IPFV;NFIN;V INAN;INS;MASC;N;SG ANIM;GEN;MASC;N;SG _ _ ADV CONJ ADV ANIM;DAT;MASC;N;PL _ INAN;MASC;NOM;PROPN;SG _ _ _ CONJ FEM;GEN;INAN;N;SG _ _ ANIM;MASC;NOM;PROPN;SG ANIM;MASC;NOM;PROPN;SG CONJ ANIM;MASC;N;NOM;PL _ _
то , что владимир ...	то , что владимир ...	INAN;NEUT;NOM;PRO;SG _ CONJ ANIM;MASC;NOM;PROPN;SG _
🍫 51 - 100 место - огромная банка nutella .	🍫 51 - 100 место - огромный банка nutella .	_ NUM _ NUM INAN;N;NEUT;NOM;SG _ ADJ;FEM;NOM;SG FEM;INAN;N;NOM;SG PROPN _
:)))) вот такое сегодня утро	:)))) вот такой сегодня утро	_ PART DET;NEUT;NOM;SG ADV INAN;N;NEUT;NOM;SG
можно положить хрен на сокращение часов для изучения русского языка и литературы ... )))	можно положить хрен на сокращение час для изучение русский язык и литература ... )))	V ACT;NFIN;PFV;V ACC;INAN;MASC;N;SG ADP ACC;INAN;N;NEUT;SG GEN;INAN;MASC;N;PL ADP GEN;INAN;N;NEUT;SG ADJ;GEN;MASC;SG GEN;INAN;MASC;N;SG CONJ FEM;GEN;INAN;N;SG _ _
и мне не приятно видеть как вы защищаете такого заказушника .	и я не приятный видеть как вы защищать такой заказушник .	CONJ 1;DAT;PRO;SG NEG;PART ADJ;NEUT;SG ACT;IPFV;NFIN;V CONJ 2;NOM;PL;PRO 2;ACT;FIN;IND;IPFV;PL;PRS;V ACC;ANIM;DET;MASC;SG ACC;ANIM;MASC;N;SG _
- широко открыть рот	- широко открыть рот	_ ADV ACT;NFIN;PFV;V ACC;INAN;MASC;N;SG
дороги в древности .	дорога в древность .	FEM;INAN;N;NOM;PL ADP ESS;FEM;INAN;N;SG _
и много воруют .	и много воровать .	CONJ ADV 3;ACT;FIN;IND;IPFV;PL;PRS;V _
честно )	честно )	ADV _
если бы , конечно , оно так и было .	если бы , конечно , оно так и быть .	CONJ COND;PART _ ADV _ 3;NEUT;NOM;PRO;SG ADV PART ACT;FIN;IND;IPFV;NEUT;PST;SG;V _
бывает . @xxxxxx @xxxxxx @xxxxxx @xxxxxx @xxxxxx	бывать . @xxxxxx @xxxxxx @xxxxxx @xxxxxx @xxxxxx	3;ACT;FIN;IND;IPFV;PRS;SG;V _ _ _ _ _ _
лдпр предлагает сажать на 90 суток за гонки по городу :	лдпр предлагать сажать на 90 сутки за гонка по город :	FEM;INAN;NOM;PROPN;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V ACT;IPFV;NFIN;V ADP NUM FEM;GEN;INAN;N;PL ADP ACC;FEM;INAN;N;PL ADP DAT;INAN;MASC;N;SG _
rt @xxxxxx : лайфньюс раскручивает явлинского , а ольгинские боты топят за яблоко и " за шлосберга " по моему участвовать в этой клоунаде вменяемый не будет	rt @xxxxxx : лайфньюс раскручивать явлинский , а ольгинский бот топить за яблоко и " за шлосберг " по мой участвовать в этот клоунада вменяемый не быть	N _ _ ANIM;MASC;NOM;PROPN;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V ACC;ANIM;MASC;PROPN;SG _ CONJ ADJ;NOM;PL INAN;MASC;N;NOM;PL 3;ACT;FIN;IND;IPFV;PL;PRS;V ADP ACC;INAN;NEUT;PROPN;SG CONJ _ ADP ACC;ANIM;MASC;PROPN;SG _ ADP DAT;DET;NEUT;SG ACT;IPFV;NFIN;V ADP DET;ESS;FEM;SG ESS;FEM;INAN;N;SG ADJ;MASC;NOM;SG NEG;PART 3;ACT;FIN;IND;IPFV;PRS;SG;V
рецепт чудодейственной маски со спирулиной ( микроводоросль ) , которая стимулирует выработку коллагена , избавляет от носогубных складок и помогает сохранить упругость и молодость кожи .	рецепт чудодейственный маска со спирулина ( микроводоросль ) , который стимулировать выработка коллаген , избавлять от носогубный складка и помогать сохранить упругость и молодость кожа .	INAN;MASC;N;NOM;SG ADJ;FEM;GEN;SG FEM;GEN;INAN;N;SG ADP FEM;INAN;INS;N;SG _ FEM;INAN;N;NOM;SG _ _ NOM;PRO 3;ACT;FIN;IND;IPFV;PRS;SG;V ACC;FEM;INAN;N;SG GEN;INAN;MASC;N;SG _ 3;ACT;FIN;IND;IPFV;PRS;SG;V ADP ADJ;GEN;PL FEM;GEN;INAN;N;PL CONJ 3;ACT;FIN;IND;IPFV;PRS;SG;V ACT;NFIN;PFV;V ACC;FEM;INAN;N;SG CONJ ACC;FEM;INAN;N;SG FEM;GEN;INAN;N;SG _
вишневая пропитка	вишневой пропитка	ADJ;FEM;NOM;SG FEM;INAN;N;NOM;SG
шаманское путешествие в глубины сознания .	шаманский путешествие в глубина сознание .	ADJ;NEUT;NOM;SG INAN;N;NEUT;NOM;SG ADP ACC;FEM;INAN;N;PL GEN;INAN;N;NEUT;SG _
- показать , как ежик фырчит ( прикусываем верхними зубками нижнюю губу : ф-ф ) ;	- показать , как ежик фырчать ( прикусывать верхний зубка нижний губа : ф-ф ) ;	_ ACT;NFIN;PFV;V _ ADV ANIM;MASC;N;NOM;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V _ 1;ACT;FIN;IND;IPFV;PL;PRS;V ADJ;INS;PL FEM;INAN;INS;N;PL ACC;ADJ;FEM;SG ACC;FEM;INAN;N;SG _ INTJ _ _
не работаешь - жить не на что .	не работать - жить не на что .	NEG;PART 2;ACT;FIN;IND;IPFV;PRS;SG;V _ ACT;IPFV;NFIN;V NEG;PART ADP ACC;INAN;NEUT;PRO;SG _
но не из всех рецептов получаются действительно вкусные блюда .	но не из весь рецепт получаться действительно вкусный блюдо .	CONJ NEG;PART ADP DET;GEN;PL GEN;INAN;MASC;N;PL 3;FIN;IND;IPFV;MID;PL;PRS;V ADV ADJ;NOM;PL INAN;N;NEUT;NOM;PL _
над моей головой пляшет красный лев , всё , что есть на земле , гривой щекоча .	над мой голова плясать красный лев , всё , что быть на земля , грива щекотать .	ADP DET;FEM;INS;SG FEM;INAN;INS;N;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V ADJ;MASC;NOM;SG ANIM;MASC;N;NOM;SG _ ACC;INAN;NEUT;PRO;SG _ INAN;NEUT;NOM;PRO;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V ADP ESS;FEM;INAN;N;SG _ FEM;INAN;INS;N;SG ACT;IPFV;PRS;V;V.CVB _
таких , кто в этом возрасте может ходить на парад на весь израиль наберется человек 5 .	такой , кто в этот возраст мочь ходить на парад на весь израиль набраться человек 5 .	DET;GEN;PL _ ANIM;MASC;NOM;PRO;SG ADP DET;ESS;MASC;SG ESS;INAN;MASC;N;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V ACT;IPFV;NFIN;V ADP ACC;INAN;MASC;N;SG ADP ACC;DET;INAN;MASC;SG ACC;INAN;MASC;PROPN;SG 3;FIN;FUT;IND;MID;PFV;SG;V ANIM;MASC;N;NOM;SG NUM _
единственное , что имеет значение - это кто запись распространил .	единственный , что иметь значение - это кто запись распространить .	ADJ;NEUT;NOM;SG _ INAN;NEUT;NOM;PRO;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V ACC;INAN;N;NEUT;SG _ PART ANIM;MASC;NOM;PRO;SG ACC;FEM;INAN;N;SG ACT;FIN;IND;MASC;PFV;PST;SG;V _
добавить ваниль , дать остыть , и пропитывать коржи очень щедро .	добавить ваниль , дать остыть , и пропитывать корж очень щедро .	ACT;NFIN;PFV;V ACC;INAN;MASC;N;SG _ ACT;NFIN;PFV;V ACT;NFIN;PFV;V _ CONJ ACT;IPFV;NFIN;V ACC;INAN;MASC;N;PL ADV ADV _
вот же - шнурик !	вот же - шнурик !	PART PART _ ANIM;MASC;NOM;PROPN;SG _
лучшая вещь в жизни - это , когда тебя любит человек , который знает все твои недостатки , ошибки и слабости ... и продолжает думать , что ты всё равно самая лучшая на свете ...	лучший вещь в жизнь - это , когда ты любить человек , который знать весь твой недостаток , ошибка и слабость ... и продолжать думать , что ты всё равный самый лучший на свет ...	ADJ;FEM;NOM;SG FEM;INAN;N;NOM;SG ADP ESS;FEM;INAN;N;SG _ PART _ CONJ 2;ACC;PRO;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V ANIM;MASC;N;NOM;SG _ NOM;PRO 3;ACT;FIN;IND;IPFV;PRS;SG;V ACC;DET;INAN;PL ACC;DET;INAN;PL ACC;INAN;MASC;N;PL _ ACC;FEM;INAN;N;PL CONJ ACC;FEM;INAN;N;PL _ CONJ 3;ACT;FIN;IND;IPFV;PRS;SG;V ACT;IPFV;NFIN;V _ CONJ 2;NOM;PRO;SG INAN;NEUT;NOM;PRO;SG ADJ;NEUT;SG ADJ;FEM;NOM;SG ADJ;FEM;NOM;SG ADP ESS;INAN;MASC;N;SG _
депутат лдпр , которого не пустили в " европейский " , объяснил причину конфликта с охранниками	депутат лдпр , который не пустить в " европейский " , объяснить причина конфликт с охранник	ANIM;MASC;N;NOM;SG FEM;GEN;INAN;PROPN;SG _ GEN;PRO NEG;PART ACT;FIN;IND;PFV;PL;PST;V ADP _ ACC;ADJ;INAN;MASC;SG _ _ ACT;FIN;IND;MASC;PFV;PST;SG;V ACC;FEM;INAN;N;SG GEN;INAN;MASC;N;SG ADP ANIM;INS;MASC;N;PL
если украина разрешит http://www.kuban .	если украина разрешить http://www.kuban .	CONJ FEM;INAN;NOM;PROPN;SG 3;ACT;FIN;FUT;IND;PFV;SG;V _ _
а че в 90-х делали и в каких нарядах ходили и чем приторговывали от 2-го гвардейского ...	а что в 90-й делать и в какой наряд ходить и что приторговывать от 2-й гвардейский ...	CONJ ACC;INAN;NEUT;PRO;SG ADP ADJ;ESS;PL ACT;FIN;IND;IPFV;PL;PST;V PART ADP DET;ESS;PL ESS;INAN;MASC;N;PL ACT;FIN;IND;IPFV;PL;PST;V CONJ INAN;INS;NEUT;PRO;SG ACT;FIN;IND;IPFV;PL;PST;V ADP ADJ;GEN;MASC;SG ADJ;GEN;MASC;SG _
я чувствую , что должна плакать или кричать или что-то ещё , но я не могу , потому что я обессилена .	я чувствовать , что должен плакать или кричать или что-то еще , но я не мочь , потому что я обессилеть .	1;NOM;PRO;SG 1;ACT;FIN;IND;IPFV;PRS;SG;V _ CONJ ADJ;FEM;SG ACT;IPFV;NFIN;V CONJ ACT;IPFV;NFIN;V CONJ ACC;INAN;NEUT;PRO;SG ADV _ CONJ 1;NOM;PRO;SG NEG;PART 1;ACT;FIN;IND;IPFV;PRS;SG;V _ ADV CONJ 1;NOM;PRO;SG FEM;PASS;PFV;PST;SG;V;V.PTCP _
вам кажется , что ей не хватает опыта в вопросах не только касающихся абортов	вы казаться , что она не хватать опыт в вопрос не только касаться аборт	2;DAT;PL;PRO 3;FIN;IND;IPFV;MID;PRS;SG;V _ CONJ 3;DAT;FEM;PRO;SG NEG;PART 3;ACT;FIN;IND;IPFV;PRS;SG;V GEN;INAN;MASC;N;SG ADP ESS;INAN;MASC;N;PL NEG;PART PART GEN;IPFV;MID;PL;PRS;V;V.PTCP GEN;INAN;MASC;N;PL
у путина есть своя команда .	у путин быть свой команда .	ADP ANIM;GEN;MASC;PROPN;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V DET;FEM;NOM;SG FEM;INAN;N;NOM;SG _
“ сады мои и мои стада !! сады мои и стада !! ”	“ сад мой и мой стадо !! сад мой и стадо !! ”	_ INAN;MASC;N;NOM;PL DET;NOM;PL CONJ DET;NOM;PL INAN;N;NEUT;NOM;PL _ INAN;MASC;N;NOM;PL DET;NOM;PL CONJ INAN;N;NEUT;NOM;PL _ _
владимир жириновский стал лидером по видео-просмотрам на портале госдумы	владимир жириновский стать лидер по видео-просмотр на портал госдума	ANIM;MASC;NOM;PROPN;SG ANIM;MASC;NOM;PROPN;SG ACT;FIN;IND;MASC;PFV;PST;SG;V ANIM;INS;MASC;N;SG ADP DAT;INAN;MASC;N;PL ADP ESS;INAN;MASC;N;SG FEM;GEN;INAN;PROPN;SG
когда наконец - то вышли потусить с подругой , но поняли , что ваш гардероб устарел , пока вырастили детей .	когда наконец - то выйти потусить с подруга , но понять , что ваш гардероб устареть , пока вырастить ребенок .	CONJ ADV _ PART ACT;FIN;IND;PFV;PL;PST;V ACT;NFIN;PFV;V ADP ANIM;FEM;INS;N;SG _ CONJ ACT;FIN;IND;PFV;PL;PST;V _ CONJ DET;MASC;NOM;SG INAN;MASC;N;NOM;SG ACT;FIN;IND;MASC;PFV;PST;SG;V _ CONJ ACT;FIN;IND;PFV;PL;PST;V ACC;ANIM;MASC;N;PL _
состояние хорошее , использовался часто , побывал на мальдивах , в лапландии , в лондоне , латвии , чехии и т д.	состояние хороший , использовать часто , побывать на мальдивы , в лапландия , в лондон , латвия , чехия и так далее	INAN;N;NEUT;NOM;SG ADJ;NEUT;NOM;SG _ FIN;IND;IPFV;MASC;PASS;PST;SG;V ADV _ ACT;FIN;IND;MASC;PFV;PST;SG;V ADP ESS;FEM;INAN;PL;PROPN _ ADP ESS;FEM;INAN;PROPN;SG _ ADP ESS;INAN;MASC;PROPN;SG _ ESS;FEM;INAN;PROPN;SG _ ESS;FEM;INAN;PROPN;SG CONJ ADV ADV
я бы так не смог ...	я бы так не смочь ...	1;NOM;PRO;SG COND;PART ADV NEG;PART ACT;FIN;IND;MASC;PFV;PST;SG;V _
а спит щас хорошо ночью ?...	а спать щас хорошо ночь ?...	CONJ 3;ACT;FIN;IND;IPFV;PRS;SG;V ADV ADV FEM;INAN;INS;N;SG _
когда у тебя дочка .	когда у ты дочка .	CONJ ADP 2;GEN;PRO;SG ANIM;FEM;N;NOM;SG _
надо примерно наказать .	надо примерно наказать .	V ADV ACT;NFIN;PFV;V _
кому повезло – тот еще поел и потрахался	кто повезти – тот еще поесть и потрахаться	ANIM;DAT;MASC;PRO;SG ACT;FIN;IND;NEUT;PFV;PST;SG;V _ DET;MASC;NOM;SG ADV ACT;FIN;IND;MASC;PFV;PST;SG;V CONJ FIN;IND;MASC;MID;PFV;PST;SG;V
судя по всему , субстанции " партии парнас " были зачаты в презервативе. ...	судить по всё , субстанция " партия парнас " быть зачать в презерватив ...	ACT;IPFV;PRS;V;V.CVB ADP DAT;INAN;NEUT;PRO;SG _ FEM;INAN;N;NOM;PL _ FEM;GEN;INAN;N;SG INAN;MASC;NOM;PROPN;SG _ ACT;FIN;IND;IPFV;PL;PST;V PASS;PFV;PL;PST;V;V.PTCP ADP ESS;INAN;MASC;N;SG _
антикиллер . ( 2002 ) .	антикиллер . ( 2002 ) .	ANIM;MASC;N;NOM;SG _ _ NUM _ _
да потому что нехер своего лба сопливого приводить в единственно отведенный для грудничков день !	да потому что нехер свой лоб сопливый приводить в единственно отведенный для грудничок день !	PART ADV CONJ ADV DET;GEN;MASC;SG ACC;ANIM;MASC;N;SG ADJ;GEN;MASC;SG ACT;IPFV;NFIN;V ADP PART ACC;ADJ;INAN;MASC;SG ADP GEN;INAN;MASC;N;PL ACC;INAN;MASC;N;SG _
умиляйтесь дальше .	умиляться дальше .	2;FIN;IMP;IPFV;MID;PL;V ADV;CMPR _
1 ) на вашей странице должно быть не менее пяти реальных фотографий .	1 ) на ваш страница должен быть не менее пять реальный фотография .	NUM _ ADP DET;ESS;FEM;SG ESS;FEM;INAN;N;SG ADJ;NEUT;SG ACT;IPFV;NFIN;V NEG;PART ADV;CMPR GEN;NUM ADJ;GEN;PL FEM;GEN;INAN;N;PL _
... вы ведь все хотели правды !	... вы ведь весь хотеть правда !	_ 2;NOM;PL;PRO PART DET;NOM;PL ACT;FIN;IND;IPFV;PL;PST;V FEM;GEN;INAN;N;SG _
любить , жалеть — ловчей без грима , рыдать , сгорать .	любить , жалеть — ловкий без грим , рыдать , сгорать .	ACT;IPFV;NFIN;V _ ACT;IPFV;NFIN;V _ ADJ;CMPR ADP GEN;INAN;MASC;N;SG _ ACT;IPFV;NFIN;V _ ACT;IPFV;NFIN;V _
пропитка для торта	пропитка для торт	FEM;INAN;N;NOM;SG ADP GEN;INAN;MASC;N;SG
9 . шептун - баба , общаются еле слышным шепотом - и она , и ребёнок , он уже на ухо ей шепчет , а она всё равно : - тщщщщ , не кричи , мы в больнице .	9 . шептун - баба , общаться еле слышный шепот - и она , и ребенок , он уже на ухо она шептать , а она всё равный : - тщщщщ , не кричать , мы в больница .	NUM _ ANIM;MASC;NOM;PROPN;SG _ ANIM;FEM;N;NOM;SG _ 3;FIN;IND;IPFV;MID;PL;PRS;V PART ADJ;INS;MASC;SG INAN;INS;MASC;N;SG _ CONJ 3;FEM;NOM;PRO;SG _ CONJ ANIM;MASC;N;NOM;SG _ 3;MASC;NOM;PRO;SG ADV ADP ACC;INAN;N;NEUT;SG 3;DAT;FEM;PRO;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V _ CONJ 3;FEM;NOM;PRO;SG INAN;NEUT;NOM;PRO;SG ADJ;NEUT;SG _ _ INTJ _ NEG;PART 2;ACT;FIN;IMP;IPFV;SG;V _ 1;NOM;PL;PRO ADP ESS;FEM;INAN;N;SG _
это фильм , о том почему наша страна так стремительно превратилась в мощнейшую державу .	это фильм , о то почему наш страна так стремительно превратиться в мощнейший держава .	INAN;NEUT;NOM;PRO;SG INAN;MASC;N;NOM;SG _ ADP ESS;INAN;NEUT;PRO;SG ADV DET;FEM;NOM;SG FEM;INAN;N;NOM;SG ADV ADV FEM;FIN;IND;MID;PFV;PST;SG;V ADP ACC;ADJ;FEM;SG ACC;FEM;INAN;N;SG _
1 яйцо	1 яйцо	NUM ACC;INAN;N;NEUT;SG
уже год пытаюсь узнать у исключили меня из партии или нет ответа нет .	уже год пытаться узнать у исключить я из партия или нет ответ нет .	ADV ACC;INAN;MASC;N;SG 1;FIN;IND;IPFV;MID;PRS;SG;V ACT;NFIN;PFV;V ADP ACT;FIN;IND;PFV;PL;PST;V 1;ACC;PRO;SG ADP FEM;GEN;INAN;N;SG CONJ PART GEN;INAN;MASC;N;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V _
если речь о том , что в голове телегония - бывает .	если речь о то , что в голова телегония - бывать .	CONJ FEM;INAN;N;NOM;SG ADP ESS;INAN;NEUT;PRO;SG _ CONJ ADP ESS;FEM;INAN;N;SG FEM;INAN;N;NOM;SG _ 3;ACT;FIN;IND;IPFV;PRS;SG;V _
rt @xxxxxx : влдадимир жириновский о междуречинске : трагедия произошла из-за безалаберности чиновников	rt @xxxxxx : владимир жириновский о междуреченск : трагедия произойти из-за безалаберность чиновник	N _ _ ANIM;MASC;NOM;PROPN;SG ANIM;MASC;NOM;PROPN;SG ADP ESS;INAN;MASC;PROPN;SG _ FEM;INAN;N;NOM;SG ACT;FEM;FIN;IND;PFV;PST;SG;V ADP FEM;GEN;INAN;N;SG ANIM;GEN;MASC;N;PL
вячеслав мальцев ответит вам на все интересующие вас вопросы !	вячеслав мальцев ответить вы на весь интересовать вы вопрос !	ANIM;MASC;NOM;PROPN;SG ANIM;MASC;NOM;PROPN;SG 3;ACT;FIN;FUT;IND;PFV;SG;V 2;DAT;PL;PRO ADP ACC;DET;INAN;PL ACC;ACT;INAN;IPFV;PL;PRS;V;V.PTCP 2;ACC;PL;PRO ACC;INAN;MASC;N;PL _
если пристально и долго смотреть на нашу политическую элиту , то она начинает смотреть в пол , краснеть , стесняться и ножкой в земле крутить .	если пристально и долго смотреть на наш политический элита , то она начинать смотреть в пол , краснеть , стесняться и ножка в земля крутить .	CONJ ADV CONJ ADV ACT;IPFV;NFIN;V ADP ACC;DET;FEM;SG ACC;ADJ;FEM;SG ACC;FEM;INAN;N;SG _ CONJ 3;FEM;NOM;PRO;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V ACT;IPFV;NFIN;V ADP ACC;INAN;MASC;N;SG _ ACT;IPFV;NFIN;V _ IPFV;MID;NFIN;V CONJ FEM;INAN;INS;N;SG ADP ESS;FEM;INAN;N;SG ACT;IPFV;NFIN;V _
дурилка картонная из единой россии .	дурилка картонный из единый россия .	FEM;INAN;N;NOM;SG ADJ;FEM;NOM;SG ADP ADJ;FEM;GEN;SG FEM;GEN;INAN;PROPN;SG _
сколько стоила разработка различных брендов ?	сколько стоить разработка различный бренд ?	ADV ACT;FEM;FIN;IND;IPFV;PST;SG;V FEM;INAN;N;NOM;SG ADJ;GEN;PL GEN;INAN;MASC;N;PL _
пропитка с зеленым чаем и лимоном	пропитка с зеленый чай и лимон	FEM;INAN;N;NOM;SG ADP ADJ;INS;MASC;SG INAN;INS;MASC;N;SG CONJ INAN;INS;MASC;N;SG
варить на медленом огне пока разойдется сахар .	варить на медленый огонь пока разойтись сахар .	ACT;IPFV;NFIN;V ADP ADJ;ESS;MASC;SG ESS;INAN;MASC;N;SG CONJ 3;FIN;FUT;IND;MID;PFV;SG;V INAN;MASC;N;NOM;SG _
около дома развитая инфраструктура , имеются магазины , садик , школа , аптека , стоматология и парикмахерская .	около дом развитый инфраструктура , иметься магазин , садик , школа , аптека , стоматология и парикмахерская .	ADP GEN;INAN;MASC;N;SG ADJ;FEM;NOM;SG FEM;INAN;N;NOM;SG _ 3;FIN;IND;IPFV;MID;PL;PRS;V INAN;MASC;N;NOM;PL _ INAN;MASC;N;NOM;SG _ FEM;INAN;N;NOM;SG _ FEM;INAN;N;NOM;PL _ FEM;INAN;N;NOM;SG CONJ FEM;INAN;N;NOM;SG _
@xxxxxx @xxxxxx этот пост немножко припоздал по времени .	@xxxxxx @xxxxxx этот пост немножко припоздать по время .	_ _ DET;MASC;NOM;SG INAN;MASC;N;NOM;SG ADV ACT;FIN;IND;MASC;PFV;PST;SG;V ADP DAT;INAN;N;NEUT;SG _
ставьте лайк и ловите задание , други !	ставить лайк и ловить задание , друг !	2;ACT;FIN;IMP;PFV;PL;V ACC;INAN;MASC;N;SG CONJ 2;ACT;FIN;IMP;PFV;PL;V ACC;INAN;N;NEUT;SG _ ANIM;MASC;N;NOM;PL _
► артикуляционное упражнение с игрушечным котенком	► артикуляционный упражнение с игрушечный котенок	_ ADJ;NEUT;NOM;SG INAN;N;NEUT;NOM;SG ADP ADJ;INS;MASC;SG INAN;INS;MASC;N;SG
