« 11 » , omkadering van de belgische voetbalcompetitie voor belgacom tv ( 2005- ? )	« 11 » , omkadering van de belgisch voetbalcompetitie voor belgacom tv ( 2005- ? )	_ NUM _ _ MASC+FEM;N;SG ADP DEF;DET ADJ MASC+FEM;N;SG ADP NEUT;PROPN;SG MASC+FEM;N;SG _ _ _ _
ook politieke ` carrièristen ' zijn bij agalev aan het verkeerde adres : de verplichte partij-afdrachten van mandatarissen zijn dermate hoog en de combinatie van een mandaat met een voltijdse baan of een vrij beroep wordt zodanig ontmoedigd dat een flinke dosis offerbereidheid vereist is bij het volbrengen van een groen engagement .	ook politiek ` carrièrist ' zijn bij agalev aan het verkeerd adres : de verplichten partijafdracht van mandataris zijn dermate hoog en de combinatie van een mandaat met een voltijds baan of een vrij beroep worden zodanig ontmoedigen dat een flink dosis offerbereidheid vereisen zijn bij het volbrengen van een groen engagement .	ADV ADJ _ N;PL _ FIN;PL;PRS;V ADP NEUT;PROPN;SG ADP DEF;DET ADJ N;NEUT;SG _ DEF;DET V;V.PTCP N;PL ADP N;PL FIN;PL;PRS;V ADV ADJ CONJ DEF;DET MASC+FEM;N;SG ADP DET;INDF N;NEUT;SG ADP DET;INDF ADJ MASC+FEM;N;SG CONJ DET;INDF ADJ N;NEUT;SG FIN;PRS;SG;V ADJ V;V.PTCP CONJ DET;INDF ADJ MASC+FEM;N;SG MASC+FEM;N;SG V;V.PTCP FIN;PRS;SG;V ADP DEF;DET NFIN;V ADP DET;INDF ADJ N;NEUT;SG _
alle nationale reizigerstreinen die brussel aandoen , stoppen in brussel-noord , brussel-centraal en brussel-zuid .	al nationaal reizigerstrein die brussel aandoen , stoppen in brussel-noord , brussel-centraal en brussel-zuid .	DET ADJ N;PL PRO NEUT;PROPN;SG FIN;PL;PRS;V _ FIN;PL;PRS;V ADP NEUT;PROPN;SG _ NEUT;PROPN;SG CONJ NEUT;PROPN;SG _
jan van speijk zag ook liever niet dat belgië onafhankelijk werd en besloot een brandende sigaar of lont in het buskruit te gooien op zijn schip .	jan van speijk zien ook liever niet dat belgië onafhankelijk worden en besluiten een branden sigaar of lont in het buskruit te gooien op zijn schip .	PROPN PROPN PROPN FIN;PST;SG;V ADV ADV ADV CONJ NEUT;PROPN;SG ADJ FIN;PST;SG;V CONJ FIN;PST;SG;V DET;INDF V;V.PTCP MASC+FEM;N;SG CONJ MASC+FEM;N;SG ADP DEF;DET N;NEUT;SG ADP NFIN;V ADP 3;PRO N;NEUT;SG _
omvorming tot groen !	omvorming tot groen !	MASC+FEM;N;SG ADP PROPN PROPN
men was nu bijna altijd aangewezen op coalitieregeringen en in de periode van de wederopbouw na de eerste wereldoorlog tot het begin van de tweede wereldoorlog kwam het zelfs vaak tot een samenwerkingsverband van de drie zogenaamde nationale partijen , de katholieken , de socialisten en de liberalen .	men zijn nu bijna altijd aanwijzen op coalitieregering en in de periode van de wederopbouw na de eerste wereldoorlog tot het begin van de tweede wereldoorlog komen het zelfs vaak tot een samenwerkingsverband van de drie zogenaamd nationaal partij , de katholiek , de socialist en de liberaal .	3;NOM;PRO FIN;PST;SG;V ADV ADV ADV V;V.PTCP ADP N;PL CONJ ADP DEF;DET MASC+FEM;N;SG ADP DEF;DET MASC+FEM;N;SG ADP DEF;DET PROPN PROPN ADP DEF;DET N;NEUT;SG ADP DEF;DET PROPN PROPN FIN;PST;SG;V 3;PRO ADV ADJ ADP DET;INDF N;NEUT;SG ADP DEF;DET NUM ADJ ADJ N;PL _ DEF;DET N;PL _ DEF;DET N;PL CONJ DEF;DET N;PL _
belangrijke bestuurlijke taken zijn toevertrouwd aan instellingen van de twee gemeenschappen in brussel , zijnde de vlaamse gemeenschapscommissie ( vgc ) en de commission communautaire française ( cocof ) , evenals ook een kleine gemeenschappelijke gemeenschapscommissie ( ggc ) .	belangrijk bestuurlijk taak zijn toevertrouwen aan instelling van de twee gemeenschap in brussel , zijn de vlaamse gemeenschapscommissie ( vgc ) en de commission communautaire française ( cocof ) , evenals ook een klein gemeenschappelijk gemeenschapscommissie ( ggc ) .	ADJ ADJ N;PL FIN;PL;PRS;V V;V.PTCP ADP N;PL ADP DEF;DET NUM N;PL ADP NEUT;PROPN;SG _ V;V.PTCP DEF;DET PROPN PROPN _ MASC+FEM;PROPN;SG _ CONJ DEF;DET _ _ _ _ MASC+FEM;PROPN;SG _ _ CONJ ADV DET;INDF ADJ ADJ MASC+FEM;N;SG _ MASC+FEM;PROPN;SG _ _
11 juli is de feestdag van de vlaamse gemeenschap en het vlaams gewest .	11 juli zijn de feestdag van de vlaamse gemeenschap en het vlaams gewest .	NUM MASC+FEM;PROPN;SG FIN;PRS;SG;V DEF;DET MASC+FEM;N;SG ADP DEF;DET PROPN PROPN CONJ DEF;DET PROPN PROPN _
de grappen van lambik ( oude reeks ) ( 1955-1962 , nieuwe reeks vanaf 2004 )	de grap van lambik ( oud reeks ) ( 1955-1962 , nieuw reeks vanaf 2004 )	DEF;DET N;PL ADP MASC+FEM;PROPN;SG _ ADJ MASC+FEM;N;SG _ _ _ _ ADJ MASC+FEM;N;SG ADP NUM _
gemeentelijke herindeling , vorming districten	gemeentelijk herindeling , vorming district	ADJ MASC+FEM;N;SG _ MASC+FEM;N;SG N;PL
website van de gemeente	website van de gemeente	MASC+FEM;N;SG ADP DEF;DET MASC+FEM;N;SG
napoleon wilde echter zijn ' keizerrijk ' heroveren , en dat zo snel mogelijk , voordat de andere staten in europa klaar waren om frankrijk binnen te vallen en hem weer gevangen te nemen .	napoleon willen echter zijn ' keizerrijk ' heroveren , en dat zo snel mogelijk , voordat de ander staat in europa klaar zijn om frankrijk binnen te vallen en hem weer vangen te nemen .	MASC+FEM;PROPN;SG FIN;PST;SG;V ADV 3;PRO _ N;NEUT;SG _ NFIN;V _ CONJ CONJ ADV ADJ ADJ _ CONJ DEF;DET ADJ N;PL ADP NEUT;PROPN;SG ADJ FIN;PL;PST;V ADP NEUT;PROPN;SG ADP ADP NFIN;V CONJ 3;ACC;PRO ADV V;V.PTCP ADP NFIN;V _
na een korte chaotische periode in de zomer van 2003 neemt vera dua het roer over van dirk holemans en brengt de rust terug in het groene kamp .	na een kort chaotisch periode in de zomer van 2003 nemen vera dua het roer over van dirk holemans en brengen de rust terug in het groen kamp .	ADP DET;INDF ADJ ADJ MASC+FEM;N;SG ADP DEF;DET MASC+FEM;N;SG ADP NUM FIN;PRS;SG;V PROPN PROPN DEF;DET N;NEUT;SG ADP ADP PROPN PROPN CONJ FIN;PRS;SG;V DEF;DET MASC+FEM;N;SG ADV ADP DEF;DET ADJ N;NEUT;SG _
de naam werd in 1939 veranderd in aclvb .	de naam worden in 1939 veranderen in aclvb .	DEF;DET MASC+FEM;N;SG FIN;PST;SG;V ADP NUM V;V.PTCP ADP MASC+FEM;PROPN;SG _
de flintstones	de flintstone	DEF;DET PL;PROPN
hij ontmoette haar voor het eerst toen hij 28 was .	hij ontmoeten haar voor het één toen hij 28 zijn .	3;NOM;PRO FIN;PST;SG;V 3;ACC;PRO ADP DEF;DET ADJ CONJ 3;NOM;PRO NUM FIN;PST;SG;V _
hergé	hergé	MASC+FEM;PROPN;SG
met de grenslandhallen beschikt de stad over een accommodatie voor nationale en internationale sport- , cultuur- of muziekevenementen , congressen en beurzen .	met de grenslandhallen beschikken de stad over een accommodatie voor nationaal en internationaal sport- , cultuur- of muziekevenement , congres en beurs .	ADP DEF;DET PL;PROPN FIN;PRS;SG;V DEF;DET MASC+FEM;N;SG ADP DET;INDF MASC+FEM;N;SG ADP ADJ CONJ ADJ _ _ _ CONJ N;PL _ N;PL CONJ N;PL _
zijn onderhandelingskunst en diplomatiek inzicht bleken beslissend tijdens de verschillende conferenties , die de erkenning van de onafhankelijke congostaat als persoonlijke privétuin van leopold ii bewerkstelligden .	zijn onderhandelingskunst en diplomatiek inzicht blijken beslissen tijdens de verschillend conferentie , die de erkenning van de onafhankelijke congostaat als persoonlijk privétuin van leopold ii bewerkstelligen .	3;PRO MASC+FEM;N;SG CONJ ADJ N;NEUT;SG FIN;PL;PST;V V;V.PTCP ADP DEF;DET ADJ N;PL _ PRO DEF;DET MASC+FEM;N;SG ADP DEF;DET PROPN PROPN ADP ADJ MASC+FEM;N;SG ADP PROPN PROPN FIN;PL;PST;V _
jong n-va , de jongerenafdeling van de n-va	jong n-va , de jongerenafdeling van de n-va	PROPN PROPN _ DEF;DET MASC+FEM;N;SG ADP DEF;DET MASC+FEM;PROPN;SG
op dinsdag 9 mei 2006 was hotton de aankomstplaats van de derde etappekoers van de editie-2006 van de ronde van italië .	op dinsdag 9 mei 2006 zijn hotton de aankomstplaats van de drie etappekoers van de editie-2006 van de ronde van italië .	ADP MASC+FEM;PROPN;SG NUM MASC+FEM;PROPN;SG NUM FIN;PST;SG;V NEUT;PROPN;SG DEF;DET MASC+FEM;N;SG ADP DEF;DET ADJ MASC+FEM;N;SG ADP DEF;DET MASC+FEM;N;SG ADP DEF;DET PROPN PROPN PROPN _
allerzielen	allerzielen	MASC+FEM;PROPN;SG
bütgenbach ( met elsenborn )	bütgenbach ( met elsenborn )	NEUT;PROPN;SG _ ADP NEUT;PROPN;SG _
joods museum van deportatie en verzet : mooi , klein en aangrijpend museum over de deportatie van joodse krijgsgevangenen in de tweede wereldoorlog vanuit de dossinkazerne .	joods museum van deportatie en verzet : mooi , klein en aangrijpen museum over de deportatie van joods krijgsgevangene in de tweede wereldoorlog vanuit de dossinkazerne .	ADJ N;NEUT;SG ADP MASC+FEM;N;SG CONJ N;NEUT;SG _ ADJ _ ADJ CONJ V;V.PTCP N;NEUT;SG ADP DEF;DET MASC+FEM;N;SG ADP ADJ N;PL ADP DEF;DET PROPN PROPN ADP DEF;DET MASC+FEM;PROPN;SG _
prinsen ( van koninklijke bloede ) - met monseigneur	prins ( van koninklijk bloed ) - met monseigneur	N;PL _ ADP ADJ N;SG _ _ ADP MASC+FEM;N;SG
hemiksem telt meer dan 9500 inwoners .	hemiksem tellen veel dan 9500 inwoner .	NEUT;PROPN;SG FIN;PRS;SG;V PRO CONJ NUM N;PL _
axelle red , zangeres .	axelle red , zangeres .	PROPN PROPN _ MASC+FEM;N;SG _
bianca castafiore	bianca castafiore	PROPN PROPN
deze doordachte compositie verleent het werk een inwendige dynamiek .	deze doordenken compositie verlenen het werk een inwendig dynamiek .	DET V;V.PTCP MASC+FEM;N;SG FIN;PRS;SG;V DEF;DET N;NEUT;SG DET;INDF ADJ MASC+FEM;N;SG _
de kotmadam , reeks 16	de kotmadam , reeks 16	DEF;DET MASC+FEM;N;SG _ MASC+FEM;N;SG NUM
de verwijzing naar een herkenbare voorstelling ( een pijp ) pleegt verraad aan de idee , die slechts in onze geest kan bestaan .	de verwijzing naar een herkenbaar voorstelling ( een pijp ) plegen verraad aan de idee , die slechts in ons geest kunnen bestaan .	DEF;DET MASC+FEM;N;SG ADP DET;INDF ADJ MASC+FEM;N;SG _ DET;INDF MASC+FEM;N;SG _ FIN;PRS;SG;V N;NEUT;SG ADP DEF;DET MASC+FEM;N;SG _ PRO ADV ADP 1;PRO MASC+FEM;N;SG FIN;PRS;SG;V NFIN;V _
situering en humor	situering en humor	MASC+FEM;N;SG CONJ MASC+FEM;N;SG
1957 - jef verhelst ( bel )	1957 - jef verhelst ( bel )	NUM _ PROPN PROPN _ NEUT;PROPN;SG _
het is een van de 19 gemeenten ( in de praktijk zijn die gemeentegrenzen relatief ) van het brussels hoofdstedelijk gewest .	het zijn één van de 19 gemeente ( in de praktijk zijn die gemeentegrens relatief ) van het brussels hoofdstedelijk gewest .	3;PRO FIN;PRS;SG;V NUM ADP DEF;DET NUM N;PL _ ADP DEF;DET MASC+FEM;N;SG FIN;PL;PRS;V DET N;PL ADJ _ ADP DEF;DET PROPN PROPN PROPN _
deze kredieten zijn later voor een groot deel kwijtgescholden of verloren gegaan .	deze krediet zijn laat voor een groot deel kwijtschelden of verliezen gaan .	DET N;PL FIN;PL;PRS;V ADJ;CMPR ADP DET;INDF ADJ N;NEUT;SG V;V.PTCP CONJ V;V.PTCP V;V.PTCP _
in de vijftiende eeuw kende de stad een bloeiende lakenhandel en was het een voorname leverancier van wandtapijten .	in de vijftien eeuw kennen de stad een bloeien lakenhandel en zijn het een voornaam leverancier van wandtapijt .	ADP DEF;DET ADJ MASC+FEM;N;SG FIN;PST;SG;V DEF;DET MASC+FEM;N;SG DET;INDF V;V.PTCP MASC+FEM;N;SG CONJ FIN;PST;SG;V 3;PRO DET;INDF ADJ MASC+FEM;N;SG ADP N;PL _
spion , infiltrant ;	spion , infiltrant ;	MASC+FEM;N;SG _ MASC+FEM;N;SG _
vandersteen was echter niet gelukkig met het eerste avontuur ; « de avonturen van rikki en wiske » .	vandersteen zijn echter niet gelukkig met het één avontuur ; « de avontuur van rikki en wiske » .	MASC+FEM;PROPN;SG FIN;PST;SG;V ADV ADV ADJ ADP DEF;DET ADJ N;NEUT;SG _ _ DEF;DET N;PL ADP MASC+FEM;PROPN;SG CONJ MASC+FEM;PROPN;SG _ _
de meesten zouden zich nu vermoedelijk schamen voor wat zij mede hebben aangericht .	de veel zullen zich nu vermoedelijk schamen voor wat zij mede hebben aanrichten .	DEF;DET PRO FIN;PL;PST;V 3;ACC;PRO;REFL ADV ADJ NFIN;V ADP 3;PRO 3;NOM;PRO ADV FIN;PL;PRS;V V;V.PTCP _
dit werk werd vooral bekend door de diefstal in 1934 van twee panelen , het paneel met « st-jan de doper » , dat vrij vlug wordt terugbezorgd , en het paneel van de rechtvaardige rechters dat tot op heden nog steeds niet werd teruggevonden .	dit werk worden vooral bekend door de diefstal in 1934 van twee paneel , het paneel met « st-jan de doper » , dat vrij vlug worden terugbezorgen , en het paneel van de rechtvaardig rechter dat tot op heden nog steeds niet worden terugvinden .	DET N;NEUT;SG FIN;PST;SG;V ADV ADJ ADP DEF;DET MASC+FEM;N;SG ADP NUM ADP NUM N;PL _ DEF;DET N;NEUT;SG ADP _ PROPN PROPN PROPN _ _ 3;PRO ADV ADJ FIN;PRS;SG;V V;V.PTCP _ CONJ DEF;DET N;NEUT;SG ADP DEF;DET ADJ N;PL 3;PRO ADP ADP ADV ADV ADV ADV FIN;PST;SG;V V;V.PTCP _
luchtbal	luchtbal	NEUT;PROPN;SG
schilderkunst	schilderkunst	MASC+FEM;N;SG
namen ( hoofdstad namen )	namen ( hoofdstad namen )	NEUT;PROPN;SG _ MASC+FEM;N;SG NEUT;PROPN;SG _
leopold had bovendien van de familie lippens een stuk grond in het zoute gekregen , waar hij een villa bouwt en graag gaat golfen .	leopold hebben bovendien van de familie lippens een stuk grond in het zoute krijgen , waar hij een villa bouwen en graag gaan golfen .	MASC+FEM;PROPN;SG FIN;PST;SG;V ADV ADP DEF;DET MASC+FEM;N;SG MASC+FEM;PROPN;SG DET;INDF N;NEUT;SG MASC+FEM;N;SG ADP DEF;DET NEUT;PROPN;SG V;V.PTCP _ ADV 3;NOM;PRO DET;INDF MASC+FEM;N;SG FIN;PRS;SG;V CONJ ADV FIN;PRS;SG;V NFIN;V _
woestijnvis	woestijnvis	MASC+FEM;PROPN;SG
het archief van elsschot was in beheer bij zijn oudste zoon walter , bij zijn overlijden kwam het in handen van de kleinzonen , walter , fons en christiaan de ridder .	het archief van elsschot zijn in beheer bij zijn oud zoon walter , bij zijn overlijden komen het in hand van de kleinzoon , walter , fons en christiaan de ridder .	DEF;DET N;NEUT;SG ADP MASC+FEM;PROPN;SG FIN;PST;SG;V ADP N;NEUT;SG ADP 3;PRO ADJ;RL MASC+FEM;N;SG MASC+FEM;PROPN;SG _ ADP 3;PRO NFIN;V FIN;PST;SG;V 3;PRO ADP N;PL ADP DEF;DET N;PL _ MASC+FEM;PROPN;SG _ MASC+FEM;PROPN;SG CONJ PROPN PROPN PROPN _
deze was inmiddels uitgever geworden en vroeg vandersteen of hij voor hem een gans stripalbum kon tekenen .	deze zijn inmiddels uitgever worden en vragen vandersteen of hij voor hem een gans stripalbum kunnen tekenen .	PRO FIN;PST;SG;V ADV MASC+FEM;N;SG V;V.PTCP CONJ FIN;PST;SG;V MASC+FEM;PROPN;SG CONJ 3;NOM;PRO ADP 3;ACC;PRO DET;INDF ADJ N;NEUT;SG FIN;PST;SG;V NFIN;V _
zie ook	zien ook	FIN;PRS;SG;V ADV
de typische gele moto's voeren wielen met zich mee die ter beschikking staan van de renners met pech .	de typisch geel moto voeren wiel met zich mee die te beschikking staan van de renner met pech .	DEF;DET ADJ ADJ N;PL FIN;PL;PRS;V N;PL ADP 3;ACC;PRO;REFL ADP PRO ADP MASC+FEM;N;SG FIN;PL;PRS;V ADP DEF;DET N;PL ADP MASC+FEM;N;SG _
een meerderheid van de vlaamse partijen lijkt te kiezen voor hetzij een verder doorgedreven federalisme , hetzij een confederalisme .	een meerderheid van de vlaams partij lijken te kiezen voor hetzij een ver doordrijven federalisme , hetzij een confederalisme .	DET;INDF MASC+FEM;N;SG ADP DEF;DET ADJ N;PL FIN;PRS;SG;V ADP NFIN;V ADP CONJ DET;INDF ADJ;CMPR V;V.PTCP N;NEUT;SG _ CONJ DET;INDF N;NEUT;SG _
1928 - jules van hevel	1928 - jules van hevel	NUM _ PROPN PROPN PROPN
( tijdens de jaren 1960 en 1970 zijn deze vroegere unitaristische parijen opgesplitst in aparte vlaamse , franstalige en enkele duitstalige partijen ) .	( tijdens de jaar 1960 en 1970 zijn deze vroeg unitaristisch parij opsplitsen in apart vlaams , franstalig en enkel duitstalig partij ) .	_ ADP DEF;DET N;PL NUM CONJ NUM FIN;PL;PRS;V DET ADJ;CMPR ADJ N;PL V;V.PTCP ADP ADJ ADJ _ ADJ CONJ PRO ADJ N;PL _ _
onder filips ii , opvolger van karel v , leidde de verspreiding ervan tot een opstand van de nederlandse gewesten en tot de tachtigjarige oorlog .	onder filips ii , opvolger van karel v , leiden de verspreiding ervan tot een opstand van de nederlands gewest en tot de tachtigjarig oorlog .	ADP PROPN PROPN _ MASC+FEM;N;SG ADP PROPN PROPN _ FIN;PST;SG;V DEF;DET MASC+FEM;N;SG ADV ADP DET;INDF MASC+FEM;N;SG ADP DEF;DET ADJ N;PL CONJ ADP DEF;DET ADJ MASC+FEM;N;SG _
sint-niklaas	sint-niklaas	NEUT;PROPN;SG
het belgische vorstenhuis	het belgisch vorstenhuis	DEF;DET ADJ N;NEUT;SG
nieuwe stadsprojecten	nieuw stadsproject	ADJ N;PL
twee weken later start justine als topfavoriete zonder enige voorbereiding in wimbledon waar ze in de eerste ronde werd uitgeschakeld door de griekse eleni daniilidou ( 6-7 , 6-2 , 5-7 ) .	twee week laat starten justine als topfavoriete zonder enig voorbereiding in wimbledon waar ze in de één ronde worden uitschakelen door de grieks eleni daniilidou ( 6-7 , 6-2 , 5-7 ) .	NUM N;PL ADJ;CMPR FIN;PRS;SG;V MASC+FEM;PROPN;SG ADP MASC+FEM;N;SG ADP DET MASC+FEM;N;SG ADP NEUT;PROPN;SG ADV 3;PRO ADP DEF;DET ADJ MASC+FEM;N;SG FIN;PST;SG;V V;V.PTCP ADP DEF;DET ADJ PROPN PROPN _ _ _ _ _ _ _ _
19e eeuw	19 eeuw	ADJ MASC+FEM;N;SG
leopold is nog maar 34 als in 1935 zijn vrouw , de immens populaire koningin astrid ( 30 ) bij een auto-ongeval omkomt .	leopold zijn nog maar 34 als in 1935 zijn vrouw , de immens populair koningin astrid ( 30 ) bij een auto-ongeval omkomen .	MASC+FEM;PROPN;SG FIN;PRS;SG;V ADV ADV NUM CONJ ADP NUM 3;PRO MASC+FEM;N;SG _ DEF;DET ADJ ADJ MASC+FEM;N;SG MASC+FEM;PROPN;SG _ NUM _ ADP DET;INDF MASC+FEM;N;SG FIN;PRS;SG;V _
tinčjo : esperanto	tinčjo : esperanto	MASC+FEM;PROPN;SG _ NEUT;PROPN;SG
ze laat zich opmerken bij het publiek door een halve finale op roland garros ( tegen kim clijsters ) , winst in bois-le-duc ( gras ) en een finaleplaats in wimbledon ( tegen venus williams ) .	ze laten zich opmerken bij het publiek door een half finale op roland garros ( tegen kim clijsters ) , winst in bois-le-duc ( gras ) en een finaleplaats in wimbledon ( tegen venus williams ) .	3;PRO FIN;PRS;SG;V 3;ACC;PRO;REFL NFIN;V ADP DEF;DET N;NEUT;SG ADP DET;INDF ADJ MASC+FEM;N;SG ADP PROPN PROPN _ ADP PROPN PROPN _ _ MASC+FEM;N;SG ADP NEUT;PROPN;SG _ N;NEUT;SG _ CONJ DET;INDF MASC+FEM;N;SG ADP NEUT;PROPN;SG _ ADP PROPN PROPN _ _
rené magritte op artcyclopedia met veel links	rené magritte op artcyclopedia met veel link	PROPN PROPN ADP MASC+FEM;PROPN;SG ADP DET N;PL
van oudsher was oudenaarde een textielstad ; deze nijverheid heeft relatief standgehouden , maar toerisme is sinds de twintigste eeuw een belangrijke bron van inkomsten .	van oudsher zijn oudenaarde een textielstad ; deze nijverheid hebben relatief standhouden , maar toerisme zijn sinds de twintig eeuw een belangrijk bron van inkomsten .	ADP ADV FIN;PST;SG;V NEUT;PROPN;SG DET;INDF MASC+FEM;N;SG _ DET MASC+FEM;N;SG FIN;PRS;SG;V ADJ V;V.PTCP _ CONJ N;NEUT;SG FIN;PRS;SG;V ADP DEF;DET ADJ MASC+FEM;N;SG DET;INDF ADJ MASC+FEM;N;SG ADP N;PL _
2004	2004	NUM
website van de gemeente	website van de gemeente	MASC+FEM;N;SG ADP DEF;DET MASC+FEM;N;SG
mol kan betrekking hebben op :	mol kunnen betrekking hebben op :	MASC+FEM;N;SG FIN;PRS;SG;V MASC+FEM;N;SG NFIN;V ADP _
1972 - roger de vlaeminck ( )	1972 - roger de vlaeminck ( )	NUM _ PROPN PROPN PROPN _ _
het « vormingsstation antwerpen-noord » in de haven is het grootste rangeerterrein van belgië .	het « vormingsstation antwerpen-noord » in de haven zijn het groot rangeerterrein van belgië .	DEF;DET _ PROPN PROPN _ ADP DEF;DET MASC+FEM;N;SG FIN;PRS;SG;V DEF;DET ADJ;RL N;NEUT;SG ADP NEUT;PROPN;SG _
2000 - johan museeuw ( )	2000 - johan museeuw ( )	NUM _ PROPN PROPN _ _
door deze discrete beslissing bestaat nog steeds wereldwijd het misverstand als zou het belgisch vorstenhuis nog altijd de naam « van saksen-coburg-gotha » dragen .	door deze discreet beslissing bestaan nog steeds wereldwijd het misverstand als zullen het belgisch vorstenhuis nog altijd de naam « van saksen-coburg-gotha » dragen .	ADP DET ADJ MASC+FEM;N;SG FIN;PRS;SG;V ADV ADV ADJ DEF;DET N;NEUT;SG CONJ FIN;PST;SG;V DEF;DET ADJ N;NEUT;SG ADV ADV DEF;DET MASC+FEM;N;SG _ ADP NEUT;PROPN;SG _ NFIN;V _
alhoewel de communistische tendens in oorsprong zeer sterk was heeft na verloop van tijd de sociaal-democratische tendens volledig de overhand gehaald .	alhoewel de communistisch tendens in oorsprong zeer sterk zijn hebben na verloop van tijd de sociaal-democratisch tendens volledig de overhand halen .	CONJ DEF;DET ADJ MASC+FEM;N;SG ADP MASC+FEM;N;SG ADV ADJ FIN;PST;SG;V FIN;PRS;SG;V ADP N;NEUT;SG ADP MASC+FEM;N;SG DEF;DET ADJ MASC+FEM;N;SG ADJ DEF;DET MASC+FEM;N;SG V;V.PTCP _
1990 - moreno argentin ( )	1990 - moreno argentin ( )	NUM _ PROPN PROPN _ _
het stadsbestuur koos voor de laatste optie , mede doordat de vorm van een bril ook op de letter « a » ( van ' audenaerde ' ) lijkt .	het stadsbestuur kiezen voor de laat optie , mede doordat de vorm van een bril ook op de letter « a » ( van ' audenaerde ' ) lijken .	DEF;DET N;NEUT;SG FIN;PST;SG;V ADP DEF;DET ADJ;RL MASC+FEM;N;SG _ ADV CONJ DEF;DET MASC+FEM;N;SG ADP DET;INDF MASC+FEM;N;SG ADV ADP DEF;DET MASC+FEM;N;SG _ _ _ _ ADP _ NEUT;PROPN;SG _ _ FIN;PRS;SG;V _
met meer dan 200 afleveringen is het de langstlopende en succesvolste reeks die de vrt ooit geproduceerd heeft .	met veel dan 200 aflevering zijn het de langstlopend en succesvol reeks die de vrt ooit produceren hebben .	ADP PRO CONJ NUM N;PL FIN;PRS;SG;V 3;PRO DEF;DET ADJ CONJ ADJ;RL MASC+FEM;N;SG PRO DEF;DET MASC+FEM;PROPN;SG ADV V;V.PTCP FIN;PRS;SG;V _
dubbelspel ( 11 )	dubbelspel ( 11 )	N;NEUT;SG _ NUM _
gemeenten met een stadstitel hebben een « ( stad ) » achter de naam	gemeente met een stadstitel hebben een « ( stad ) » achter de naam	N;PL ADP DET;INDF MASC+FEM;N;SG FIN;PL;PRS;V DET;INDF _ _ MASC+FEM;N;SG _ _ ADP DEF;DET MASC+FEM;N;SG
in 1997 wint ze de orange bowl ( het wereldkampioenschap bij de junioren ) en roland garros voor junioren : ze verslaat cara black ( 4-6 , 6-4 , 6-4 ) .	in 1997 winnen ze de orange bowl ( het wereldkampioenschap bij de junior ) en roland garros voor junior : ze verslaan cara black ( 4-6 , 6-4 , 6-4 ) .	ADP NUM FIN;PRS;SG;V 3;PRO DEF;DET PROPN PROPN _ DEF;DET N;NEUT;SG ADP DEF;DET N;PL _ CONJ PROPN PROPN ADP N;PL _ 3;PRO FIN;PRS;SG;V PROPN PROPN _ _ _ _ _ _ _ _
gavere	gavere	NEUT;PROPN;SG
politiek	politiek	MASC+FEM;N;SG
veel suske en wiske-verhalen ontstaan uit dagelijkse situaties , die de protagonisten snel tot in het ongewone trekken .	veel suske en wiske-verhaal ontstaan uit dagelijks situatie , die de protagonist snel tot in het ongewoon trekken .	DET PROPN PROPN N;PL FIN;PL;PRS;V ADP ADJ N;PL _ PRO DEF;DET N;PL ADJ ADP ADP DEF;DET ADJ FIN;PL;PRS;V _
« schanulleke » 1986-2001	« schanulleke » 1986-2001	_ MASC+FEM;PROPN;SG _ _
het omvatte de huidige provincies noord-brabant , antwerpen , vlaams-brabant , waals-brabant en het hoofdstedelijk gewest brussel .	het omvatten de huidig provincie noord-brabant , antwerpen , vlaams-brabant , waals-brabant en het hoofdstedelijk gewest brussel .	3;PRO FIN;PST;SG;V DEF;DET ADJ N;PL NEUT;PROPN;SG _ NEUT;PROPN;SG _ NEUT;PROPN;SG _ NEUT;PROPN;SG CONJ DEF;DET ADJ N;NEUT;SG NEUT;PROPN;SG _
namen	namen	NEUT;PROPN;SG
edit fintor , andras pandy's tweede vrouw .	edit fintor , andras pandy twee vrouw .	PROPN PROPN _ PROPN PROPN;SG ADJ MASC+FEM;N;SG _
5 .	5 .	NUM _
religies	religie	N;PL
vooraanstaande leden	vooraanstaand lid	ADJ N;PL
voorts zijn er kleine groepen die belgië willen aanhechten bij nederland ( heel-nederlanders ) dan wel bij frankrijk ( rattachisme ) dan wel vlaanderen bij nederland willen doen aansluiten ( groot-nederlanders ) .	voorts zijn er klein groep die belgië willen aanhechten bij nederland ( heel-nederlander ) dan wel bij frankrijk ( rattachisme ) dan wel vlaanderen bij nederland willen doen aansluiten ( groot-nederlander ) .	ADV FIN;PL;PRS;V ADV ADJ N;PL PRO NEUT;PROPN;SG FIN;PL;PRS;V NFIN;V ADP NEUT;PROPN;SG _ N;PL _ CONJ ADV ADP NEUT;PROPN;SG _ N;NEUT;SG _ CONJ ADV NEUT;PROPN;SG ADP NEUT;PROPN;SG FIN;PL;PRS;V NFIN;V NFIN;V _ N;PL _ _
« achttien verhalen » ( 1992 )	« achttien verhaal » ( 1992 )	_ NUM N;PL _ _ NUM _
