oighe chuimealta a bhíos aige leis an obair is fíneálta a dhéanamh .	oighe chuimealta a bí ag le an obair is fíneálta a déanamh .	MASC;PROPN;SG ADJ;V.PTCP PART IMP;PST;V 3;ADP;MASC;SG ADP DEF;DET;SG DEF;FEM;N;SG PART ADJ;{CMPR/RL} PART N;NFIN _
is beag mac léinn seandálaíochta anois a léann an cuntas ar thochailt thuama an ollaimh fódhla : i dtaca le minicíocht an chloig inmheánaigh seo , tá dhá chineál duine ann .	is beag mac léann seandálaíocht anois a léigh an cuntas ar tochailt tuama an ollamh fódhla : i taca le minicíocht an clog inmheánach seo , bí dó cineál duine i .	PRS;V ADJ MASC;N;SG GEN;MASC;N;SG FEM;GEN;N;SG ADV PART IND;PRS;V DEF;DET;SG MASC;N;SG ADP N;NFIN GEN;MASC;N;SG DEF;DET;SG DEF;GEN;MASC;N;SG MASC;PROPN;SG _ ADP MASC;N;SG ADP FEM;N;SG DEF;DET;SG DEF;GEN;MASC;N;SG ADJ;GEN;MASC;SG DET _ IND;PRS;V NUM MASC;N;SG GEN;MASC;N;SG 3;ADP;MASC;SG _
bhí saibhreas na gceilteach bunaithe , cuid mhaith , ar dhá scil a bhí ar fheabhas acu - mianadóireacht agus miotalóireacht .	bí saibhreas na ceilteach bunaithe , cuid maith , ar dó scil a bí ar feabhas ag - mianadóireacht agus miotalóireacht .	IND;PST;V MASC;N;SG DEF;DET;FEM;GEN;SG DEF;GEN;MASC;N;PL ADJ;V.PTCP _ FEM;N;SG ADJ;FEM;SG _ ADP NUM FEM;N;SG PART IND;PST;V ADP MASC;N;SG 3;ADP;PL _ FEM;N;SG CONJ FEM;N;SG _
ní thugann sé spás ar bith dom - dom féin - tá sé ag séideadh na hinchinne asam .	ní tabhair sé spás ar bith do - do féin - bí sé ag séideadh na inchinn as .	NEG;PART IND;NEG;PRS;V 3;MASC;PRO;SG MASC;N;SG ADP N;SG 1;ADP;SG _ 1;ADP;SG PRO;REFL _ IND;PRS;V 3;MASC;PRO;SG ADP N;V.MSDR DEF;DET;FEM;GEN;SG DEF;FEM;GEN;N;SG 1;ADP;SG _
bhí leidí fánacha den chineál céanna le sonrú roimhe sin i scéalta ar nós ' leatrom na cinniúna ' , ' mac rí na ndeachmann ' agus ' gan murcha gan manas ' ( idir shúgradh agus dáiríre ) agus in ' tnúthán an dúchais ' agus ' ag dul ar aghaidh ' ( an braon broghach ) .	bí leidí fánach de cineál céanna le sonrú roimh sin i scéal ar nós ' leatrom na cinniúint ' , ' mac rí na ndeachmann ' agus ' gan murcha gan manas ' ( idir súgradh agus dáiríre ) agus i ' tnúthán an dúchas ' agus ' ag dul ar aghaidh ' ( an braon broghach ) .	IND;PST;V FEM;N;PL ADJ;PL ADP;SG MASC;N;SG ADJ ADP N;NFIN 3;ADP;MASC;SG PRO ADP MASC;N;PL ADP ADP _ MASC;N;SG DEF;DET;FEM;GEN;SG DEF;FEM;GEN;N;SG _ _ _ MASC;N;SG MASC;N;SG DEF;DET;FEM;GEN;SG FEM;N;SG _ CONJ _ ADP MASC;PROPN;SG ADP MASC;N;SG _ _ ADP MASC;N;SG CONJ MASC;N;SG _ CONJ ADP _ MASC;N;SG DEF;DET;SG GEN;MASC;N;SG _ CONJ _ ADP N;V.MSDR ADP FEM;N;SG _ _ DEF;DET;SG DEF;MASC;N;SG ADJ;MASC;SG _ _
tá sé do mo chabhrú .	bí sé do mo cabhrú .	IND;PRS;V 3;MASC;PRO;SG ADP 1;DET;SG N;NFIN _
tháinig an t-amhras chun tosaigh tar éis gur chuidigh an túdarás , dhá bhliain ó shin , le grúpa a bhí ag iarraidh scéim tithiochta sóisialta a thosú .	tar an amhras chun tosach tar éis gur cuidigh an údarás , dó bliain ó sin , le grúpa a bí ag iarraidh scéim tithiochta sóisialta a tosú .	IND;PST;V DEF;DET;SG DEF;MASC;N;SG ADP GEN;MASC;N;SG ADP ADP PART;PST IND;PST;V DEF;DET;SG DEF;MASC;N;SG _ NUM FEM;N;SG ADP PRO _ ADP MASC;N;SG PART IND;PST;V ADP N;V.MSDR FEM;N;SG ADJ;V.PTCP ADJ PART N;NFIN _
crothnófar pól nó ba úrlabhraí maith é ar raidió na gaeltachta agus na meáin eile ag cosaint na n-oifigí poist tuaithe , gné am-tábhachtach de shaol sóisialta na ndaoine .	cruthaigh pól nó is úrlabhraí maith é ar raidió na gaeltacht agus na meán eile ag cosaint na oifig post tuath , gné an-tábhacht de saol sóisialta na duine .	FUT;IND;V MASC;PROPN;SG CONJ PST;V MASC;N;SG ADJ;MASC;SG 3;MASC;PRO;SG ADP MASC;N;SG DEF;DET;FEM;GEN;SG DEF;FEM;GEN;N;SG CONJ DEF;DET;PL DEF;MASC;N;PL DET ADP N;V.MSDR DEF;DET;FEM;GEN;SG FEM;GEN;N;PL GEN;MASC;N;SG FEM;GEN;N;SG _ FEM;N;SG ADJ ADP MASC;N;SG ADJ;MASC;SG DEF;DET;FEM;GEN;SG GEN;MASC;N;PL _
cheap brian gur bhreathnaigh sibéal go hálainn .	ceap brian gur breathnaigh sibéal go álainn .	IND;PST;V MASC;PROPN;SG PART;PST IND;PST;V FEM;PROPN;SG PART ADJ _
luigh sé go dian leis an staidéar agus bhain sé amach céim b.a. maidir leis an damhsóir bhí cuma ainnis air agus bhí an oiread cótaí air a chlúdódh coláiste na tríonóide .	luigh sé go dian le an staidéar agus bain sé amach céim b.a. maidir le an damhsóir bí cuma ainnis ar agus bí an oiread cóta ar a clúdaigh coláiste na tríonóid .	IND;PST;V 3;MASC;PRO;SG PART ADJ ADP DEF;DET;SG DEF;MASC;N;SG CONJ IND;PST;V 3;MASC;PRO;SG ADV FEM;N;SG _ ADP ADP DEF;DET;SG DEF;MASC;N;SG IND;PST;V FEM;N;SG ADJ;FEM;SG 3;ADP;MASC;SG CONJ IND;PST;V DEF;DET;SG N;SG GEN;MASC;N;PL 3;ADP;MASC;SG PART COND;V MASC;N;SG DEF;DET;FEM;GEN;SG DEF;FEM;GEN;N;SG _
tithe ceann tuí a bhí iontu a tógadh le clocha le seomra leapa amháin laistiar den tine .	teach ceann tuí a bí i a tóg le cloch le seomra leaba amháin laistiar de tine .	MASC;N;PL MASC;N;SG FEM;GEN;N;SG PART IND;PST;V 3;ADP;PL PART IND;PST;V ADP FEM;N;PL ADP MASC;N;SG FEM;GEN;N;SG ADJ MASC;N;SG ADP;SG FEM;N;SG _
sular féidir linn aon chainníocht a thomhas ní mór dúinn aonad a bheith againn .	sula féidir le aon cainníocht a tomhas is mór do aonad a bheith ag .	CONJ;PST N;SG 1;ADP;PL DET FEM;N;SG PART N;NFIN NEG;PRS;V ADJ 1;ADP;PL MASC;N;SG PART N;NFIN 1;ADP;PL _
finbarr : beidh an-weekend againn !	finbarr : bí an-weekend ag !	MASC;N;SG _ FUT;IND;V _ 1;ADP;PL _
lean an iníon de brún uirthi le miniú gur thacaigh an roinn s' aici leis an eagraíocht le 11,000 de mhaoiniú breise anuraidh le cur ar a gcumas tabhairt faoina ndeacrachtaí .	lean an iníon de brún ar le miniú gur tacaigh an roinn s ag le an eagraíocht le 11,000 de maoiniú breis anuraidh le cur ar a cumas tabhairt faoi deacracht .	IND;PST;V DEF;DET;SG DEF;FEM;N;SG PART MASC;PROPN;SG 3;ADP;FEM;SG ADP N;NFIN PART;PST IND;PST;V DEF;DET;SG DEF;FEM;N;SG DET 3;ADP;FEM;SG ADP DEF;DET;SG DEF;FEM;N;SG ADP NUM ADP N;NFIN FEM;GEN;N;SG ADV ADP N;NFIN ADP 3;DET;PL MASC;N;SG N;NFIN 3;ADP;PL FEM;N;PL _
na néaróga fós go dona .	na néaróg fós go dona .	DEF;DET;PL FEM;N;PL ADV PART ADJ _
leanann an talamh ar tonnchrith i ndiaidh dóibh dul thart , dála miotal ildaite , dála an chloig mhóir , i ndiaidh na paidreacha easpartan a fhógairt , nuair a mhaireann ag crónán os cionn na ndíonta ar nós foiche mhór ghlas ina thúr órga , áit ar féidir leis an fharraige a fheiceáil .	lean an talamh ar tonnchrith i ndiaidh do dul thart , dála miotal daite , dála an clog mór , i ndiaidh na paidir easparta a fógairt , nuair a mair ag crónán os cionn na díon ar nós foiche mór glas i túr órga , áit is féidir le an farraige a feiceáil .	IND;PRS;V DEF;DET;SG DEF;MASC;N;SG ADP N;NFIN ADP ADP 3;ADP;PL N;NFIN ADV _ N;SG MASC;N;SG ADJ;MASC;SG _ N;SG DEF;DET;SG DEF;GEN;MASC;N;SG ADJ;GEN;MASC;SG _ ADP ADP DEF;DET;FEM;GEN;SG FEM;GEN;N;PL FEM;GEN;N;SG PART N;NFIN _ CONJ PART IND;PRS;V ADP MASC;N;SG ADP ADP DEF;DET;FEM;GEN;SG DEF;GEN;MASC;N;PL ADP ADP FEM;N;SG ADJ;FEM;SG ADJ;FEM;SG 3;ADP;MASC;SG MASC;N;SG ADJ;MASC;SG _ FEM;N;SG PRS;V N;SG ADP DEF;DET;SG DEF;FEM;N;SG PART N;NFIN _
chuir sé iontas orainn chomh mór agus a bhí sé agus chomh leagtha amach 's a bhí sé .	cuir sé iontas ar chomh mór agus a bí sé agus chomh leagtha amach agus a bí sé .	IND;PST;V 3;MASC;PRO;SG MASC;N;SG 1;ADP;PL ADV ADJ CONJ PART IND;PST;V 3;MASC;PRO;SG CONJ ADV ADJ;V.PTCP ADV CONJ PART IND;PST;V 3;MASC;PRO;SG _
mar gheall air sin bhíodh sliocht mór ar an sapa inca agus roghnaíodh sé a chúirt , a chuid riarthóirí agus a chomharba féin as a measc .	mar geall ar sin bí sliocht mór ar an sapa inca agus roghnaigh sé a cúirt , a cuid riarthóir agus a comharba féin as a measc .	ADP MASC;N;SG 3;ADP;MASC;SG PRO IMP;PST;V MASC;N;SG ADJ;MASC;SG ADP DEF;DET;SG MASC;PROPN;SG MASC;PROPN;SG CONJ IMP;PST;V 3;MASC;PRO;SG 3;DET;MASC;SG FEM;N;SG _ PART FEM;N;SG GEN;MASC;N;PL CONJ 3;DET;MASC;SG MASC;N;SG PRO;REFL ADP 3;DET;PL MASC;N;SG _
do thuairimíocht faoi do chuairt go hiarthar bhéal feirste ?	do tuairimíocht faoi do cuairt go iarthar béal feirste ?	2;DET;SG FEM;N;SG ADP 2;DET;SG FEM;N;SG ADP MASC;N;SG GEN;MASC;PROPN PROPN _
bhí biaiste an tsamhraidh thart agus ní raibh aon turasóirí - nó ' strainséirí ' eile - ach sinne amháin ar an oileán .	bí biaiste an samhradh thart agus ní bí aon turasóir - nó ' strainséirí ' eile - ach sinn amháin ar an oileán .	IND;PST;V FEM;N;SG DEF;DET;SG DEF;GEN;MASC;N;SG ADV CONJ NEG;PART IND;NEG;PST;V DET MASC;N;PL _ CONJ _ MASC;N;PL _ DET _ CONJ 1;PL;PRO ADJ ADP DEF;DET;SG MASC;N;SG _
tá stádas faoi leith ag an uda sa tseanchill cionn is stair an eagrais agus cionn is gur ansin is mó a bunaíodh is a buanaíodh é .	bí stádas faoi leith ag an uda i cill ceann agus stair an eagras agus ceann agus is ansin is mór a bunaigh agus a buanaigh é .	IND;PRS;V MASC;N;SG ADP FEM;N;SG ADP DEF;DET;SG _ ADP;SG DEF;FEM;N;SG DAT;FEM;N;SG CONJ FEM;N;SG DEF;DET;SG DEF;GEN;MASC;N;SG CONJ DAT;FEM;N;SG CONJ PST;V ADV PART ADJ;{CMPR/RL} PART IND;PST;V CONJ PART IND;PST;V 3;MASC;PRO;SG _
liosta de na cáipéisí agus na hábhair uile atá iniata san iarratas - faisnéis faoin gcúrsa / faoin oide / faoin taithí oibre ( bróisiúr más cuí ) , faoi na daoine atá i gceist agus faoin leibhéal tiomantais atá acu don tionscadal .	liosta de na cáipéis agus na ábhar uile bí iata i iarratas - faisnéis faoi cúrsa / faoi oide / faoi taithí obair ( bróisiúr má cuí ) , faoi na duine bí i ceist agus faoi leibhéal tiomantais bí ag do tionscadal .	MASC;N;SG ADP DEF;DET;PL DEF;FEM;N;PL CONJ DEF;DET;PL DEF;MASC;N;PL DET IND;PRS;V ADJ ADP;SG MASC;N;SG _ FEM;N;SG ADP;SG MASC;N;SG _ ADP;SG MASC;N;SG _ ADP;SG FEM;N;SG FEM;GEN;N;SG _ MASC;N;SG CONJ ADJ _ _ ADP DEF;DET;PL DEF;MASC;N;PL IND;PRS;V ADP FEM;N;SG CONJ ADP;SG MASC;N;SG FEM;N;SG IND;PRS;V 3;ADP;PL ADP;SG DEF;MASC;N;SG _
bronnfar é ar an chnuasach gearrscéalta nó an dráma is fearr .	bronn é ar an cnuasach gearrscéal nó an dráma is maith .	FUT;IND;V 3;MASC;PRO;SG ADP DEF;DET;SG MASC;N;SG GEN;MASC;N;PL CONJ DEF;DET;SG DEF;MASC;N;SG PART ADJ;{CMPR/RL} _
' ach thóg na leitreacha sin cian díom - na leitreacha a scríobh mé chomh maith leis na rudaí a scríobhadh chugam .	' ach tóg na leitr sin cian de - na leitr a scríobh mé chomh maith le na rud a scríobh chuig .	_ CONJ IND;PST;V DEF;DET;PL FEM;N;PL DET MASC;N;SG 1;ADP;SG _ DEF;DET;PL FEM;N;PL PART IND;PST;V 1;PRO;SG ADV ADJ ADP DEF;DET;PL DEF;MASC;N;PL PART IND;PST;V 1;ADP;SG _
' beitsín : mura bhfuil ocras ort anois , beidh ar ball , mar ar an tsaol seo tagann chuile shórt ocraisí ar na daoine .	' beitsín : mura bí ocras ar anois , bí ar ball , mar ar an saol seo tar gach_uile sórt ocraisí ar na duine .	_ MASC;N;SG _ CONJ IND;PRS;V MASC;N;SG 2;ADP;SG ADV _ FUT;IND;V ADP MASC;N;SG _ CONJ ADP DEF;DET;SG DEF;FEM;N;SG DET IND;PRS;V DEF;DET MASC;N;SG FEM;N;PL ADP DEF;DET;PL DEF;MASC;N;PL _
bhíodh féar is fiche againn amach in éineacht bhíodh an ' turnkey ' amach romhainn sa bpáirc ní raibh aon tsamhail againn ach mar a bheadh caoirigh a bheadh ag gabháil thart timpeall leis an ngalra cam .	bí féar agus fiche ag amach i éineacht bí an ' turnkey ' amach roimh i páirc ní bí aon samhail ag ach mar a bí caora a bí ag gabháil thart timpeall le an ngalra cam .	IMP;PST;V MASC;N;SG CONJ NUM 1;ADP;PL ADV ADP N;SG IMP;PST;V DEF;DET;SG _ _ _ ADV 1;ADP;PL ADP;SG FEM;N;SG NEG;PART IND;NEG;PST;V DET DEF;FEM;N;SG 1;ADP;PL CONJ ADP PART COND;V FEM;N;PL PART COND;V ADP N;V.MSDR ADV ADV ADP DEF;DET;SG MASC;N;SG ADJ;MASC;SG _
measann na tíortha sin gur coinníoll fíor-riachtanach an t-athneartú sin do chlabhsúr na chéad chaibidlíochta aontachais .	meas na tír sin is coinníoll riachtanach an neartú sin do clabhsúr na céad chaibidlíocht aontachas .	IND;PRS;V DEF;DET;PL DEF;FEM;N;PL DET PST;V MASC;N;SG ADJ;MASC;SG DEF;DET;SG DEF;MASC;N;SG DET ADP MASC;N;SG DEF;DET;FEM;GEN;SG NUM FEM;GEN;N;SG GEN;MASC;N;SG _
dheisigh seán an rothar .	deisigh seán an rothar .	IND;PST;V MASC;PROPN;SG DEF;DET;SG DEF;MASC;N;SG _
agus ní raibh díomá ar bith orthu sin a thréig an beár agus a bhailigh isteach san halla ag óstán ghaoth dobhair , tráthnóna dé sathairn , ar mhaithe leis na comórtais seo .	agus ní bí díomá ar bith ar sin a tréig an beár agus a bailigh isteach i halla ag óstán gaoth dobhar , tráthnóna dé satharn , ar maithe le na comórtas seo .	CONJ NEG;PART IND;PST;V FEM;N;SG ADP N;SG 3;ADP;PL PRO PART IND;PST;V DEF;DET;SG DEF;MASC;N;SG CONJ PART IND;PST;V ADV ADP;SG MASC;N;SG ADP MASC;N;SG FEM;N;SG GEN;MASC;N;SG _ MASC;N;SG N;SG GEN;MASC;N;SG _ ADP FEM;N;SG ADP DEF;DET;PL DEF;MASC;N;PL DET _
orthu siúd bhí john baptist crozier , eaglaiseach a bhí ina ardeaspag ar ard mhacha i ndeireadh a shaoil .	ar siúd bí john baptist crozier , eaglaiseach a bí i ardeaspag ar ard mhacha i deireadh a saol .	3;ADP;PL PRO IND;PST;V MASC;PROPN;SG MASC;PROPN;SG MASC;PROPN;SG _ MASC;N;SG PART IND;PST;V 3;ADP;MASC;SG MASC;N;SG ADP MASC;PROPN;SG PROPN ADP MASC;N;SG 3;DET;MASC;SG GEN;MASC;N;SG _
dá dtugadh patról nó spiairí faoi deara go rabhthas ag réiteach chun cogaidh dhéanadh na rómhánaigh ionsaí ar dtús .	dá tabhair patról nó spiaire faoi deara go bí ag réiteach chun cogadh déan na rómhánach ionsaí ar tús .	CONJ IMP;PST;V MASC;N;SG CONJ MASC;N;PL ADP N;SG PART IND;PST;V ADP N;V.MSDR ADP GEN;MASC;N;SG IMP;PST;V DEF;DET;PL DEF;MASC;N;PL MASC;N;SG ADP MASC;N;SG _
ní hamháin nach bhfaca sé aon rogha eile áfach , ach bhí sé patuar go maith faoin gcloch chora a shíl an coileánach a bheadh ar fáil chun saoirse bhreise a ghnóthú ar ball .	is amháin nach feic sé aon rogha eile áfach , ach bí sé patuar go maith faoi cloch cora a síl an coileáin a bí ar fáil chun saoirse breis a gnóthú ar ball .	NEG;PRS;V ADJ NEG;PART IND;PST;V 3;MASC;PRO;SG DET FEM;N;SG DET ADV _ CONJ IND;PST;V 3;MASC;PRO;SG ADJ PART ADJ ADP;SG FEM;N;SG GEN;MASC;PROPN;SG PART IND;PST;V DEF;DET;SG DEF;MASC;PROPN;SG PART COND;V ADP N;NFIN ADP FEM;GEN;N;SG FEM;GEN;N;SG PART N;NFIN ADP MASC;N;SG _
tiocfaidh an carnabhal go gaillimh , maidin dé sathairn , ceol agus damhsa suas is anuas an baile agus timpeall ar an margadh agus beidh mórshiúl na féile anuas trí shráideanna na cathrach ag leathuair tar éis a dó .	tar an carnabhal go gaillimh , maidin dé satharn , ceol agus damhsa suas agus anuas an baile agus timpeall ar an margadh agus bí mórshiúl na féile anuas trí sráid na cathair ag uair tar éis a dó .	FUT;IND;V DEF;DET;SG DEF;MASC;N;SG ADP FEM;PROPN;SG _ FEM;N;SG N;SG GEN;MASC;N;SG _ MASC;N;SG CONJ MASC;N;SG ADV CONJ ADV DEF;DET;SG GEN;MASC;N;SG CONJ MASC;N;SG ADP DEF;DET;SG DEF;MASC;N;SG CONJ FUT;IND;V MASC;N;SG DEF;DET;FEM;GEN;SG DEF;FEM;GEN;N;SG ADV ADP FEM;N;PL DEF;DET;FEM;GEN;SG DEF;FEM;GEN;N;SG ADP FEM;N;SG ADP ADP PART NUM _
fórsa a thomhas .	fórsa a tomhas .	MASC;N;SG PART N;NFIN _
le blianta fada tá dumpáil ar bun i ngleann na claise móire ar an mbóthar ó dhún chaoin go dtí an ngráig agus tá amhras le fada go bhfuil daoine áirithe sa cheantar i mbun na dumpála sin ach ní tángthas ar aon fhianaise dhearfach go fóill .	le bliain fada bí dumpáil ar bun i gleann na clais mór ar an bóthar ó dún caoin go dtí an gráig agus bí amhras le fada go bí duine áirithe i ceantar i mbun na dumpáilte sin ach ní tar ar aon fianaise dearfach go fóill .	ADP FEM;N;PL ADJ IND;PRS;V N;NFIN ADP MASC;N;SG ADP MASC;N;SG DEF;DET;FEM;GEN;SG DEF;FEM;GEN;N;SG FEM;GEN;PROPN ADP DEF;DET;SG MASC;N;SG ADP MASC;N;SG FEM;GEN;PROPN;SG ADP ADP DEF;DET;SG FEM;N;SG CONJ IND;PRS;V MASC;N;SG ADP ADJ PART IND;PRS;V MASC;N;PL ADJ ADP;SG MASC;N;SG ADP ADP DEF;DET;FEM;GEN;SG GEN;N;NFIN DET CONJ NEG;PART IND;NEG;PST;V ADP DET FEM;N;SG ADJ;FEM;SG PART ADJ _
d' fhéadfaí dlí a reachtáil a thabharfadh treoir don taoiseach oiread áirithe dá chuid seanadóirí seisean a bheith lonnaithe sna sé contae .	do féad dlí a reachtáil a tabhair treoir do taoiseach oiread áirithe do cuid seanadóir seisean a bheith lonnaithe i sé contae .	PART COND;V MASC;N;SG PART N;NFIN PART COND;V FEM;N;SG ADP;SG MASC;N;SG N;SG ADJ 3;ADP;MASC;SG FEM;N;SG GEN;MASC;N;PL 3;MASC;PRO;SG PART N;NFIN ADJ;V.PTCP ADP;PL NUM MASC;N;SG _
bhí teipthe ar aodh sa chath seo .	bí teipthe ar aodh i cath seo .	IND;PST;V ADJ;V.PTCP ADP MASC;PROPN;SG ADP;SG MASC;N;SG DET _
ach ba dhúnmharfóir é an té a thug an pacáistín beag dom déanta as nuachtán .	ach is dúnmharfóir é an té a tabhair an pacáistín beag do déanta as nuachtán .	CONJ PST;V MASC;N;SG 3;MASC;PRO;SG DEF;DET;SG DEF;MASC;N;SG PART IND;PST;V DEF;DET;SG MASC;N;SG ADJ;MASC;SG 1;ADP;SG ADJ;V.PTCP ADP MASC;N;SG _
táimid druidte isteach in oifig an phoist ó thuigeann an námha gur anseo atá croí agus meanma ár sárghluaiseachta .	bí druidte isteach i oifig an post ó tuig an námh is anseo bí croí agus meanma ár gluaiseacht .	1;IND;PL;PRS;V ADJ;V.PTCP ADV ADP FEM;N;SG DEF;DET;SG DEF;GEN;MASC;N;SG ADP IND;PRS;V DEF;DET;SG MASC;N;PL PRS;V ADV IND;PRS;V MASC;N;SG CONJ FEM;N;SG 1;DET;PL FEM;N;PL _
bheadh deis ag conradh na gaeilge nach raibh riamh cheana .	bí deis ag conradh na gaeilge nach bí riamh cheana .	COND;V FEM;N;SG ADP MASC;N;SG DEF;DET;FEM;GEN;SG DEF;FEM;GEN;PROPN;SG NEG;PART IND;NEG;PST;V ADV ADV _
déantar slad ar bhuíon de na sherwood foresters ag droichead shráid an mhóta agus iad ag iarraidh a mbealach a dhéanamh isteach go lár na cathrach ó dhún laoghaoire , áit ar thángadar i dtír .	déan slad ar buíon de na sherwood foresters ag droichead sráid an móta agus iad ag iarraidh a bealach a déanamh isteach go lár na cathair ó dún laoghaoire , áit ar tar i tír .	IND;PRS;V MASC;N;SG ADP FEM;N;SG ADP DEF;DET;PL MASC;PROPN;SG MASC;PROPN;SG ADP MASC;N;SG FEM;N;SG DEF;DET;SG PROPN CONJ 3;PL;PRO ADP N;V.MSDR 3;DET;PL MASC;N;SG PART N;NFIN ADV ADP MASC;N;SG DEF;DET;FEM;GEN;SG DEF;FEM;GEN;N;SG ADP MASC;N;SG MASC;PROPN;SG _ FEM;N;SG PART;PST 3;IND;PL;PST;V ADP FEM;N;SG _
roinnt míonna ina dhiaidh sin scríobh na haturnaetha chuig na coimisinéirí ioncaim arís chun tuairisc iomlán a iarraidh faoin imscrúdú a bhí déanta acu ar an ngearán .	roinnt mí i diaidh sin scríobh na aturnae chuig na coimisinéir ioncam arís chun tuairisc iomlán a iarraidh faoi scrúdú a bí déanta ag ar an gearán .	FEM;N;SG FEM;GEN;N;PL 3;ADP;MASC;SG N;SG PRO IND;PST;V DEF;DET;PL DEF;MASC;N;PL ADP DEF;DET;PL DEF;MASC;N;PL GEN;MASC;N;SG ADV ADP FEM;N;SG ADJ;FEM;SG PART N;NFIN ADP;SG MASC;N;SG PART IND;PST;V ADJ;V.PTCP 3;ADP;PL ADP DEF;DET;SG MASC;N;SG _
i gcoláiste na tríonóide dó , bhí sé ina reachtaire ar chumann gaedhealach an choláiste agus ina rúnaí ag an college choral society .	i coláiste na tríonóid do , bí sé i reachtaire ar cumann gaedhealach an coláiste agus i rúnaí ag an college choral society .	ADP MASC;N;SG DEF;DET;FEM;GEN;SG DEF;FEM;GEN;N;SG 3;ADP;MASC;SG _ IND;PST;V 3;MASC;PRO;SG 3;ADP;MASC;SG MASC;PROPN;SG ADP MASC;N;SG ADJ;MASC;SG DEF;DET;SG DEF;GEN;MASC;N;SG CONJ 3;ADP;MASC;SG MASC;N;SG ADP DEF;DET;SG MASC;PROPN;SG MASC;PROPN;SG MASC;PROPN;SG _
(2) maidir le gach nóta dlíthairgthe , beidh sé i cibé foirm agus beidh cibé méid ann agus cibé dearadh air , agus beidh sé clóite i cibé caoi agus ar cibé páipéar , agus uimhrithe agus fíordheimhnithe i cibé caoi , a bhí forordaithe roimh thosach feidhme an ailt seo nó a fhorordófar ó am go ham dá éis sin chun críche an ailt seo .	(2) maidir le gach nóta dlíthairgthe , bí sé i cibé foirm agus bí cibé méid i agus cibé dearadh ar , agus bí sé clóite i cibé caoi agus ar cibé páipéar , agus uimhrithe agus deimhnithe i cibé caoi , a bí ordaithe roimh tosach feidhm an alt seo nó a fhorordófar ó am go am de éis sin chun críoch an alt seo .	_ ADP ADP DEF;DET MASC;N;SG ADJ;MASC;SG _ FUT;IND;V 3;MASC;PRO;SG ADP DET FEM;N;SG CONJ FUT;IND;V DET MASC;N;SG 3;ADP;MASC;SG CONJ DET MASC;N;SG 3;ADP;MASC;SG _ CONJ FUT;IND;V 3;MASC;PRO;SG ADJ;V.PTCP ADP DET FEM;N;SG CONJ ADP DET MASC;N;SG _ CONJ ADJ;V.PTCP CONJ ADJ;V.PTCP ADP DET FEM;N;SG _ PART IND;PST;V ADJ;V.PTCP ADP MASC;N;SG FEM;GEN;N;SG DEF;DET;SG DEF;GEN;MASC;N;SG DET CONJ PART FUT;IND;V ADP MASC;N;SG ADP MASC;N;SG 3;ADP;MASC;SG N;SG PRO ADP FEM;GEN;N;SG DEF;DET;SG DEF;GEN;MASC;N;SG DET _
sa tsean-am bhí an cál nó an cabáiste an-ghann ; b' fhéidir nach mbeadh i ngach baile ach aon gharraí amháin .	i am bí an cál nó an cabáiste gann ; is féidir nach bí i gach baile ach aon garraí amháin .	ADP;SG MASC;N;SG IND;PST;V DEF;DET;SG DEF;MASC;N;SG CONJ DEF;DET;SG DEF;MASC;N;SG ADJ _ PST;V N;SG NEG;PART COND;V ADP DEF;DET MASC;N;SG CONJ DET MASC;N;SG ADJ _
' conchúr a d' iarr air an féasta a ullmhú d' fhearghus , mar bhí sé de gheasa ar fhearghus gan féasta a dhiúltú , agus bhí a fhios ag an rí go gcuirfeadh sin moill ar mhac róigh agus go mbeadh caoi aige féin ar an fheall a imirt ar chlann uisnigh sula sroicheadh fearghus eamhain mhacha .	' conchúr a do iarr ar an féasta a ullmhú do fhearghus , mar bí sé de geis ar fhearghus gan féasta a diúltú , agus bí a fios ag an rí go cuir sin moill ar mac róigh agus go bí caoi ag féin ar an feall a imirt ar clann uisnigh sula sroich fearghus eamhain macha .	_ MASC;PROPN;SG PART PART IND;PST;V 3;ADP;MASC;SG DEF;DET;SG DEF;MASC;N;SG PART N;NFIN ADP MASC;PROPN;SG _ CONJ IND;PST;V 3;MASC;PRO;SG ADP FEM;N;PL ADP MASC;PROPN;SG ADP MASC;N;SG PART N;NFIN _ CONJ IND;PST;V 3;DET;MASC;SG MASC;N;SG ADP DEF;DET;SG DEF;MASC;N;SG PART COND;V PRO FEM;N;SG ADP MASC;N;SG MASC;PROPN;SG CONJ PART COND;V FEM;N;SG 3;ADP;MASC;SG PRO;REFL ADP DEF;DET;SG MASC;N;SG PART N;NFIN ADP FEM;N;SG MASC;PROPN;SG CONJ IMP;PST;V MASC;PROPN;SG MASC;PROPN;SG GEN;MASC;PROPN;SG _
mícheál go raibh sé á cheapadh ina phríomhoide i mbunscoil na mbráithre sa daingean .	mícheál go bí sé do ceapadh i príomhoide i bunscoil na bráthair i daingean .	MASC;PROPN;SG PART IND;PST;V 3;MASC;PRO;SG 3;ADP;PL N;NFIN 3;ADP;MASC;SG MASC;N;SG ADP FEM;N;SG DEF;DET;PL DEF;GEN;MASC;N;PL ADP;SG MASC;PROPN;SG _
