eilañ perzhioù an teuliad	eilañ perzh an teuliad	NFIN;V MASC;N;PL DET MASC;N;SG
un teuliad peder fajennad zo bet gouestlet en n niverenn -mañ da vro-euskadi .	un teuliad pevar pajennad bezañ bezañ gouestlañ e an niverenn mañ da bro-euskadi .	DET MASC;N;SG FEM;NUM;PL FEM;N;SG 3;FIN;IND;PRS;SG;V PST;V;V.PTCP PST;V;V.PTCP ADP DET FEM;N;SG ADV ADP PROPN;SG _
me a breno ar sae , hogen c'hwi a wisko anezhi .	prpers a prenañ an sae , hogen prpers a gwiskañ direct .	1;NOM;PRO;SG PART 3;FIN;FUT;IND;SG;V DET FEM;N;SG _ CONJ 2;NOM;PL;PRO PART 3;FIN;FUT;IND;SG;V 3;ACC;FEM;PRO;SG _
kousket ne rin ket .	kousket ne ober ket .	NFIN;V ADV;NEG 1;FIN;FUT;IND;SG;V ADV _
e vamm-gozh a oa keginerez .	e mamm-gozh a bezañ keginer .	DET;PSS FEM;N;SG PART 3;FIN;IND;PST;SG;V FEM;N;SG _
er _ bloavezh 2003 e voe ar gsi anzavet evel dizoloer an elfenn 111 .	e an bloavezh 2003 e bezañ an gsi anzav evel dizoloer an elfenn 111 .	ADP DET MASC;N;SG NUM;PL PART 3;FIN;PST;SG;V DET MASC;N;SG PST;V;V.PTCP ADP MASC;N;SG DET FEM;N;SG NUM;PL _
- ar retredidi hag an dud oadet .	- an retredad ha an den oadet .	_ DET MASC;N;PL CONJ DET MASC;N;PL ADJ _
dedennet eo gant an deskadurezh ha kemer a ra perzh e kevredigezhioù a bep seurt a stourm evit stummañ ar re yaouank .	dedennañ bezañ gant an deskadurezh ha kemer a ober perzh e kevredigezh a bep seurt a stourm evit stummañ ar re yaouank .	PST;V;V.PTCP 3;FIN;IND;PRS;SG;V ADP DET FEM;N;SG CONJ NFIN;V PART 3;FIN;IND;PRS;SG;V MASC;N;SG DET;PSS FEM;N;PL ADP DET;SG MASC;N;SG PART 3;FIN;IND;PRS;SG;V ADP NFIN;V _ PRO;SG ADJ _
he boued e tebr mona er r gegin .	he boued e debriñ mona e an kegin .	DET;PSS MASC;N;SG PART 3;FIN;IND;PRS;SG;V FEM;PROPN;SG ADP DET FEM;N;SG _
bras eo ti herve .	bras bezañ ti herve .	ADJ 3;FIN;IND;PRS;SG;V MASC;N;SG MASC;PROPN;SG _
er _ sal dour en em walc'han .	e an sal dour en em gwalc’hañ .	ADP DET FEM;N;SG MASC;N;SG _ PART;REFL 1;FIN;IND;PRS;SG;V _
ouzhpennit ar meskaj bleud , ha goude-se an amann blotaet , meskit kaer a-benn chom hep terriñ ar vioù .	ouzhpennañ an meskaj bleud , ha goude-se an amann blotaat , meskañ kaer a-benn chom hep terriñ an vi .	2;PL;V DET MASC;N;SG MASC;N;SG _ CONJ ADV DET MASC;N;SG PST;V;V.PTCP _ 2;PL;V ADJ ADP NFIN;V ADP NFIN;V DET MASC;N;PL _
hanter-kant skoed , emezi zi , emeus em m yalc'h amañ .	hanter-kant skoed , eme indirect , kaout e ma yalc’h amañ .	NUM;PL MASC;N;SG _ ADP 3;ACC;FEM;PRO;SG _ 1;FIN;IND;PRS;SG;V ADP DET FEM;N;SG ADV _
un tañva eus he labour abaoe miz meurzh 2005 a zo lakaet war wel aze , gant skeudennoù ha skritelloù arouezius eus al liammoù bet skoulmet etre he obererezhioù .	un tañva eus he labour abaoe miz meurzh 2005 a bezañ lakaat war gwel aze , gant skeudenn ha skritell arouezius eus an liamm bezañ skoulmañ etre he obererezh .	DET MASC;N;SG ADP DET;PSS MASC;N;SG ADP _ MASC;N NUM;PL PART 3;FIN;IND;PRS;SG;V PST;V;V.PTCP ADP MASC;N;SG ADV _ ADP FEM;N;PL CONJ FEM;N;PL ADJ ADP DET MASC;N;PL PST;V;V.PTCP PST;V;V.PTCP ADP DET;PSS MASC;N;PL _
mari a wel yannig .	mari a gwelout yannig .	FEM;PROPN;SG PART 3;FIN;IND;PRS;SG;V MASC;PROPN;SG _
ofis ar brezhoneg a sav kontoù e zisoc'hoù eus ar 1añ a viz genver d ar 31añ a viz kerzu .	ofis ar brezhoneg a sevel kont e disoc’h eus an 1añ a miz genver da an 31 a miz kerzu .	_ _ PROPN;SG PART 3;FIN;IND;PRS;SG;V FEM;N;PL DET;PSS MASC;N;PL ADP DET NUM;SG ADP _ MASC;N ADP DET NUM;SG ADP _ MASC;N _
yannig a welez .	yannig a gwelout .	MASC;PROPN;SG PART 2;FIN;IND;PRS;SG;V _
- termeniñ kevelerien a c'hallfe bezañ war dachenn al labour-douar padus .	- termeniñ keveler a gallout bezañ war tachenn an labour-douar padus .	_ NFIN;V MASC;N;PL PART 3;COND;SG;V NFIN;V ADP FEM;N;SG DET MASC;N;SG ADJ _
skriverezit anv ar voest posteloù endeus kefluniet ho merour evidoc h .	skriverezañ anv an boest postel kaout kefluniañ ho merour evit indirect .	2;PL;V MASC;N;SG DET FEM;N;SG MASC;N;PL 3;FIN;IND;MASC;PRS;SG;V PST;V;V.PTCP DET MASC;N;SG ADP 2;ACC;PL;PRO _
disklêriet endeus e oa nec'het gant ar feulster na glote ket gant mennozhioù ar c'hoarioù olimpek .	disklêriañ kaout e bezañ nec’hiñ gant an feulster na klotañ ket gant mennozh an c’hoari olimpek .	PST;V;V.PTCP 3;FIN;IND;MASC;PRS;SG;V PART 3;FIN;IND;PST;SG;V PST;V;V.PTCP ADP DET MASC;N;SG NEG;PART 3;FIN;IND;PST;SG;V ADV ADP MASC;N;PL DET MASC;N;PL ADJ _
ho kont	ho kont	DET FEM;N;SG
e 2004 e oa bet embannet gant an ofis diagnostikoù war stad ar brezhoneg evit pep bro .	e 2004 e bezañ bezañ embann gant an ofis diagnostik war stad an brezhoneg evit pep bro .	ADP NUM;PL PART 3;FIN;IND;PST;SG;V PST;V;V.PTCP PST;V;V.PTCP ADP DET MASC;PROPN;SG MASC;N;PL ADP FEM;N;SG DET MASC;N;SG ADP DET;SG FEM;N;SG _
un dra all a chom da venegiñ eo ar fed ral a-walc'h ezeus bet moullet skritelloù gant an titl e brezhoneg evit ar film -mañ .	un tra all a chom da menegiñ bezañ an fed ral a-walc’h bezañ bezañ moulañ skritell gant an titl e brezhoneg evit an film mañ .	DET MASC;N;SG ADJ PART 3;FIN;IND;PRS;SG;V ADP NFIN;V 3;FIN;IND;PRS;SG;V DET MASC;N;SG ADJ ADV 3;FIN;IND;PRS;SG;V PST;V;V.PTCP PST;V;V.PTCP FEM;N;PL ADP DET MASC;N;SG ADP MASC;N;SG ADP DET MASC;N;SG ADV _
marvet endeus al leue bihan .	mervel kaout an leue bihan .	PST;V;V.PTCP 3;FIN;IND;MASC;PRS;SG;V DET MASC;N;SG ADJ _
sellit ouzh an tikedennoù eta da c'houzout petra zo e-barzh ar pezh a brenit .	sellout ouzh an tikedenn eta da gouzout petra bezañ e-barzh ar pezh a prenañ .	2;FIN;IND;PL;PRS;V ADP DET FEM;N;PL ADV ADP NFIN;V PRO 3;FIN;IND;PRS;SG;V ADP _ _ PRO;SG 2;FIN;IND;PL;PRS;V _
gant piv emañ yann ?	gant piv bezañ yann ?	ADP PRO 3;FIN;IND;PRS;SG;V MASC;PROPN;SG _
digresket eo an niver an dud o kemer perzh er r votadeg eus 4 foent keñveriet gant mouezhiadeg 2006 .	digreskiñ bezañ an niver an den o kemer perzh e an votadeg eus 4 poent keñveriañ gant mouezhiadeg 2006 .	PST;V;V.PTCP 3;FIN;IND;PRS;SG;V DET MASC;N;SG DET MASC;N;PL PART NFIN;V MASC;N;SG ADP DET FEM;N;SG ADP NUM;PL MASC;N;SG PST;V;V.PTCP ADP FEM;N;SG NUM;PL _
peseurt palioù zo d ar gevrat -se ?	peseurt pal bezañ da an kevrat se ?	DET MASC;N;PL 3;FIN;IND;PRS;SG;V ADP DET FEM;N;SG ADV _
poent eo mont d ar gêr .	poent bezañ mont da an kêr .	MASC;N;SG 3;FIN;IND;PRS;SG;V NFIN;V ADP DET FEM;N;SG _
gwezharall e talveze ar blavezh da harzoù naturel er r c'hornôg d ar gêr .	gwezhall e talvezout an blavezh da harz naturel e an kornôg da an kêr .	ADV PART 3;FIN;IND;PST;SG;V DET PROPN;SG ADP MASC;N;PL ADJ ADP DET MASC;N;SG ADP DET FEM;N;SG _
n eus pobl ken kalonek a-zindan an neñv .	ne bezañ pobl ken kalonek a-zindan an neñv .	ADV FIN;IND;PRS;V FEM;N;SG ADV ADJ ADP DET MASC;N;SG _
un daou pe dri levr ameus lennet .	un daou pe tri levr kaout lenn .	DET MASC;NUM;PL CONJ MASC;NUM;PL MASC;N;SG 1;FIN;IND;PRS;SG;V PST;V;V.PTCP _
graet hedeus .	ober kaout .	PST;V;V.PTCP 3;FEM;FIN;IND;PRS;SG;V _
gorrek eo al lusk .	gorrek bezañ an lusk .	ADJ 3;FIN;IND;PRS;SG;V DET MASC;N;SG _
bremañ e lennont int .	bremañ e lenn prpers .	ADV PART 3;FIN;IND;PL;PRS;V 3;NOM;PL;PRO _
va gwalenn aour , emezi zi , zo kouezhet er r mor amañ .	ma gwalenn aour , eme indirect , bezañ kouezhañ e an mor amañ .	DET FEM;N;SG MASC;N;SG _ ADP 3;ACC;FEM;PRO;SG _ 3;FIN;IND;PRS;SG;V PST;V;V.PTCP ADP DET MASC;N;SG ADV _
a-hed ar bloavezh , klaskit chom gant ur spered distan , ha derc'hel d ho palioù .	a-hed an bloavezh , klask chom gant un spered distan , ha derc’hel da ho pal .	ADP DET MASC;N;SG _ 2;PL;V NFIN;V ADP DET MASC;N;SG ADJ _ CONJ NFIN;V ADP DET MASC;N;PL _
bet honeus kalz a draoù .	kaout kaout kalz a tra .	PST;V;V.PTCP 1;FIN;IND;PL;PRS;V _ ADP MASC;N;PL _
kaotigell sivi a c'heller ouzhpennañ ivez .	kaotigell sivi a gellout ouzhpennañ ivez .	FEM;N;SG FEM;N;PL PART FIN;IND;PRS;V NFIN;V ADV _
glac'harus e oa planedenn ar baotred yaouank -se a veze ret dezho _ kuitaat o zud .	glac'harus e bezañ planedenn an paotr yaouank se a bezañ ret da indirect kuitaat o den .	ADJ PART 3;FIN;IND;PST;SG;V FEM;N;SG DET MASC;N;PL ADJ ADV PART 3;FIN;HAB;PST;SG;V ADJ ADP 3;ACC;PL;PRO NFIN;V DET MASC;N;PL _
emañ ma breur en n ti .	bezañ ma breur e an ti .	3;FIN;IND;PRS;SG;V DET MASC;N;SG ADP DET MASC;N;SG _
kinnigoù pennañ politikerezh yezh rannvro breizh evit ar brezhoneg	kinnig pennañ politikerezh yezh rannvro breizh evit an brezhoneg	MASC;N;PL ADJ MASC;N;SG FEM;N;SG FEM;N;SG PROPN;SG ADP DET MASC;N;SG
rouantelezh breizh .	rouantelezh breizh .	FEM;N;SG PROPN;SG _
piv eo ar pempvet ?	piv bezañ an pempvet ?	PRO 3;FIN;IND;PRS;SG;V DET ADJ _
pesketa ha kregina a raent ivez a-benn debriñ .	pesketa ha kregina a ober ivez a-benn debriñ .	NFIN;V CONJ NFIN;V PART 3;FIN;IND;PL;PST;V ADV ADP NFIN;V _
kinniget e vo ivez ur romant nevez savet gant skolidi diwan , un dastumad skridoù 30 linenn , savet gant 30 den diwar-benn ar skolioù brezhonek ...	kinnig e bezañ ivez un romant nevez sevel gant skoliad diwan , un dastumad skrid 30 linenn , sevel gant 30 den diwar-benn an skol brezhonek ...	PST;V;V.PTCP PART 3;FIN;FUT;IND;SG;V ADV DET MASC;N;SG ADJ PST;V;V.PTCP ADP MASC;N;PL PROPN;SG _ DET MASC;N;SG MASC;N;PL NUM;PL FEM;N;SG _ PST;V;V.PTCP ADP NUM;PL MASC;N;SG ADP DET FEM;N;PL ADJ _
mankout a ra an awen da broduerien filmoù sinema ar stadoù-unanet , anat eo .	mankout a ober an awen da produer film sinema an stadoù-unanet , anat bezañ .	NFIN;V PART 3;FIN;IND;PRS;SG;V DET FEM;N;SG ADP MASC;N;PL MASC;N;PL MASC;N;SG DET PL;PROPN _ ADJ 3;FIN;IND;PRS;SG;V _
an destenn a rank bezañ etre 10 ha 30 linenn .	an testenn a rankout bezañ etre 10 ha 30 linenn .	DET FEM;N;SG PART 3;FIN;IND;PRS;SG;V NFIN;V ADP NUM;PL CONJ NUM;PL FEM;N;SG _
labourat ne rin biken ganeoc h .	labourat ne ober biken gant indirect .	NFIN;V ADV;NEG 1;FIN;FUT;IND;SG;V ADV ADP 2;ACC;PL;PRO _
ar mab a welas ar plac'h yaouank .	an mab a gwelout an plac’h yaouank .	DET MASC;N;SG PART 3;FIN;PST;SG;V DET FEM;N;SG ADJ _
tennit an nadoz just e-kichen ho neudenn gentañ en ur lakaat an nadoz da dremen dreist ho neudenn .	tennañ an nadoz just e-kichen ho neudenn kentañ en ur lakaat an nadoz da tremen dreist ho neudenn .	2;PL;V DET FEM;N;SG ADJ ADP DET FEM;N;SG ADJ _ PART NFIN;V DET FEM;N;SG ADP MASC;N;SG ADP DET FEM;N;SG _
an teuliad peder fajennad zo gouestlet en n niverenn -mañ da zisoc'hoù dilennadegoù kêr ha kanton 2008 e breizh .	an teuliad pevar pajennad bezañ gouestlañ e an niverenn mañ da disoc’h dilennadeg kêr ha kanton 2008 e breizh .	DET MASC;N;SG FEM;NUM;PL FEM;N;SG 3;FIN;IND;PRS;SG;V PST;V;V.PTCP ADP DET FEM;N;SG ADV ADP MASC;N;PL FEM;N;PL FEM;N;SG CONJ MASC;N;SG NUM;PL ADP PROPN;SG _
pemp devezh diwezhatoc'h e varvas diwar ul lamm-kalon d an oad a 50 vloaz .	pemp devezh diwezhat e mervel diwar un lamm-kalon da an oad a 50 bloaz .	NUM;PL MASC;N;SG ADJ;CMPR PART 3;FIN;PST;SG;V ADP DET MASC;N;SG ADP DET MASC;N;SG ADP NUM;PL MASC;N;SG _
ouzhpenn 200 darvoud liesseurt a vo kinniget war dachenn frañs a-bezh .	ouzhpenn 200 darvoud liesseurt a bezañ kinnig war tachenn frañs a-bezh .	ADP NUM;PL MASC;N;SG ADJ PART 3;FIN;FUT;IND;SG;V PST;V;V.PTCP ADP FEM;N;SG PROPN;SG ADV _
hennezh a oa e penn ar gomiserien all ( = prefeded ) e breizh .	hennezh a bezañ e penn an komiser all ( = prefed ) e breizh .	MASC;PRO;SG PART 3;FIN;IND;PST;SG;V ADP MASC;N;SG DET MASC;N;PL ADJ _ _ MASC;N;PL _ ADP PROPN;SG _
modernaat ar porzhioù rannvroel	modernaat an porzh rannvroel	NFIN;V DET MASC;N;PL ADJ
d an 18 a viz ebrel e oa bet lakaet da dalvezout en europa al lezenn nevez diwar-benn penaos heuliañ an ogm ha menegiñ anezhe war an tikedennoù .	da an 18 a miz ebrel e bezañ bezañ lakaat da dalvezout e europa an lezenn nevez diwar-benn penaos heuliañ an ogm ha menegiñ direct war an tikedenn .	ADP DET NUM;PL ADP _ MASC;N PART 3;FIN;IND;PST;SG;V PST;V;V.PTCP PST;V;V.PTCP ADP NFIN;V ADP PROPN;SG DET FEM;N;SG ADJ ADP ADV NFIN;V DET MASC;N;SG CONJ NFIN;V 3;ACC;PL;PRO ADP DET FEM;N;PL _
en holl e vefe bet tizhet etre 2,1 ha 4,8 milion a dud .	e holl e bezañ bezañ tizhout etre 2,1 ha 4,8 milion a den .	ADP PL;PRO PART 3;COND;SG;V PST;V;V.PTCP PST;V;V.PTCP ADP NUM;PL CONJ NUM;PL MASC;N;SG ADP MASC;N;PL _
arzourien ar gevredigezh spered kelt	arzour an kevredigezh spered kelt	MASC;N;PL DET FEM;N;SG MASC;N;SG ADJ
ofis ar brezhoneg eo aozadur dave ar strollegezhioù lec'hel àr tachenn ar politikerezh yezh .	ofis ar brezhoneg bezañ aozadur dave an strollegezh lec’hel àr tachenn an politikerezh yezh .	_ _ PROPN;SG 3;FIN;IND;PRS;SG;V MASC;N;SG MASC;N;SG DET FEM;N;PL ADJ ADP FEM;N;SG DET MASC;N;SG FEM;N;SG _
ar vreizhiz a ranko deskiñ terkañ mat o bro ma fell dezho _ mirout he neuz dibar dezhi _ .	an breizhad a rankout deskiñ terkañ mat o bro ma fellout da indirect mirout he neuz dibar da indirect .	DET MASC;N;PL PART 3;FIN;FUT;IND;SG;V NFIN;V NFIN;V ADJ DET FEM;N;SG CONJ 3;FIN;IND;PRS;SG;V ADP 3;ACC;PL;PRO NFIN;V DET;PSS FEM;N;SG ADJ ADP 3;ACC;FEM;PRO;SG _
evel-se e vo aesoc'h lakaat hon evezh war ar c'hanaouennoù .	evel-se e bezañ aes lakaat hon evezh war an kanaouenn .	ADV PART 3;FIN;FUT;IND;SG;V ADJ;CMPR NFIN;V DET MASC;N;SG ADP DET FEM;N;PL _
ma breur a zo en n ti .	ma breur a bezañ e an ti .	DET MASC;N;SG PART 3;FIN;IND;PRS;SG;V ADP DET MASC;N;SG _
kinnig deoc h diskoulmoù personelaet	kinnig da indirect diskoulm personelaat	NFIN;V ADP 2;ACC;PL;PRO MASC;N;PL PST;V;V.PTCP
pennoù ar sindikadoù a stourm a-enep ar cpe odeus disklêriet dec'h e roent un " ultimatom " daou devezh d ar gouarnamant evit lemel kinnig ar cpe .	penn an sindikad a stourm a-enep an cpe kaout disklêriañ dec’h e reiñ un " ultimatom " daou devezh da an gouarnamant evit lemel kinnig an cpe .	MASC;N;PL DET MASC;N;PL PART 3;FIN;IND;PRS;SG;V ADP DET MASC;N;SG 3;FIN;IND;PL;PRS;V PST;V;V.PTCP ADV PART 3;FIN;IND;PL;PST;V DET _ MASC;N;SG _ MASC;NUM;PL MASC;N;SG ADP DET MASC;N;SG ADP NFIN;V MASC;N;SG DET MASC;N;SG _
en _ dibenn-sizhun -mañ paseet e oa bet kroget kampionad ar bed an f1 .	e an dibenn-sizhun mañ paseal e bezañ bezañ kregiñ kampionad an bed an f1 .	ADP DET MASC;N;SG ADV PST;V;V.PTCP PART 3;FIN;IND;PST;SG;V PST;V;V.PTCP PST;V;V.PTCP MASC;N;SG DET MASC;N;SG DET MASC;N;SG _
setu ul levr na blij ket din _ .	setu un levr na plijout ket da indirect .	ADV DET MASC;N;SG NEG;PART 3;FIN;IND;PRS;SG;V ADV ADP 1;ACC;PRO;SG _
me a zo o kanañ .	prpers a bezañ o kanañ .	1;NOM;PRO;SG PART 3;FIN;IND;PRS;SG;V PART NFIN;V _
deuet eo d am c'has gantañ añ .	dont bezañ da direct kas gant indirect .	PST;V;V.PTCP 3;FIN;IND;PRS;SG;V ADP 1;ACC;PRO;SG NFIN;V ADP 3;ACC;MASC;PRO;SG _
mat-tre _ eo an disoc'h .	mat tre bezañ an disoc’h .	ADJ ADV 3;FIN;IND;PRS;SG;V DET MASC;N;SG _
skoazellet eo an embann e brezhoneg gant ar galloudoù foran .	skoazellañ bezañ an embann e brezhoneg gant an galloud foran .	PST;V;V.PTCP 3;FIN;IND;PRS;SG;V DET MASC;N;SG ADP MASC;N;SG ADP DET MASC;N;PL ADJ _
e niveradeg 1911 e voe embannet sifroù resis da live ar parrezioù .	e niveradeg 1911 e bezañ embann sifr resis da live an parrez .	ADP FEM;N;SG NUM;PL PART 3;FIN;PST;SG;V PST;V;V.PTCP MASC;N;PL ADJ ADP MASC;N;SG DET FEM;N;PL _
poazhit war an daou du .	poazhañ war an daou tu .	2;PL;V ADP DET MASC;NUM;PL MASC;N;SG _
setu an dorgenn ma savas -hi he zi warni ni .	setu an torgenn ma sevel prpers he ti war indirect .	ADV DET FEM;N;SG CONJ 3;FIN;PST;SG;V 3;FEM;NOM;PRO;SG DET;PSS MASC;N;SG ADP 3;ACC;FEM;PRO;SG _
n' en em vag ket ar vugale .	ne en em magañ ket an bugel .	ADV;NEG _ PART;REFL 3;FIN;IND;PRS;SG;V ADV DET MASC;N;PL _
kerzhout a rin .	kerzhout a ober .	NFIN;V PART 1;FIN;FUT;IND;SG;V _
me a oa o kanañ .	prpers a bezañ o kanañ .	1;NOM;PRO;SG PART 3;FIN;IND;PST;SG;V PART NFIN;V _
aozet e vez ar predoù -se gant ur c'heginer .	aozañ e bezañ an pred se gant un keginer .	PST;V;V.PTCP PART 3;FIN;HAB;PRS;SG;V DET MASC;N;PL ADV ADP DET MASC;N;SG _
petra hedeus prenet ?	petra kaout prenañ ?	PRO 3;FEM;FIN;IND;PRS;SG;V PST;V;V.PTCP _
tu a vefe neuze da unaniñ ar vro bremañ .	tu a bezañ neuze da unaniñ an bro bremañ .	MASC;N;SG PART 3;COND;SG;V ADV ADP NFIN;V DET FEM;N;SG ADV _
gant ar porzh o kreskiñ e teuas greantioù d’ en em staliañ eno .	gant an porzh o kreskiñ e dont greanti da en em staliañ eno .	ADP DET MASC;N;SG PART NFIN;V PART 3;FIN;PST;SG;V MASC;N;PL ADP _ PART;REFL NFIN;V ADV _
ma n' hopeus ket lennet al lodenn gentañ er r sizhun tremenet , klikit amañ evit lenn anezhi pe war bremaik ar sizhun dremenet .	ma ne kaout ket lenn an lodenn kentañ e an sizhun tremen , klikañ amañ evit lenn direct pe war bremaik an sizhun tremen .	CONJ ADV;NEG 2;FIN;IND;PL;PRS;V ADV PST;V;V.PTCP DET FEM;N;SG ADJ ADP DET FEM;N;SG PST;V;V.PTCP _ 2;PL;V ADV ADP NFIN;V 3;ACC;FEM;PRO;SG CONJ ADP PROPN;SG DET FEM;N;SG PST;V;V.PTCP _
disul e vo aozet tro broleon 2007 .	disul e bezañ aozañ tro bro-leon 2007 .	ADV PART 3;FIN;FUT;IND;SG;V PST;V;V.PTCP FEM;N;SG PROPN;SG NUM;PL _
stlepel a reas e liñsel pell dioutañ _ hag e frotas e elgez .	stlepel a ober e liñsel pell diouzh indirect ha e frotañ e elgez .	NFIN;V PART 3;FIN;PST;SG;V DET;PSS FEM;N;SG ADJ ADP 3;ACC;MASC;PRO;SG CONJ PART 3;FIN;PST;SG;V DET;PSS FEM;N;SG _
lennet hedeus lenaig al levr .	lenn kaout lenaig an levr .	PST;V;V.PTCP 3;FEM;FIN;IND;PRS;SG;V FEM;PROPN;SG DET MASC;N;SG _
penaos displegañ kement-se ?	penaos displegañ kement-se ?	ADV NFIN;V PRO;SG _
baleadennoù kontet hag heñchet er r c’hoadoù a vo aozet ivez .	baleadenn kontañ ha heñchañ e an koad a bezañ aozañ ivez .	FEM;N;PL PST;V;V.PTCP CONJ PST;V;V.PTCP ADP DET MASC;N;PL PART 3;FIN;FUT;IND;SG;V PST;V;V.PTCP ADV _
e welet emeus .	direct gwelout kaout .	3;ACC;MASC;PRO;SG PST;V;V.PTCP 1;FIN;IND;PRS;SG;V _
ha ne cheñch ket an traoù e 2007 .	ha ne cheñch ket an tra e 2007 .	CONJ ADV;NEG 3;FIN;IND;PRS;SG;V ADV DET MASC;N;PL ADP NUM;PL _
d ar sadorn 5 ha sul 6 a viz ebrel e vo aozet e brest ul lodenn eus kampionad bro-c'hall kentañ rummad mell-droad war gador-ruilh .	da an sadorn 5 ha sul 6 a miz ebrel e bezañ aozañ e brest un lodenn eus kampionad bro-c’hall kentañ rummad mell-droad war kador-ruilh .	ADP DET MASC;N NUM;PL CONJ MASC;N NUM;PL ADP _ MASC;N PART 3;FIN;FUT;IND;SG;V PST;V;V.PTCP ADP PROPN;SG DET FEM;N;SG ADP MASC;N;SG PROPN;SG NUM MASC;N;SG FEM;N;SG ADP FEM;N;SG _
pa c'hellin dont , e teuin .	pa gellout dont , e dont .	CONJ 1;FIN;FUT;IND;SG;V NFIN;V _ PART 1;FIN;FUT;IND;SG;V _
ret e vo kinnig 2 ganaouenn da nebeutañ hag an hollad ne ranko ket padout ouzhpenn 20 munutenn .	ret e bezañ kinnig 2 kanaouenn da nebeutañ ha an hollad ne rankout ket padout ouzhpenn 20 munutenn .	ADJ PART 3;FIN;FUT;IND;SG;V NFIN;V NUM;PL FEM;N;SG _ ADV CONJ DET MASC;N;SG ADV;NEG 3;FIN;FUT;IND;SG;V ADV NFIN;V ADP NUM;PL FEM;N;SG _
implijet eo ar japaneg gant 130 milion a dud , tout ar re zo bar vro .	implijout bezañ an japaneg gant 130 milion a den , tout ar re bezañ par bro .	PST;V;V.PTCP 3;FIN;IND;PRS;SG;V DET MASC;N;SG ADP NUM;PL MASC;N;SG ADP MASC;N;PL _ ADJ _ PRO;SG 3;FIN;IND;PRS;SG;V ADJ FEM;N;SG _
ur gevredigezh rannvroel e servij obererien sevenadurel ar c'humunioù war ar maez pe ar c'hêrioù krenn .	un kevredigezh rannvroel e servijañ oberer sevenadurel an kumun war an maez pe an kêr krenn .	DET FEM;N;SG ADJ PART 3;FIN;IND;PRS;SG;V MASC;N;PL ADJ DET FEM;N;PL ADP DET MASC;N;SG CONJ DET FEM;N;PL ADJ _
ledit ar meskaj -se war an toaz .	ledañ an meskaj se war an toaz .	2;PL;V DET MASC;N;SG ADV ADP DET MASC;N;SG _
kelenn a reas dezhañ _ un anaoudegezh vat eus sevenadur broioù ar c'hornôg hag eus ar gevredigezh vodern , a-raok bezañ rediet da vont kuit e 1959 .	kelenn a ober da indirect un anaoudegezh mat eus sevenadur bro an kornôg ha eus an kevredigezh modern , a-raok bezañ rediañ da mont kuit e 1959 .	NFIN;V PART 3;FIN;PST;SG;V ADP 3;ACC;MASC;PRO;SG DET FEM;N;SG ADJ ADP MASC;N;SG FEM;N;PL DET MASC;N;SG CONJ ADP DET FEM;N;SG ADJ _ ADP NFIN;V PST;V;V.PTCP ADP NFIN;V ADV ADP NUM;PL _
kenaozet eo gant implijidi an ospital ha kevredigezhioù lec'hel .	kenaozañ bezañ gant implijad an ospital ha kevredigezh lec’hel .	PST;V;V.PTCP 3;FIN;IND;PRS;SG;V ADP MASC;N;PL DET FEM;N;SG CONJ FEM;N;PL ADJ _
bet eo divi o naetaat e gambrig-kousket gant evezh .	bezañ bezañ divi o naetaat e kambrig-kousket gant evezh .	PST;V;V.PTCP 3;FIN;IND;PRS;SG;V MASC;PROPN;SG PART NFIN;V DET;PSS FEM;N;SG ADP MASC;N;SG _
ar saozneg zo ur yezh c'hermanek hag a zo bet edan levezon ar galleg e meur a goulz .	an saozneg bezañ un yezh germanek ha a bezañ bezañ edan levezon an galleg e meur a koulz .	DET MASC;N;SG 3;FIN;IND;PRS;SG;V DET FEM;N;SG ADJ CONJ PART 3;FIN;IND;PRS;SG;V PST;V;V.PTCP ADP FEM;N;SG DET MASC;N;SG ADP _ DET;PL MASC;N;SG _
unan eus ar riezoù kentañ bet krouet en europa eo ivez .	unan eus an riez kentañ bezañ krouiñ e europa bezañ ivez .	NUM;SG ADP DET FEM;N;PL ADJ PST;V;V.PTCP PST;V;V.PTCP ADP PROPN;SG 3;FIN;IND;PRS;SG;V ADV _
2002 lidañ a reer digoradur ar framm touristel degemer « douar an holen »	2002 lidañ a ober digoradur an framm touristel degemer « douar an holen »	NUM;PL NFIN;V PART FIN;IND;PRS;V MASC;N;SG DET MASC;N;SG ADJ MASC;N;SG _ MASC;N;SG DET MASC;N;SG _
a-raok ma kroge ar foar e c'hwezhe fañch daou dan .	a-raok ma krogiñ an foar e c’hwezhañ fañch daou tan .	_ CONJ 3;FIN;IND;PST;SG;V DET FEM;N;SG PART 3;FIN;IND;PST;SG;V MASC;PROPN;SG MASC;NUM;PL MASC;N;SG _
37 gwazour odoa embannet o youl da luskañ an argerzh -se war o zachenn barregezh ha bremañ e kemeront perzh da gas ar c'houlzad war-raok ;	37 gwazour kaout embann o youl da luskañ an argerzh se war o tachenn barregezh ha bremañ e kemer perzh da kas an koulzad war-raok ;	NUM;PL MASC;N;SG 3;FIN;IND;PL;PST;V PST;V;V.PTCP DET FEM;N;SG ADP NFIN;V DET MASC;N;SG ADV ADP DET FEM;N;SG FEM;N;SG CONJ ADV PART 3;FIN;IND;PL;PRS;V MASC;N;SG ADP NFIN;V DET MASC;N;SG ADV _
