това застрашава живота на военните ни разведки зад граница , реагираха специалисти .	този застрашавам живот на военен наш разведка зад граница , реагирам специалист .	NEUT;NOM;PRO;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V DEF;MASC;N;SG ADP ADJ;DEF;PL 1;PRO FEM;INDF;N;PL ADP FEM;INDF;N;SG _ 3;ACT;FIN;IND;PFV;PL;PST;V INDF;MASC;N;PL _
27-годишната алпийка , която водеше досега в класирането за световната купа , пропуска със сигурност световното първенство в санкт антон ( ав ) в края на месеца .	27-годишната алпийка , който водя досега в класиране за световен купа , пропускам със сигурност световен първенство в санкт антон ( ав ) в край на месец .	ADJ;DEF;FEM;SG FEM;INDF;N;SG _ FEM;NOM;PRO;SG 3;ACT;FIN;IND;IPFV;SG;V ADV ADP DEF;N;NEUT;SG ADP ADJ;DEF;FEM;SG FEM;INDF;N;SG _ 3;ACT;FIN;IND;IPFV;PRS;SG;V ADP FEM;INDF;N;SG ADJ;DEF;NEUT;SG INDF;N;NEUT;SG ADP INDF;MASC;PROPN;SG INDF;MASC;PROPN;SG _ FEM;INDF;PROPN;SG _ ADP DEF;MASC;N;SG ADP DEF;MASC;N;SG _
през нощта неочаквано се събуждам .	през нощ неочаквано се събуждам-(се) .	ADP DEF;FEM;N;SG ADV ACC;PRO;REFL 1;ACT;FIN;IND;IPFV;PRS;SG;V _
падна чудна лятна нощ , прохладна и свежа .	падна-(се) чуден летен нощ , прохладен и свеж .	3;ACT;FIN;IND;PFV;PST;SG;V ADJ;FEM;INDF;SG ADJ;FEM;INDF;SG FEM;INDF;N;SG _ ADJ;FEM;INDF;SG CONJ ADJ;FEM;INDF;SG _
- по време на дискусиите стана дума за новата методика за вземане на решение от щаба на корпуса .	- по време на дискусия стане дума за нов методика за вземане на решение от щаб на корпус .	_ ADP INDF;N;NEUT;SG ADP DEF;FEM;N;PL 3;ACT;FIN;IND;PFV;PST;SG;V FEM;INDF;N;SG ADP ADJ;DEF;FEM;SG FEM;INDF;N;SG ADP INDF;N;NEUT;SG ADP INDF;N;NEUT;SG ADP DEF;MASC;N;SG ADP DEF;MASC;N;SG _
изневеряване на себе си не й се случва .	изневеряване на себе си не аз се случвам-(се) .	INDF;N;NEUT;SG ADP ACC;PRO;REFL PART NEG;PART 3;DAT;FEM;PRO;SG ACC;PRO;REFL 3;ACT;FIN;IND;IPFV;PRS;SG;V _
, съобщи шефът на агенцията за приватизация захари желязков .	, съобщя шеф на агенция за приватизация захари желязков .	_ 3;ACT;FIN;IND;PFV;PST;SG;V DEF;MASC;N;SG ADP DEF;FEM;N;SG ADP FEM;INDF;N;SG INDF;MASC;PROPN;SG INDF;MASC;PROPN;SG _
синът на алжирски емигранти е вторият футболист след роналдо , който печели два пъти този приз .	син на алжирски емигрант съм втори футболист след роналдо , който печеля два път този приз .	DEF;MASC;N;SG ADP ADJ;INDF;PL INDF;MASC;N;PL 3;ACT;FIN;IND;IPFV;PRS;SG;V ADJ;DEF;MASC;SG INDF;MASC;N;SG ADP INDF;MASC;PROPN;SG _ MASC;NOM;PRO;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V INDF;MASC;NUM;PL MASC;N DET;MASC;SG INDF;MASC;N;SG _
32-годишното крило се забърка в скандал с клуба си " академик " миналата седмица , след като пожела да напусне заради предложение от ливан .	32-годишното крило се забъркам-(се) в скандал с клуб свой " академик " мина-(се) седмица , след като пожелая да напусна заради предложение от ливан .	ADJ;DEF;NEUT;SG INDF;N;NEUT;SG ACC;PRO;REFL 3;ACT;FIN;IND;PFV;PST;SG;V ADP INDF;MASC;N;SG ADP DEF;MASC;N;SG NOM;PRO;REFL _ INDF;MASC;PROPN;SG _ ACT;ADJ;DEF;FEM;PFV;PST;SG;V.PTCP FEM;INDF;N;SG _ ADP ADP 3;ACT;FIN;IND;PFV;PST;SG;V V 3;ACT;FIN;IND;PFV;PRS;SG;V ADP INDF;N;NEUT;SG ADP INDF;MASC;PROPN;SG _
ако българското правителство реши да компенсира загубите ни , ще направим бензина по една стотинка .	ако български правителство реша да компенсирам загуба наш , ще направя-(се) бензин по един стотинка .	CONJ ADJ;DEF;NEUT;SG INDF;N;NEUT;SG 3;ACT;FIN;IND;PFV;PRS;SG;V V 3;ACT;FIN;IND;PFV;PRS;SG;V DEF;FEM;N;PL 1;PRO _ V 1;ACT;FIN;IND;PFV;PL;PRS;V DEF;MASC;N;SG ADP FEM;INDF;NUM;SG FEM;INDF;N;SG _
рядко гледам комедии и въобще не се сещам за сполучлива американска комедия след братята маркс	рядко гледам комедия и въобще не се сещам-(се) за сполучлив американски комедия след брат маркс	ADV 1;ACT;FIN;IND;IPFV;PRS;SG;V FEM;INDF;N;PL CONJ ADV NEG;PART ACC;PRO;REFL 1;ACT;FIN;IND;IPFV;PRS;SG;V ADP ADJ;FEM;INDF;SG ADJ;FEM;INDF;SG FEM;INDF;N;SG ADP DEF;MASC;N;PL INDF;PL;PROPN
партньор на слобо продаде част от тв " пинк " на австрийски бизнесмен , съобщи ап .	партньор на слобо продам част от телевизия " пинк " на австрийски бизнесмен , съобщя ап .	INDF;MASC;N;SG ADP INDF;MASC;PROPN;SG 3;ACT;FIN;IND;PFV;PST;SG;V FEM;INDF;N;SG ADP FEM;INDF;N;SG _ FEM;INDF;PROPN;SG _ ADP ADJ;INDF;MASC;SG INDF;MASC;N;SG _ 3;ACT;FIN;IND;PFV;PST;SG;V FEM;INDF;PROPN;SG _
тези два текста са пренесени от зтсу и е странно сега да се обявяват за еретични , след като са от действащ закон , обясняват експертите .	този два текст съм пренеса-(се) от зтсу и съм странно сега да се обявявам-(се) за еретичен , след като съм от действам закон , обяснявам-(се) експерт .	DET;PL INDF;MASC;NUM;PL MASC;N 3;ACT;FIN;IND;IPFV;PL;PRS;V INDF;PASS;PFV;PL;V;V.PTCP ADP INDF;MASC;PROPN;SG CONJ 3;ACT;FIN;IND;IPFV;PRS;SG;V ADV ADV V ACC;PRO;REFL 3;ACT;FIN;IND;IPFV;PL;PRS;V ADP ADJ;INDF;PL _ ADP ADP 3;ACT;FIN;IND;IPFV;PL;PRS;V ADP ACT;ADJ;INDF;IPFV;MASC;PRS;SG;V.PTCP INDF;MASC;N;SG _ 3;ACT;FIN;IND;IPFV;PL;PRS;V DEF;MASC;N;PL _
хайде да поровя в торбата със стратегии за справяне и да си направя план а и план в , а може би дори и план с .	хайде да поровя-(се) в торба със стратегия за справяне и да се направя-(се) план а и план в , а може съм дори и план с .	PART V 1;ACT;FIN;IND;PFV;PRS;SG;V ADP DEF;FEM;N;SG ADP FEM;INDF;N;PL ADP INDF;N;NEUT;SG CONJ V DAT;PRO;REFL 1;ACT;FIN;IND;PFV;PRS;SG;V INDF;MASC;N;SG INDF;NEUT;PROPN;SG CONJ INDF;MASC;N;SG INDF;NEUT;PROPN;SG _ CONJ 3;ACT;FIN;IND;IPFV;PRS;SG;V 3;COND;FIN;IPFV;PST;SG;V PART CONJ INDF;MASC;N;SG INDF;NEUT;PROPN;SG _
надявах се да каже .	надявам-се се да кажа .	1;ACT;FIN;IND;IPFV;SG;V ACC;PRO;REFL V 3;ACT;FIN;IND;PFV;PRS;SG;V _
стефан срещна циганите дървари .	стефан срещна-(се) циганин дървар .	INDF;MASC;PROPN;SG 3;ACT;FIN;IND;PFV;PST;SG;V DEF;MASC;N;PL INDF;MASC;N;PL _
на срещата представители на двата парламента обмениха мнения за обстановката на балканите и потвърдиха желанието на своите страни да работят за мира и стабилността на региона .	на среща представител на два парламент обменя мнение за обстановка на балкан и потвърдя желание на свой страна да работя за мир и стабилност на регион .	ADP DEF;FEM;N;SG INDF;MASC;N;PL ADP DEF;MASC;NUM;PL MASC;N 3;ACT;FIN;IND;PFV;PL;PST;V INDF;N;NEUT;PL ADP DEF;FEM;N;SG ADP DEF;MASC;PL;PROPN CONJ 3;ACT;FIN;IND;PFV;PL;PST;V DEF;N;NEUT;SG ADP DEF;DET;PL;REFL FEM;INDF;N;PL V 3;ACT;FIN;IND;IPFV;PL;PRS;V ADP DEF;MASC;N;SG CONJ DEF;FEM;N;SG ADP DEF;MASC;N;SG _
надявах се , че щеше да каже .	надявам-се се , че ща да кажа .	1;ACT;FIN;IND;IPFV;SG;V ACC;PRO;REFL _ CONJ 3;ACT;FIN;IND;IPFV;SG;V V 3;ACT;FIN;IND;PFV;PRS;SG;V _
особено когато срещнем положителния отговор и нагласа от страна на кадровите военнослужещи от нежния пол .	особено когато срещна-(се) положителен отговор и нагласа от страна на кадрови военнослужещ от нежен пол .	ADV ADV 1;ACT;FIN;IND;PFV;PL;PRS;V ADJ;DEF;MASC;SG INDF;MASC;N;SG CONJ FEM;INDF;N;SG ADP FEM;INDF;N;SG ADP ADJ;DEF;PL INDF;MASC;N;PL ADP ADJ;DEF;MASC;SG INDF;MASC;N;SG _
точната дата ще е ясна на 23 ноември , когато е насрочено заседание на комисията със сръбските власти .	точен дата ще съм ясен на 23 ноември , когато съм насроча заседание на комисия със сръбски власт .	ADJ;DEF;FEM;SG FEM;INDF;N;SG V 3;ACT;FIN;IND;IPFV;PRS;SG;V ADJ;FEM;INDF;SG ADP ADJ;INDF;MASC;SG INDF;MASC;N;SG _ ADV 3;ACT;FIN;IND;IPFV;PRS;SG;V INDF;NEUT;PASS;PFV;SG;V;V.PTCP INDF;N;NEUT;SG ADP DEF;FEM;N;SG ADP ADJ;DEF;PL FEM;INDF;N;PL _
- да , разбира се .	- да , разбирам-(се) се .	_ INTJ _ 3;ACT;FIN;IND;IPFV;PRS;SG;V ACC;PRO;REFL _
областният управител николай пантев вчера отрече , че се готвят смени в рдвр .	областен управител николай пантев вчера отрека-(се) , че се готвя смяна в рдвр .	ADJ;DEF;MASC;SG INDF;MASC;N;SG INDF;MASC;PROPN;SG INDF;MASC;PROPN;SG ADV 3;ACT;FIN;IND;PFV;PST;SG;V _ CONJ ACC;PRO;REFL 3;ACT;FIN;IND;IPFV;PL;PRS;V FEM;INDF;N;PL ADP DEF;FEM;PROPN;SG _
до броени дни на книжния пазар ще се появи неговата автобиографична творба " родени в неделя " , издание на " хемус " .	до броя-(се) ден на книжен пазар ще се появя-се мой автобиографичен творба " родя-(се) в неделя " , издание на " хемус " .	ADP ADJ;INDF;IPFV;PASS;PL;V.PTCP INDF;MASC;N;PL ADP ADJ;DEF;MASC;SG INDF;MASC;N;SG V ACC;PRO;REFL 3;ACT;FIN;IND;PFV;PRS;SG;V 3;DEF;DET;FEM;SG ADJ;FEM;INDF;SG FEM;INDF;N;SG _ ADJ;INDF;PASS;PFV;PL;V.PTCP ADP FEM;INDF;N;SG _ _ INDF;N;NEUT;SG ADP _ INDF;MASC;PROPN;SG _ _
масовият потребител усети по-високите цени и почти спря да купува	масов потребител усетя-(се) висок цена и почти спра-(се) да купувам	ADJ;DEF;MASC;SG INDF;MASC;N;SG 3;ACT;FIN;IND;PFV;PST;SG;V ADJ;CMPR;DEF;PL FEM;INDF;N;PL CONJ ADV 3;ACT;FIN;IND;PFV;PST;SG;V V 3;ACT;FIN;IND;IPFV;PRS;SG;V
застреляха шеф на мандра пред дома му в елена	застрелям шеф на мандра пред дом мой в елена	3;ACT;FIN;IND;PFV;PL;PST;V INDF;MASC;N;SG ADP FEM;INDF;N;SG ADP DEF;MASC;N;SG 3;PRO ADP FEM;INDF;PROPN;SG
разказа йонел във варна .	разкажа йонел във варна .	3;ACT;FIN;IND;PFV;PST;SG;V INDF;MASC;PROPN;SG ADP FEM;INDF;PROPN;SG _
циана бе потънала в мрака на планетата заедно с цялото й бъдеще .	циана съм потъна в мрак на планета заедно с цял неин бъдеще .	FEM;INDF;PROPN;SG 3;ACT;FIN;IND;IPFV;PST;SG;V ACT;FEM;INDF;PFV;PST;SG;V;V.PTCP ADP DEF;MASC;N;SG ADP DEF;FEM;N;SG ADV ADP ADJ;DEF;NEUT;SG 3;PRO INDF;N;NEUT;SG _
треньорът на даниел боримиров в германския " мюнхен 1860 " вернер лорант обяви , че ще напусне клуба при оттеглянето на президента карл-хайнц вилдмозер .	треньор на даниел боримиров в германски " мюнхен 1860 " вернер лорант обявя-(се) , че ще напусна клуб при оттегляне на президент карл-хайнц вилдмозер .	DEF;MASC;N;SG ADP INDF;MASC;PROPN;SG INDF;MASC;PROPN;SG ADP ADJ;DEF;MASC;SG _ INDF;MASC;PROPN;SG INDF;NUM;PL _ INDF;MASC;PROPN;SG INDF;MASC;PROPN;SG 3;ACT;FIN;IND;PFV;PST;SG;V _ CONJ V 3;ACT;FIN;IND;PFV;PRS;SG;V DEF;MASC;N;SG ADP DEF;N;NEUT;SG ADP DEF;MASC;N;SG INDF;MASC;PROPN;SG INDF;MASC;PROPN;SG _
ген. василев направи списък на автокрадците	генерал василев направя-(се) списък на автокрадец	INDF;MASC;N;SG INDF;MASC;PROPN;SG 3;ACT;FIN;IND;PFV;PST;SG;V INDF;MASC;N;SG ADP DEF;MASC;N;PL
това се очакваше да стане на общото събрание на акционерите , което обаче не се състоя заради неявяване на турския акционер .	този се очаквам да стана на общ събрание на акционер , който обаче не се състоя-се заради неявяване на турски акционер .	NEUT;NOM;PRO;SG ACC;PRO;REFL 3;ACT;FIN;IND;IPFV;SG;V V 3;ACT;FIN;IND;PFV;PRS;SG;V ADP ADJ;DEF;NEUT;SG INDF;N;NEUT;SG ADP DEF;MASC;N;PL _ NEUT;NOM;PRO;SG ADV NEG;PART ACC;PRO;REFL 3;ACT;FIN;IND;IPFV;PST;SG;V ADP INDF;N;NEUT;SG ADP ADJ;DEF;MASC;SG INDF;MASC;N;SG _
отборът на цска ще играе приятелска среща с португалския гранд " бенфика " , обяви мениджърът лъчезар танев вчера .	отбор на цска ще играя приятелски среща с португалски гранд " бенфика " , обявя-(се) мениджър лъчезар танев вчера .	DEF;MASC;N;SG ADP DEF;MASC;PROPN;SG V 3;ACT;FIN;IND;IPFV;PRS;SG;V ADJ;FEM;INDF;SG FEM;INDF;N;SG ADP ADJ;DEF;MASC;SG INDF;MASC;N;SG _ FEM;INDF;PROPN;SG _ _ 3;ACT;FIN;IND;PFV;PST;SG;V DEF;MASC;N;SG INDF;MASC;PROPN;SG INDF;MASC;PROPN;SG ADV _
избягването е полезна стратегия за справяне с проблеми , които нямат дългосрочни последствия .	избягване съм полезен стратегия за справяне с проблем , който нямам дългосрочен последствие .	DEF;N;NEUT;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V ADJ;FEM;INDF;SG FEM;INDF;N;SG ADP INDF;N;NEUT;SG ADP INDF;MASC;N;PL _ NOM;PL;PRO 3;ACT;FIN;IND;IPFV;PL;PRS;V ADJ;INDF;PL INDF;N;NEUT;PL _
- коментира наставникът . -	- коментирам наставник . -	_ 3;ACT;FIN;IND;IPFV;PST;SG;V DEF;MASC;N;SG _ _
спрях го , да не би да ме удари .	спра-(се) аз , да не съм да аз ударя-(се) .	1;ACT;FIN;IND;PFV;PST;SG;V 3;ACC;MASC;PRO;SG _ V INTJ;NEG 3;COND;FIN;IPFV;PST;SG;V V 1;ACC;PRO;SG 3;ACT;FIN;IND;PFV;PRS;SG;V _
каросерията е построена от сложна обемна рама от стоманени и алуминиеви профили , върху която се монтират панели .	каросерия съм построя-(се) от сложен обемен рама от стоманен и алуминиев профил , върху който се монтирам панел .	DEF;FEM;N;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V FEM;INDF;PASS;PFV;SG;V;V.PTCP ADP ADJ;FEM;INDF;SG ADJ;FEM;INDF;SG FEM;INDF;N;SG ADP ADJ;INDF;PL CONJ ADJ;INDF;PL INDF;MASC;N;PL _ ADP FEM;NOM;PRO;SG ACC;PRO;REFL 3;ACT;FIN;IND;IPFV;PL;PRS;V INDF;MASC;N;PL _
стандартът на живот бил по-важен от демокрацията	стандарт на живот съм важен от демокрация	DEF;MASC;N;SG ADP INDF;MASC;N;SG ACT;IND;INDF;IPFV;MASC;SG;V;V.PTCP ADJ;CMPR;INDF;MASC;SG ADP DEF;FEM;N;SG
дори македония не пуска автомобили , по-стари от 3 г. , докато у нас няма никаква преграда за такъв внос .	дори македония не пускам-(се) автомобил , стар от три година , докато у аз нямам никакъв преграда за такъв внос .	PART FEM;INDF;PROPN;SG NEG;PART 3;ACT;FIN;IND;IPFV;PRS;SG;V INDF;MASC;N;PL _ ADJ;CMPR;INDF;PL ADP INDF;NUM;PL FEM;INDF;N;PL _ CONJ ADP 1;ACC;PL;PRO 3;ACT;FIN;IND;IPFV;PRS;SG;V DET;FEM;SG FEM;INDF;N;SG ADP DET;MASC;SG INDF;MASC;N;SG _
- примерно идва преподавателят с новия си учебник , предлага ни го с автограф срещу 25 лв.	- примерно идвам преподавател с нов свой учебник , предлагам аз аз с автограф срещу 25 лев	_ ADV 3;ACT;FIN;IND;IPFV;PRS;SG;V DEF;MASC;N;SG ADP ADJ;DEF;MASC;SG NOM;PRO;REFL INDF;MASC;N;SG _ 3;ACT;FIN;IND;IPFV;PRS;SG;V 1;DAT;PL;PRO 3;ACC;MASC;PRO;SG ADP INDF;MASC;N;SG ADP INDF;NUM;PL MASC;N
екранизацията по романа на ивайло петров беше представена пред избрана публика в петък .	екранизация по роман на ивайло петров съм представя-(се) пред избера публика в петък .	DEF;FEM;N;SG ADP DEF;MASC;N;SG ADP INDF;MASC;PROPN;SG INDF;MASC;PROPN;SG 3;ACT;FIN;IND;IPFV;PST;SG;V FEM;INDF;PASS;PFV;SG;V;V.PTCP ADP ADJ;FEM;INDF;PASS;PFV;SG;V.PTCP FEM;INDF;N;SG ADP INDF;MASC;N;SG _
въпреки тактическите битки между двата европейски колоса те са от едната страна на барикадата в стратегическата битка за изграждането на обединена европа .	въпреки тактически битка между два европейски колос аз съм от един страна на барикада в стратегически битка за изграждане на обединя-(се) европа .	ADP ADJ;DEF;PL FEM;INDF;N;PL ADP DEF;MASC;NUM;PL ADJ;INDF;PL MASC;N 3;NOM;PL;PRO 3;ACT;FIN;IND;IPFV;PL;PRS;V ADP DEF;DET;FEM;NOM;SG FEM;INDF;N;SG ADP DEF;FEM;N;SG ADP ADJ;DEF;FEM;SG FEM;INDF;N;SG ADP DEF;N;NEUT;SG ADP ADJ;FEM;INDF;PASS;PFV;SG;V.PTCP FEM;INDF;PROPN;SG _
често се насаждах до някой всезнайко , така че можех да проверя многобройните възможни отговори .	често се насаждам до някой всезнайко , така че мога да проверя многоброен възможен отговор .	ADV ACC;PRO;REFL 1;ACT;FIN;IND;IPFV;PST;SG;V ADP DET;MASC;NOM;SG INDF;MASC;N;SG _ ADV CONJ 1;ACT;FIN;IND;IPFV;SG;V V 1;ACT;FIN;IND;PFV;PRS;SG;V ADJ;DEF;PL ADJ;INDF;PL INDF;MASC;N;PL _
след направена рентгенова снимка обаче лекарите установили двустранна пневмония .	след направя-(се) рентгенов снимка обаче лекар установя-(се) двустранен пневмония .	ADP ADJ;FEM;INDF;PASS;PFV;SG;V.PTCP ADJ;FEM;INDF;SG FEM;INDF;N;SG ADV DEF;MASC;N;PL ACT;INDF;PFV;PL;PST;V;V.PTCP ADJ;FEM;INDF;SG FEM;INDF;N;SG _
няма и помен от " българската мечта " , която близо 5 г. се свързваше ту с чужди инвеститори като швейцарската " андре и сие " и френската " тотал " , ту с български богаташи като " евроенерджи " и мбтр .	нямам и помен от " български мечта " , който близо 5 година се свързвам-(се) ту с чужд инвеститор като швейцарски " андре и сие " и френски " тотал " , ту с български богаташ като " евроенерджи " и мбтр .	3;ACT;FIN;IND;IPFV;PRS;SG;V CONJ INDF;MASC;N;SG ADP _ ADJ;DEF;FEM;SG FEM;INDF;N;SG _ _ FEM;NOM;PRO;SG ADV INDF;NUM;PL FEM;INDF;N;PL ACC;PRO;REFL 3;ACT;FIN;IND;IPFV;SG;V CONJ ADP ADJ;INDF;PL INDF;MASC;N;PL ADP ADJ;DEF;FEM;SG _ INDF;MASC;PROPN;SG CONJ ADJ _ CONJ ADJ;DEF;FEM;SG _ FEM;INDF;PROPN;SG _ _ CONJ ADP ADJ;INDF;PL INDF;MASC;N;PL ADP _ INDF;NEUT;PROPN;SG _ CONJ FEM;INDF;PROPN;SG _
80 % от младите емигрират , ако паднат визите	осемдесет процент от млад емигрирам , ако падна-(се) виза	INDF;NUM;PL MASC;N ADP ADJ;DEF;PL 3;ACT;FIN;IND;PFV;PL;PRS;V _ CONJ 3;ACT;FIN;IND;PFV;PL;PRS;V DEF;FEM;N;PL
назначил съм цик преди 4 години .	назнача съм цик преди четири година .	ACT;INDF;MASC;PFV;PST;SG;V;V.PTCP 1;ACT;FIN;IND;IPFV;PRS;SG;V DEF;FEM;PROPN;SG ADP INDF;NUM;PL FEM;INDF;N;PL _
за уважение са такива мъже , не ги уплаши ни затвор , ни бой .	за уважение съм такъв мъж , не аз уплаша-(се) ни затвор , ни бой .	ADP INDF;N;NEUT;SG 3;ACT;FIN;IND;IPFV;PL;PRS;V DET;PL INDF;MASC;N;PL _ NEG;PART 3;ACC;PL;PRO 3;ACT;FIN;IND;PFV;PST;SG;V CONJ INDF;MASC;N;SG _ CONJ INDF;MASC;N;SG _
преди 25 години	преди 25 година	ADP INDF;NUM;PL FEM;INDF;N;PL
преди два месеца и половина , след ревизия на държавен финансов контрол , фондът бе обвинен , че е загубил кораба .	преди два месец и половина , след ревизия на държавен финансов контрол , фонд съм обвиня , че съм загубя-(се) кораб .	ADP INDF;MASC;NUM;PL MASC;N CONJ FEM;INDF;N;SG _ ADP FEM;INDF;N;SG ADP ADJ;INDF;MASC;SG ADJ;INDF;MASC;SG INDF;MASC;N;SG _ DEF;MASC;N;SG 3;ACT;FIN;IND;IPFV;PST;SG;V INDF;MASC;PASS;PFV;SG;V;V.PTCP _ CONJ 3;ACT;FIN;IND;IPFV;PRS;SG;V ACT;INDF;MASC;PFV;PST;SG;V;V.PTCP DEF;MASC;N;SG _
той им се е заканил .	аз аз се съм заканя-се .	3;MASC;NOM;PRO;SG 3;DAT;PL;PRO ACC;PRO;REFL 3;ACT;FIN;IND;IPFV;PRS;SG;V ACT;INDF;MASC;PFV;PST;SG;V;V.PTCP _
същинската част на библиотеката обхваща 7 разгърнати нива за четене , аудиовизуални кътове , стаи за дискусии .	същински част на библиотека обхващам седем разгърна-(се) ниво за четене , аудиовизуален кът , стая за дискусия .	ADJ;DEF;FEM;SG FEM;INDF;N;SG ADP DEF;FEM;N;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V INDF;NUM;PL ADJ;INDF;PASS;PFV;PL;V.PTCP INDF;N;NEUT;PL ADP INDF;N;NEUT;SG _ ADJ;INDF;PL INDF;MASC;N;PL _ FEM;INDF;N;PL ADP FEM;INDF;N;PL _
новинар	новинар	INDF;MASC;PROPN;SG
- няма да го поканя !	- нямам да аз поканя !	_ 3;ACT;FIN;IND;IPFV;PRS;SG;V V 3;ACC;MASC;PRO;SG 1;ACT;FIN;IND;PFV;PRS;SG;V _
българия по никакъв начин не би могла да бъде арбитър в отношения между русия и украйна .	българия по никакъв начин не съм мога да бъда арбитър в отношение между русия и украйна .	FEM;INDF;PROPN;SG ADP DET;MASC;SG INDF;MASC;N;SG NEG;PART 3;COND;FIN;IPFV;PST;SG;V ACT;FEM;INDF;IPFV;PST;SG;V;V.PTCP V 3;ACT;FIN;IND;PFV;PRS;SG;V INDF;MASC;N;SG ADP INDF;N;NEUT;PL ADP FEM;INDF;PROPN;SG CONJ FEM;INDF;PROPN;SG _
че е заминал , се знае от всички .	че съм замина , се знам от всеки .	CONJ 3;ACT;FIN;IND;IPFV;PRS;SG;V ACT;INDF;MASC;PFV;PST;SG;V;V.PTCP _ ACC;PRO;REFL 3;ACT;FIN;IND;IPFV;PRS;SG;V ADP NOM;PL;PRO _
- благодаря ти !	- благодаря аз !	_ 1;ACT;FIN;IND;IPFV;PRS;SG;V 2;DAT;PRO;SG _
и тази година 70 % от нигерийците са оптимисти .	и този година седемдесет процент от нигериец съм оптимист .	CONJ DET;FEM;NOM;SG FEM;INDF;N;SG INDF;NUM;PL MASC;N ADP DEF;MASC;N;PL 3;ACT;FIN;IND;IPFV;PL;PRS;V INDF;MASC;N;PL _
от друга страна обаче , те разбират че тези промени са неизбежни и това се регистрира от всички сондажи .	от друг страна обаче , аз разбирам-(се) че този промяна съм неизбежен и този се регистрирам от всеки сондаж .	ADP ADJ;FEM;INDF;SG FEM;INDF;N;SG ADV _ 3;NOM;PL;PRO 3;ACT;FIN;IND;IPFV;PL;PRS;V CONJ DET;PL FEM;INDF;N;PL 3;ACT;FIN;IND;IPFV;PL;PRS;V ADJ;INDF;PL CONJ NEUT;NOM;PRO;SG ACC;PRO;REFL 3;ACT;FIN;IND;IPFV;PRS;SG;V ADP DET;NOM;PL INDF;MASC;N;PL _
емануил йорданов и неговият заместник здравко зафиров дадоха пресконференция , за да обявят резултатите от проверката .	емануил йорданов и мой заместник здравко зафиров дам-(се) пресконференция , за да обявя-(се) резултат от проверка .	INDF;MASC;PROPN;SG INDF;MASC;PROPN;SG CONJ 3;DEF;DET;MASC;SG INDF;MASC;N;SG INDF;MASC;PROPN;SG INDF;MASC;PROPN;SG 3;ACT;FIN;IND;PFV;PL;PST;V FEM;INDF;N;SG _ ADP V 3;ACT;FIN;IND;PFV;PL;PRS;V DEF;MASC;N;PL ADP DEF;FEM;N;SG _
това заявиха председатели на работодателските организации у нас на среща с вицепремиера петър жотев вчера в българската стопанска камара .	този заявя председател на работодателски организация у аз на среща с вицепремиер петър жотев вчера в български стопански камара .	NEUT;NOM;PRO;SG 3;ACT;FIN;IND;PFV;PL;PST;V INDF;MASC;N;PL ADP ADJ;DEF;PL FEM;INDF;N;PL ADP 1;ACC;PL;PRO ADP FEM;INDF;N;SG ADP DEF;MASC;N;SG INDF;MASC;PROPN;SG INDF;MASC;PROPN;SG ADV ADP ADJ;DEF;FEM;SG ADJ;FEM;INDF;SG FEM;INDF;N;SG _
беше подценила краси , което беше грешка .	съм подценя краси , който съм грешка .	3;ACT;FIN;IND;IPFV;PST;SG;V ACT;FEM;INDF;PFV;PST;SG;V;V.PTCP INDF;MASC;PROPN;SG _ NEUT;NOM;PRO;SG 3;ACT;FIN;IND;IPFV;PST;SG;V FEM;INDF;N;SG _
най-после в нашата страна се изправяме пред този въпрос .	после в наш страна се изправям-(се) пред този въпрос .	ADV;RL ADP 1;DEF;DET;FEM;SG FEM;INDF;N;SG ACC;PRO;REFL 1;ACT;FIN;IND;IPFV;PL;PRS;V ADP DET;MASC;SG INDF;MASC;N;SG _
циганите от гетото блокираха жп линията и се заканиха да отрежат и извадят релсите .	циганин от гето блокирам железопътен линия и се заканя-се да отрежа и извадя релса .	DEF;MASC;N;PL ADP DEF;N;NEUT;SG 3;ACT;FIN;IND;IPFV;PL;PST;V ADJ DEF;FEM;N;SG CONJ ACC;PRO;REFL 3;ACT;FIN;IND;PFV;PL;PST;V V 3;ACT;FIN;IND;PFV;PL;PRS;V CONJ 3;ACT;FIN;IND;PFV;PL;PRS;V DEF;FEM;N;PL _
" динамо " ( к ) дава $ 500 000 за светослав петров	" динамо " ( к ) давам-(се) долар петстотин 000 за светослав петров	_ INDF;NEUT;PROPN;SG _ _ INDF;MASC;PROPN;SG _ 3;ACT;FIN;IND;IPFV;PRS;SG;V MASC;N INDF;NUM;PL INDF;NUM;PL ADP INDF;MASC;PROPN;SG INDF;MASC;PROPN;SG
тръшнал вратата и излязъл обратно на улицата .	тръшна-(се) врата и изляза обратно на улица .	ACT;INDF;MASC;PFV;PST;SG;V;V.PTCP DEF;FEM;N;SG CONJ ACT;INDF;MASC;PFV;PST;SG;V;V.PTCP ADV ADP DEF;FEM;N;SG _
